mu,observer,p_self_report,declared_correct,reader_correct,reader_error_reduction,process_accuracy,final_entropy
2,45,0.7999999999999999,1,1,1.5711840940914166,0.4583333333333333,1.1069846519175656e-11
2,46,0.7999999999999999,1,1,1.3633168849773911,0.08333333333333333,1.6059183163687479e-12
2,47,0.7999999999999999,1,1,1.2652611339996782,0.25,8.62746700842456e-17
2,48,0.7999999999999999,1,1,1.241763300034246,0.08333333333333333,6.625296449283268e-12
2,49,0.7999999999999999,1,1,1.4822195313488662,0.625,2.4955344291996667e-13
3,0,0.6499999999999999,0,1,1.5935818753101527,0.5,1.392871816636261e-12
3,1,0.6499999999999999,1,1,1.1837793669146903,0.125,6.075990569198145e-13
3,2,0.6499999999999999,0,1,1.2488765603959662,0.375,3.938625371531876e-14
3,3,0.6499999999999999,1,1,1.5717713766944679,0.9166666666666666,3.3344825488111027e-16
3,4,0.6499999999999999,1,1,1.570238839419356,0.7916666666666666,8.798597825022513e-19
3,5,0.6499999999999999,1,1,1.5457548809959225,0.3333333333333333,1.3649341506231201e-13
3,6,0.6499999999999999,1,1,1.4963418285377243,0.2916666666666667,2.2933165315133633e-13
3,7,0.6499999999999999,0,1,1.485923132243949,0.4166666666666667,6.693052692408718e-15
3,8,0.6499999999999999,0,1,1.183258342978673,0.625,2.3201907306290126e-15
3,9,0.6499999999999999,1,1,1.0617329920527276,0.2916666666666667,4.484788124373227e-16
3,10,0.6499999999999999,0,1,1.4887837958836312,0.4166666666666667,5.223388147922674e-14
3,11,0.6499999999999999,1,1,1.2647275560141464,0.4166666666666667,1.0711972615677356e-16
3,12,0.6499999999999999,1,1,1.3865730802890275,0.4166666666666667,3.0797653384272024e-14
3,13,0.6499999999999999,1,1,1.392552265717893,0.20833333333333334,1.2380795996782444e-11
3,14,0.6499999999999999,1,1,1.2244548900078591,0.4166666666666667,3.707248630506738e-13
3,15,0.6499999999999999,0,1,1.2719895569990392,0.8333333333333334,1.7366117498113988e-11
3,16,0.6499999999999999,0,1,1.5574453033468467,0.625,1.435798056390675e-15
3,17,0.6499999999999999,1,1,1.4500041129627579,0.3333333333333333,2.7294657764250337e-11
3,18,0.6499999999999999,1,1,1.6809965433285372,0.25,1.5235679027519383e-14
3,19,0.6499999999999999,1,1,1.54130522725425,0.16666666666666666,6.643041800944615e-13
3,20,0.6499999999999999,0,1,1.5377869478514674,0.08333333333333333,1.3396091617413534e-17
3,21,0.6499999999999999,0,1,1.0991525717761588,0.4583333333333333,1.6132468770133574e-08
3,22,0.6499999999999999,1,1,1.6497452289879058,0.25,2.4927881792788334e-13
3,23,0.6499999999999999,1,1,1.3527200130173622,0.2916666666666667,6.345411044750099e-14
3,24,0.6499999999999999,0,1,1.5737963176701844,0.9166666666666666,3.4940477498794897e-12
3,25,0.6499999999999999,0,1,1.3300903629116272,0.25,8.373645914441079e-14
3,26,0.6499999999999999,1,1,1.39483632274777,0.4583333333333333,4.0805885161018954e-12
3,27,0.6499999999999999,1,1,1.6226206119509197,0.5416666666666666,8.087872762276804e-15
3,28,0.6499999999999999,1,1,1.2447170175825375,0.375,1.5553834787078275e-15
3,29,0.6499999999999999,0,1,1.599518207324428,0.5,1.4073562656407356e-12
3,30,0.6499999999999999,0,1,1.1992651755577954,0.4166666666666667,6.368692360806238e-13
3,31,0.6499999999999999,1,1,1.578063772472784,0.2916666666666667,6.81742614501458e-14
3,32,0.6499999999999999,1,1,1.467305351525332,0.6666666666666666,2.984272352184299e-15
3,33,0.6499999999999999,0,1,1.1928285581641833,0.5833333333333334,1.4073607422163675e-16
3,34,0.6499999999999999,1,1,1.3309653097494538,0.5833333333333334,7.70235177558722e-15
3,35,0.6499999999999999,0,1,1.4262427398162556,0.6666666666666666,1.7607258845483093e-13
3,36,0.6499999999999999,1,1,1.5150297996610653,0.25,1.6827608391980066e-12
3,37,0.6499999999999999,1,1,1.6590748488278586,0.8333333333333334,7.000084578946184e-17
3,38,0.6499999999999999,1,1,1.437653229433947,0.375,5.657517599818762e-15
3,39,0.6499999999999999,1,1,1.5840990427806914,0.6666666666666666,1.3334972427154616e-15
3,40,0.6499999999999999,0,1,1.434201544406035,0.875,1.0451534687769303e-15
3,41,0.6499999999999999,1,1,1.4065936983826541,0.5416666666666666,1.9846951421978164e-15
3,42,0.6499999999999999,1,1,1.6743501840427002,0.7916666666666666,2.3920563432439488e-12
3,43,0.6499999999999999,1,1,0.9778815202290079,0.5833333333333334,1.9189061419590062e-13
3,44,0.6499999999999999,1,1,1.1747300295452052,0.16666666666666666,3.188670238382036e-08
3,45,0.6499999999999999,1,1,1.670190352837895,0.7916666666666666,5.909564917788903e-16
3,46,0.6499999999999999,1,1,1.5184609348722444,0.6666666666666666,8.380567069411013e-12
3,47,0.6499999999999999,1,1,1.3373294900597479,0.16666666666666666,2.7964960280219756e-14
3,48,0.6499999999999999,1,1,1.0230094568305514,0.20833333333333334,8.776965340309794e-17
3,49,0.6499999999999999,1,1,1.2955006588777365,0.3333333333333333,4.07921583565814e-14
