settled_at,process_before_settling,process_after_settling,mu,beta,observer,goal_correct,goal_error_reduction,goal_movement,process_accuracy,process_error_reduction,window_accuracy,whole_accuracy,recovered_mu,final_entropy
-1,,,1,0.25,24,1,0.7353520896150143,0.19881601989683445,0.25,0.032280668454752526,0.21428571428571427,0.25,1.981333430790499,1.1659900737746312
-1,,,1,0.25,25,1,0.6294590890728329,0.09324214382823987,0.25,-0.03553337477130736,0.21428571428571427,0.25,1.9807546190825418,1.3115850998517
11,-0.023430236781224467,0.07541241059396775,1,0.25,26,1,1.617708785037337,1.5919454051002082,0.25,0.030109530547004493,0.2857142857142857,0.25,1.9419783712778167,0.0292335952219583
1,,,1,0.25,27,1,1.1164481274741112,0.9273871986921354,0.3333333333333333,0.014940740032756139,0.35714285714285715,0.3333333333333333,1.8410637400104244,0.25593721328876506
1,,,1,0.25,28,1,1.129349716189835,0.7077914660626784,0.041666666666666664,-0.21385108569783018,0.047619047619047616,0.041666666666666664,1.7381516609819567,0.6189422986017736
4,-0.021767151329968204,-0.024998691453242294,1,0.25,29,1,1.4492618551709338,1.4214268683451428,0.16666666666666666,-0.024460101432696613,0.16666666666666669,0.16666666666666666,1.7144879524917898,0.03165511794519734
6,-0.08583016103256513,0.023878551694958006,1,0.25,30,1,1.3334716080880935,1.3285641177681842,0.20833333333333334,-0.003548626486922668,0.2380952380952381,0.20833333333333334,1.6327676894683403,0.005551654084706461
18,0.04228250218771312,0.025875387164722374,1,0.25,31,0,-2.1588540211057605,0.9095689192220723,0.5416666666666666,0.038180723431965546,0.5952380952380952,0.5416666666666666,1.9152803372679839,0.2983994443365261
8,0.007920038523858919,-0.048557931399342946,1,0.25,32,1,1.544458535674132,1.5406041715174652,0.041666666666666664,-0.02973194142494262,0.047619047619047616,0.041666666666666664,1.6192395228717804,0.0041862330996737165
-1,,,1,0.25,33,1,0.8688999701893745,0.6219247533359007,0.2916666666666667,-0.012362167373531463,0.2619047619047619,0.2916666666666667,1.853792497230569,0.39389222891410447
1,,,1,0.25,34,1,1.5037890168855776,1.0751589265442563,0.041666666666666664,-0.07653592858698799,0.047619047619047616,0.041666666666666664,2.025877330892152,0.5197616271475577
-1,,,1,0.25,35,0,0.2533049996889709,0.023257392231878254,0.0,-0.06007438716775848,0.0,0.0,1.9996144469509711,1.3667978576537025
-1,,,1,0.25,36,1,0.6587459124148801,0.16794099056847026,0.25,-0.004040663915600762,0.2857142857142857,0.25,1.996461691354183,1.2943544014090673
23,,,1,0.25,37,0,-2.3816666891845664,0.9771481560002001,0.08333333333333333,0.011295693734678869,0.07142857142857142,0.08333333333333333,2.0901828350466807,0.18250658054011712
1,,,1,0.25,38,1,1.3184043027504229,0.9472839908630177,0.16666666666666666,-0.06933865785462201,0.14285714285714285,0.16666666666666666,1.748765535079667,0.49527660998641276
-1,,,1,0.25,39,0,0.04755938602608767,0.048522952340456324,0.2916666666666667,0.011125286656800348,0.2857142857142857,0.2916666666666667,2.005774841438673,1.3227423123466733
-1,,,1,0.1,0,0,-0.21126577129360635,0.020345351287588805,0.2916666666666667,-0.002458020210975853,0.3095238095238095,0.2916666666666667,2.009509364219709,1.3410301530176754
-1,,,1,0.1,1,0,-1.2349650125276153,0.5520434379646968,0.0,-0.07114114331875854,0.0,0.0,2.022559407721496,0.8405627031128424
1,,,1,0.1,2,1,0.5597071672266021,0.0661912937553932,0.25,0.01275701294685283,0.2619047619047619,0.25,1.9829571460725128,1.3690142740405125
1,,,1,0.1,3,0,0.18516813369523044,0.1465596594189335,0.125,-0.03633702506336278,0.11904761904761904,0.125,1.991303165393793,1.2995034395135747
-1,,,1,0.1,4,1,0.1264683210725175,0.021048458196473274,0.125,-0.022209554719830216,0.11904761904761904,0.125,1.9822888530100293,1.3862037310972763
-1,,,1,0.1,5,0,-0.11281042058240498,0.024487261546075743,0.375,-0.0034825566016900567,0.38095238095238093,0.375,1.9885166779012162,1.3709080003005556
-1,,,1,0.1,6,0,0.02921250784576368,0.20445099632435965,0.20833333333333334,0.010432154747763267,0.1904761904761905,0.20833333333333334,2.050846718935466,1.2257559921531838
-1,,,1,0.1,7,1,0.6036444244258419,0.15277169685180997,0.3333333333333333,0.01404611334514172,0.3333333333333333,0.3333333333333333,2.05044003260101,1.2751078458937608
6,0.08349830237332045,-0.0032324187841297203,1,0.1,8,1,0.9934921659802304,0.531783856232646,0.375,0.01845026150523288,0.35714285714285715,0.375,1.776528586149614,0.7653991891011063
3,-0.12416315594701932,-0.08304470763490102,1,0.1,9,0,0.18609226874590923,0.04571042652206622,0.041666666666666664,-0.08818451367391589,0.047619047619047616,0.041666666666666664,1.998631425082837,1.3450866594994377
-1,,,1,0.1,10,1,0.8356156795731972,0.2820929909739472,0.3333333333333333,-0.002145011978937683,0.3333333333333333,0.3333333333333333,1.9534725807440378,1.1058467530952998
