arm,seed,encounter,probe_engagement,probe_correct,reserve
intent_empty,20008,10,0.0011702859453182621,1,0.5855804089753822
intent_empty,20008,11,0.0001397388357908969,1,0.5064837755269208
intent_empty,20008,12,3.623085912655296e-06,1,0.42758109793983523
intent_empty,20008,13,2.1156409761152108e-07,1,0.349187761071476
intent_empty,20008,14,2.7040073155784327e-10,1,0.27051986205063483
intent_empty,20008,15,2.6847314886076166e-11,1,0.26210073795855704
intent_empty,20008,16,4.303096385587323e-15,1,0.2
intent_empty,20008,17,2.055535528460169e-15,1,0.2
intent_empty,20008,18,8.00727304275816e-15,1,0.2
intent_empty,20008,19,2.055535528460169e-15,1,0.2
intent_empty,20008,20,2.055535528460169e-15,1,0.2
intent_empty,20008,21,3.039046179338688e-13,1,0.22
intent_empty,20008,22,2.055535528460169e-15,1,0.2
intent_empty,20008,23,8.00727304275816e-15,1,0.2
intent_empty,20008,24,1.4791547428094253e-13,1,0.2
intent_empty,20008,25,4.303096385587323e-15,1,0.2
intent_empty,20008,26,8.00727304275816e-15,1,0.2
intent_empty,20008,27,1.3968812186912503e-14,1,0.2
intent_empty,20008,28,5.30166326036554e-13,1,0.22
intent_empty,20008,29,8.00727304275816e-15,1,0.2
intent_empty,20009,0,0.19668131864948538,1,0.9201005375784768
intent_empty,20009,1,0.07557304805599598,1,0.8403254207867549
intent_empty,20009,2,0.12311285626017412,1,0.8603254207867549
intent_empty,20009,3,0.3137453293300023,1,0.7828771680783954
intent_empty,20009,4,0.01949937609607291,1,0.7045651786499633
intent_empty,20009,5,0.007095234025020084,1,0.7245651786499633
intent_empty,20009,6,0.032674332147754635,1,0.7445651786499633
intent_empty,20009,7,0.45460954721870167,1,0.6656319599794894
intent_empty,20009,8,0.08955536229579536,1,0.6856319599794894
intent_empty,20009,9,0.03298592360749861,1,0.7056319599794895
intent_empty,20009,10,0.00138286464067605,1,0.627518677752022
intent_empty,20009,11,0.00421706358544335,1,0.647518677752022
intent_empty,20009,12,0.0014902057063838515,1,0.5697423973272439
intent_empty,20009,13,8.461562902381187e-05,1,0.49087967433013824
intent_empty,20009,14,0.0002330918087347821,1,0.48599692696155056
intent_empty,20009,15,1.3839535800318967e-06,1,0.4066629766355621
intent_empty,20009,16,1.222499659097957e-08,1,0.327848120759778
intent_empty,20009,17,1.0563518326629909e-11,1,0.24849217142927008
intent_empty,20009,18,5.552059827007366e-11,1,0.26849217142927007
intent_empty,20009,19,2.3394057422098247e-14,1,0.2
intent_empty,20009,20,4.303096385587323e-15,1,0.2
intent_empty,20009,21,1.633178806332709e-13,1,0.22
intent_empty,20009,22,4.303096385587323e-15,1,0.2
intent_empty,20009,23,4.303096385587323e-15,1,0.2
intent_empty,20009,24,2.9816290886258134e-11,1,0.22
intent_empty,20009,25,4.303096385587323e-15,1,0.2
intent_empty,20009,26,4.303096385587323e-15,1,0.2
intent_empty,20009,27,8.00727304275816e-15,1,0.2
intent_empty,20009,28,8.00727304275816e-15,1,0.2
intent_empty,20009,29,7.801491670022317e-14,1,0.22
intent_empty,20010,0,0.11028070179296573,1,0.9235182943601042
intent_empty,20010,1,0.04780376294248349,1,0.8439489492334801
intent_empty,20010,2,0.041156008312083533,1,0.7656708350324669
intent_empty,20010,3,0.01102600850474972,1,0.758485422157811
intent_empty,20010,4,0.03389217318894019,1,0.7477473147272732
intent_empty,20010,5,0.012301274937683078,1,0.7677473147272732
intent_empty,20010,6,0.026260732685757106,1,0.6894770133863297
intent_empty,20010,7,0.02089414889404561,1,0.7094770133863297
intent_empty,20010,8,0.08601364136917178,1,0.6309199518417278
intent_empty,20010,9,0.004896019447137181,1,0.623485592936003
intent_empty,20010,10,0.003912674706711961,1,0.643485592936003
intent_empty,20010,11,0.0359688355186831,1,0.5661759763950143
intent_empty,20010,12,7.527875852736517e-05,1,0.4873808388563999
intent_empty,20010,13,6.734615676323252e-05,1,0.5067583749386381
