reader_depth,maker_depth,observer,raw_reading,capped_reading,ceiling,gap,process_recovery,goal_correct
1,2,15,2.468505553484953,1.0,0.5,1,0.14291990789819353,1
1,2,16,2.53177161961258,1.0,0.5,1,0.4188140338651075,1
1,2,17,1.759938807657504,1.0,0.5,1,-0.03258324189964501,1
1,2,18,2.365038729965105,1.0,0.5,1,0.22052440872101164,1
1,2,19,2.252833840532061,1.0,0.5,1,0.15907154851348504,1
1,2,20,1.5245793857868752,1.0,0.5,1,0.09260447879353495,1
1,2,21,2.1335735315076305,1.0,0.5,1,0.22685328543753225,1
1,2,22,2.4928831307220483,1.0,0.5,1,0.21071618043477502,1
1,2,23,2.446175859449064,1.0,0.5,1,-0.10095477985556034,1
1,3,0,2.3606575246290333,1.0,0.3333333333333333,2,0.32605002547320505,1
1,3,1,2.498684442426119,1.0,0.3333333333333333,2,0.16348002644969384,1
1,3,2,2.2831104520343164,1.0,0.3333333333333333,2,0.1271945354559847,1
1,3,3,2.4992683321235645,1.0,0.3333333333333333,2,0.1668797086312166,1
1,3,4,2.4834495023356813,1.0,0.3333333333333333,2,0.10647654508233773,1
1,3,5,2.42171051045486,1.0,0.3333333333333333,2,0.055126832497543354,1
1,3,6,2.6908917435456834,1.0,0.3333333333333333,2,0.4432793841326187,1
1,3,7,2.445203721005664,1.0,0.3333333333333333,2,0.2404528084062243,1
1,3,8,2.497579162391655,1.0,0.3333333333333333,2,0.4661356734492028,1
1,3,9,2.4863051586649463,1.0,0.3333333333333333,2,0.23685871973894934,1
1,3,10,1.505296048993981,1.0,0.3333333333333333,2,0.1587866121380086,1
1,3,11,2.569162012002346,1.0,0.3333333333333333,2,0.41340474517872683,1
1,3,12,2.576640867470081,1.0,0.3333333333333333,2,0.38576358502827124,1
1,3,13,2.5001776032392633,1.0,0.3333333333333333,2,0.47002277507952883,1
1,3,14,1.9082773662065535,1.0,0.3333333333333333,2,0.11749230838791958,1
1,3,15,2.359939508180659,1.0,0.3333333333333333,2,0.02653103114804667,1
1,3,16,2.534245385310506,1.0,0.3333333333333333,2,0.5221058364749992,1
1,3,17,2.1567078958293084,1.0,0.3333333333333333,2,0.16590015250449142,1
1,3,18,2.494946343034103,1.0,0.3333333333333333,2,0.2511221439666691,1
