leak,detection,strategy,maker,quality,was_lying,times_caught,payoff
0.0,0.5,defect,23,1,True,7,-0.8253024126854204
0.0,0.75,honest,0,3,False,0,1.3499961885937284
0.0,0.75,honest,1,1,False,0,0.012832981851692798
0.0,0.75,honest,2,3,False,0,1.3671674679209567
0.0,0.75,honest,3,1,False,0,0.009807635099441027
0.0,0.75,honest,4,3,False,0,1.4005597231420053
0.0,0.75,honest,5,1,False,0,0.01321975878358319
0.0,0.75,honest,6,3,False,0,1.433842354128877
0.0,0.75,honest,7,1,False,0,0.0069400088439016
0.0,0.75,honest,8,3,False,0,1.3277729996404728
0.0,0.75,honest,9,1,False,0,0.0019569460948726802
0.0,0.75,honest,10,3,False,0,1.409736592911765
0.0,0.75,honest,11,1,False,0,0.013116554902093827
0.0,0.75,honest,12,3,False,0,1.4880453159849543
0.0,0.75,honest,13,1,False,0,0.009501510659122444
0.0,0.75,honest,14,3,False,0,1.3683826301944697
0.0,0.75,honest,15,1,False,0,0.013976540673717288
0.0,0.75,honest,16,3,False,0,1.4206317569223765
0.0,0.75,honest,17,1,False,0,0.0044321405196511305
0.0,0.75,honest,18,3,False,0,1.3710576971800197
0.0,0.75,honest,19,1,False,0,0.004821342047093803
0.0,0.75,honest,20,3,False,0,1.471455711510152
0.0,0.75,honest,21,1,False,0,0.0029612950653943506
0.0,0.75,honest,22,3,False,0,1.4452299358011373
0.0,0.75,honest,23,1,False,0,0.005411108211087533
0.0,0.75,defect,0,3,False,0,1.3499961885937284
0.0,0.75,defect,1,1,True,11,-1.2246325520438466
0.0,0.75,defect,2,3,False,0,1.3671674679209567
0.0,0.75,defect,3,1,True,8,-0.86546215933899
0.0,0.75,defect,4,3,False,0,1.4005597231420053
0.0,0.75,defect,5,1,True,10,-0.802905428288183
0.0,0.75,defect,6,3,False,0,1.433842354128877
0.0,0.75,defect,7,1,True,11,-1.5780486820452075
0.0,0.75,defect,8,3,False,0,1.3277729996404728
0.0,0.75,defect,9,1,True,11,-1.633812028017039
0.0,0.75,defect,10,3,False,0,1.409736592911765
0.0,0.75,defect,11,1,True,9,-0.820598119113625
0.0,0.75,defect,12,3,False,0,1.4880453159849543
0.0,0.75,defect,13,1,True,11,-1.480335034105215
0.0,0.75,defect,14,3,False,0,1.3683826301944697
0.0,0.75,defect,15,1,True,11,-1.1404091894993489
0.0,0.75,defect,16,3,False,0,1.4206317569223765
0.0,0.75,defect,17,1,True,7,-0.8426348925530113
0.0,0.75,defect,18,3,False,0,1.3710576971800197
0.0,0.75,defect,19,1,True,10,-1.2521053943782119
0.0,0.75,defect,20,3,False,0,1.471455711510152
0.0,0.75,defect,21,1,True,7,-1.0580122117447461
0.0,0.75,defect,22,3,False,0,1.4452299358011373
0.0,0.75,defect,23,1,True,10,-1.32530241268542
0.0,1.0,honest,0,3,False,0,1.3499961885937284
0.0,1.0,honest,1,1,False,0,0.012832981851692798
0.0,1.0,honest,2,3,False,0,1.3671674679209567
0.0,1.0,honest,3,1,False,0,0.009807635099441027
