n_train,arm,observer,detector_fired,detector_score,engaged_fraction,engaged_without_detector,goal_correct
8,machine,28,1,0.46209812037329695,0.0,0.0,0
8,machine,29,0,-0.23104906018664848,0.0,0.0,0
8,machine,30,0,-0.13515503603605486,0.0,0.0,0
8,machine,31,0,-0.13515503603605486,0.16666666666666666,0.16666666666666666,1
8,machine,32,1,0.23104906018664848,0.0,0.0,0
8,machine,33,1,0.0958940241505936,0.0,0.0,0
8,machine,34,0,-0.5972531564093518,0.0,0.0,0
8,machine,35,1,0.46209812037329695,0.012499999999999999,0.08333333333333333,0
8,machine,36,0,-0.5972531564093518,0.0,0.0,0
8,machine,37,1,0.6931471805599454,0.0,0.0,0
8,machine,38,0,-0.5972531564093518,0.0,0.0,0
8,machine,39,0,-0.36620409622270333,0.0,0.0,0
8,human_careful,0,0,0.0,0.25,0.25,1
8,human_careful,1,1,1.3862943611198908,0.0,0.0,1
8,human_careful,2,1,0.6931471805599454,0.075,0.5,1
8,human_careful,3,0,-0.6931471805599454,0.0,0.0,1
8,human_careful,4,1,1.3862943611198908,0.0,0.0,1
8,human_careful,5,0,-1.09861228866811,0.0,0.0,1
8,human_careful,6,1,0.46209812037329695,0.024999999999999998,0.16666666666666666,1
8,human_careful,7,1,0.0958940241505936,0.0,0.0,1
8,human_careful,8,1,1.1552453009332424,0.075,0.5,1
8,human_careful,9,0,0.0,0.5,0.5,1
8,human_careful,10,0,0.0,0.25,0.25,1
8,human_careful,11,1,0.6931471805599454,0.012499999999999999,0.08333333333333333,1
8,human_careful,12,0,-0.13515503603605486,0.5,0.5,1
8,human_careful,13,0,-0.6931471805599454,0.0,0.0,1
8,human_careful,14,0,-0.7324081924454067,0.0,0.0,1
8,human_careful,15,0,0.0,0.0,0.0,1
8,human_careful,16,0,0.0,0.0,0.0,1
8,human_careful,17,0,-0.36620409622270333,0.0,0.0,1
8,human_careful,18,0,-0.5013591322587582,0.0,0.0,1
8,human_careful,19,0,-0.7324081924454067,0.0,0.0,1
8,human_careful,20,1,0.6931471805599454,0.0,0.0,1
8,human_careful,21,1,0.46209812037329695,0.0,0.0,1
8,human_careful,22,0,-0.7324081924454067,0.0,0.0,1
8,human_careful,23,1,0.0958940241505936,0.024999999999999998,0.16666666666666666,1
8,human_careful,24,1,0.9241962407465939,0.0,0.0,1
8,human_careful,25,0,-0.36620409622270333,0.16666666666666666,0.16666666666666666,1
8,human_careful,26,0,0.0,0.0,0.0,1
8,human_careful,27,1,0.46209812037329695,0.0,0.0,1
8,human_careful,28,1,0.9241962407465939,0.012499999999999999,0.08333333333333333,1
8,human_careful,29,1,0.23104906018664848,0.075,0.5,1
8,human_careful,30,0,-0.36620409622270333,0.3333333333333333,0.3333333333333333,1
8,human_careful,31,1,1.3862943611198908,0.012499999999999999,0.08333333333333333,1
8,human_careful,32,0,-0.46209812037329695,0.16666666666666666,0.16666666666666666,1
8,human_careful,33,0,-0.23104906018664848,0.08333333333333333,0.08333333333333333,1
8,human_careful,34,0,-0.46209812037329695,0.0,0.0,1
8,human_careful,35,0,-0.7324081924454067,0.5,0.5,1
8,human_careful,36,0,-0.7324081924454067,0.08333333333333333,0.08333333333333333,1
8,human_careful,37,1,0.0958940241505936,0.049999999999999996,0.3333333333333333,1
8,human_careful,38,0,-0.46209812037329695,0.0,0.0,1
8,human_careful,39,1,0.6931471805599454,0.075,0.5,1
8,human_fast,0,0,0.0,0.08333333333333333,0.08333333333333333,1
8,human_fast,1,1,0.46209812037329695,0.012499999999999999,0.08333333333333333,1
8,human_fast,2,1,0.6931471805599454,0.0,0.0,0
8,human_fast,3,0,-0.9634572526320552,0.0,0.0,1
8,human_fast,4,0,0.0,0.0,0.0,1
8,human_fast,5,1,0.46209812037329695,0.0,0.0,1
8,human_fast,6,0,0.0,0.0,0.0,1
8,human_fast,7,0,-0.36620409622270333,0.0,0.0,1
8,human_fast,8,0,-0.5972531564093518,0.3333333333333333,0.3333333333333333,1
8,human_fast,9,0,-0.36620409622270333,0.08333333333333333,0.08333333333333333,1
8,human_fast,10,1,0.46209812037329695,0.024999999999999998,0.16666666666666666,1
8,human_fast,11,0,-0.23104906018664848,0.08333333333333333,0.08333333333333333,1
8,human_fast,12,1,0.23104906018664848,0.0,0.0,1
8,human_fast,13,0,-0.9634572526320552,0.0,0.0,1
8,human_fast,14,0,-0.13515503603605486,0.0,0.0,1
8,human_fast,15,1,0.23104906018664848,0.0,0.0,0
8,human_fast,16,0,-0.13515503603605486,0.16666666666666666,0.16666666666666666,1
8,human_fast,17,0,-0.36620409622270333,0.0,0.0,1
8,human_fast,18,1,0.0958940241505936,0.0375,0.25,1
8,human_fast,19,0,-0.7324081924454067,0.3333333333333333,0.3333333333333333,0
8,human_fast,20,1,0.23104906018664848,0.0,0.0,1
8,human_fast,21,0,0.0,0.0,0.0,0
8,human_fast,22,0,-0.5972531564093518,0.0,0.0,1
8,human_fast,23,1,0.46209812037329695,0.0,0.0,1
8,human_fast,24,0,-0.9634572526320552,0.0,0.0,1
8,human_fast,25,0,-0.36620409622270333,0.0,0.0,0
8,human_fast,26,1,0.46209812037329695,0.0,0.0,1
8,human_fast,27,0,-0.7324081924454067,0.0,0.0,0
8,human_fast,28,1,0.23104906018664848,0.0,0.0,0
8,human_fast,29,0,-0.23104906018664848,0.0,0.0,1
8,human_fast,30,0,-0.23104906018664848,0.3333333333333333,0.3333333333333333,1
8,human_fast,31,1,0.9241962407465939,0.024999999999999998,0.16666666666666666,1
8,human_fast,32,0,-0.46209812037329695,0.08333333333333333,0.08333333333333333,0
8,human_fast,33,0,-0.36620409622270333,0.08333333333333333,0.08333333333333333,0
8,human_fast,34,0,-0.8283022165960002,0.0,0.0,0
8,human_fast,35,0,0.0,0.08333333333333333,0.08333333333333333,0
8,human_fast,36,0,-0.9634572526320552,0.3333333333333333,0.3333333333333333,0
8,human_fast,37,0,-0.13515503603605486,0.0,0.0,1
8,human_fast,38,0,0.0,0.16666666666666666,0.16666666666666666,1
8,human_fast,39,1,0.23104906018664848,0.0,0.0,1
32,machine,0,1,0.2095362198074581,0.0,0.0,0
32,machine,1,0,-0.3148205362802839,0.0,0.0,0
32,machine,2,0,-0.7324081924454067,0.0,0.0,0
32,machine,3,0,-0.7324081924454067,0.0,0.0,1
32,machine,4,1,0.9189467884238809,0.0,0.0,1
32,machine,5,1,0.36620409622270333,0.012499999999999999,0.08333333333333333,0
32,machine,6,0,0.0,0.0,0.0,0
32,machine,7,1,0.3568138039004711,0.0,0.0,0
32,machine,8,1,1.110734836725068,0.0,0.0,0
32,machine,9,0,0.0,0.0,0.0,0
32,machine,10,0,-0.2703100720721097,0.0,0.0,0
32,machine,11,1,0.5149664637655098,0.0,0.0,0
32,machine,12,1,0.46209812037329695,0.0,0.0,0
32,machine,13,0,-0.03926101188546127,0.0,0.0,0
32,machine,14,1,0.17027520792199682,0.0,0.0,0
32,machine,15,0,-0.5013591322587582,0.0,0.0,1
32,machine,16,0,-0.23104906018664848,0.0,0.0,0
32,machine,17,0,-0.17966550024422903,0.0,0.0,0
32,machine,18,1,0.3960748157859324,0.0,0.0,1
32,machine,19,1,0.12576474371382265,0.0,0.0,1
32,machine,20,1,0.13515503603605486,0.0,0.0,0
32,machine,21,1,1.2904003369692971,0.0,0.0,0
32,machine,22,1,0.46209812037329695,0.0,0.0,0
32,machine,23,1,0.7837917523878261,0.0,0.0,1
32,machine,24,0,-0.46209812037329695,0.0,0.0,0
32,machine,25,1,0.0958940241505936,0.0,0.0,0
32,machine,26,0,0.0,0.0,0.0,1
32,machine,27,0,-0.6931471805599454,0.0,0.0,0
32,machine,28,1,0.6878977282372324,0.0,0.0,0
32,machine,29,1,0.07438118377140324,0.0,0.0,0
32,machine,30,1,0.46209812037329695,0.0,0.0,0
32,machine,31,1,0.3054302439580517,0.024999999999999998,0.16666666666666666,1
32,machine,32,1,0.5527426922011777,0.0,0.0,0
32,machine,33,1,0.5972531564093518,0.0,0.0,0
32,machine,34,0,-0.5228719726379486,0.0,0.0,0
32,machine,35,1,0.5972531564093518,0.012499999999999999,0.08333333333333333,0
32,machine,36,0,-0.13515503603605486,0.0,0.0,0
32,machine,37,1,0.6365141682948131,0.0,0.0,0
32,machine,38,0,-0.753921032824597,0.0,0.0,0
32,machine,39,1,0.035120171885941964,0.0,0.0,0
32,human_careful,0,1,0.5596157879354229,0.0375,0.25,1
32,human_careful,1,0,0.0,0.0,0.0,1
32,human_careful,2,1,0.4054651081081646,0.075,0.5,1
32,human_careful,3,0,-1.3862943611198908,0.0,0.0,1
32,human_careful,4,0,0.0,0.0,0.0,1
32,human_careful,5,0,-0.4054651081081646,0.0,0.0,1
32,human_careful,6,1,0.2703100720721097,0.024999999999999998,0.16666666666666666,1
32,human_careful,7,0,-0.0958940241505936,0.0,0.0,1
32,human_careful,8,1,0.13515503603605486,0.075,0.5,1
32,human_careful,9,1,0.2231435513142097,0.075,0.5,1
32,human_careful,10,1,0.2231435513142097,0.0375,0.25,1
32,human_careful,11,1,0.4054651081081646,0.012499999999999999,0.08333333333333333,1
32,human_careful,12,0,-0.23104906018664848,0.5,0.5,1
32,human_careful,13,0,-1.3862943611198908,0.0,0.0,1
32,human_careful,14,0,-0.2703100720721097,0.0,0.0,1
32,human_careful,15,1,0.2876820724517808,0.0,0.0,1
32,human_careful,16,1,0.2876820724517808,0.0,0.0,1
32,human_careful,17,1,0.013607331506751605,0.0,0.0,1
32,human_careful,18,0,-0.5972531564093518,0.0,0.0,1
32,human_careful,19,0,-0.1959288883007065,0.0,0.0,1
32,human_careful,20,1,0.4054651081081646,0.0,0.0,1
32,human_careful,21,1,0.6486367163517712,0.0,0.0,1
32,human_careful,22,0,-0.1959288883007065,0.0,0.0,1
32,human_careful,23,1,0.13515503603605486,0.024999999999999998,0.16666666666666666,1
32,human_careful,24,1,0.0958940241505936,0.0,0.0,1
32,human_careful,25,1,0.013607331506751605,0.024999999999999998,0.16666666666666666,1
32,human_careful,26,1,0.14202813177030013,0.0,0.0,1
32,human_careful,27,1,0.1917880483011872,0.0,0.0,1
32,human_careful,28,1,0.0958940241505936,0.012499999999999999,0.08333333333333333,1
32,human_careful,29,1,0.23104906018664848,0.075,0.5,1
32,human_careful,30,1,0.4013242681086453,0.049999999999999996,0.3333333333333333,1
32,human_careful,31,0,0.0,0.08333333333333333,0.08333333333333333,1
32,human_careful,32,0,-0.9241962407465939,0.16666666666666666,0.16666666666666666,1
32,human_careful,33,0,-0.08902092841634834,0.08333333333333333,0.08333333333333333,1
32,human_careful,34,0,-0.7376576447681197,0.0,0.0,1
32,human_careful,35,0,-0.1959288883007065,0.5,0.5,1
32,human_careful,36,0,-0.1959288883007065,0.08333333333333333,0.08333333333333333,1
32,human_careful,37,0,-0.0958940241505936,0.3333333333333333,0.3333333333333333,1
32,human_careful,38,0,-0.7376576447681197,0.0,0.0,1
32,human_careful,39,1,0.4054651081081646,0.075,0.5,1
32,human_fast,0,1,0.44745837572835184,0.012499999999999999,0.08333333333333333,1
32,human_fast,1,1,0.17027520792199682,0.012499999999999999,0.08333333333333333,1
32,human_fast,2,1,0.4054651081081646,0.0,0.0,0
32,human_fast,3,0,-0.7324081924454067,0.0,0.0,1
32,human_fast,4,1,0.44745837572835184,0.0,0.0,1
32,human_fast,5,0,-0.32694308433724206,0.0,0.0,1
32,human_fast,6,0,-0.32694308433724206,0.0,0.0,1
32,human_fast,7,0,-0.1959288883007065,0.0,0.0,1
32,human_fast,8,0,-0.4107145604308775,0.3333333333333333,0.3333333333333333,1
32,human_fast,9,1,0.12576474371382265,0.012499999999999999,0.08333333333333333,1
32,human_fast,10,1,0.14876236754280647,0.024999999999999998,0.16666666666666666,1
32,human_fast,11,0,-0.2703100720721097,0.08333333333333333,0.08333333333333333,1
32,human_fast,12,1,0.23104906018664848,0.0,0.0,1
32,human_fast,13,0,-0.9634572526320552,0.0,0.0,1
32,human_fast,14,0,0.0,0.0,0.0,1
32,human_fast,15,1,0.32694308433724206,0.0,0.0,0
32,human_fast,16,0,-0.13515503603605486,0.16666666666666666,0.16666666666666666,1
32,human_fast,17,0,-0.1959288883007065,0.0,0.0,1
32,human_fast,18,0,-0.2918229124513001,0.25,0.25,1
32,human_fast,19,0,-0.1959288883007065,0.3333333333333333,0.3333333333333333,0
32,human_fast,20,0,-0.1917880483011872,0.0,0.0,1
32,human_fast,21,1,0.8351753123302456,0.0,0.0,0
32,human_fast,22,0,-0.5013591322587582,0.0,0.0,1
32,human_fast,23,1,0.5757403160301614,0.0,0.0,1
32,human_fast,24,0,-0.9634572526320552,0.0,0.0,1
32,human_fast,25,0,-0.08377147609363544,0.0,0.0,0
32,human_fast,26,0,-0.04451046420817417,0.0,0.0,1
32,human_fast,27,0,-0.6580270086740034,0.0,0.0,0
32,human_fast,28,1,0.3960748157859324,0.0,0.0,0
32,human_fast,29,0,-0.36620409622270333,0.0,0.0,1
32,human_fast,30,1,0.0958940241505936,0.049999999999999996,0.3333333333333333,1
32,human_fast,31,1,0.1865385959784743,0.024999999999999998,0.16666666666666666,1
32,human_fast,32,0,-0.9241962407465939,0.08333333333333333,0.08333333333333333,0
32,human_fast,33,1,0.23792215592089372,0.012499999999999999,0.08333333333333333,0
32,human_fast,34,0,-1.0593512767826487,0.0,0.0,0
32,human_fast,35,0,-0.23104906018664848,0.08333333333333333,0.08333333333333333,0
32,human_fast,36,0,-0.7324081924454067,0.3333333333333333,0.3333333333333333,0
32,human_fast,37,0,-0.15666787641524524,0.0,0.0,1
32,human_fast,38,0,-0.2525619005658388,0.16666666666666666,0.16666666666666666,1
32,human_fast,39,1,0.32694308433724206,0.0,0.0,1
128,machine,0,1,0.25772996274449395,0.0,0.0,0
128,machine,1,0,-0.5622091837084101,0.0,0.0,0
128,machine,2,0,-0.7181760433913956,0.0,0.0,0
128,machine,3,0,-0.522731651300017,0.0,0.0,1
128,machine,4,1,1.1964845579919747,0.0,0.0,1
128,machine,5,1,0.55704382714648,0.012499999999999999,0.08333333333333333,0
128,machine,6,1,0.7454817634965002,0.0,0.0,0
128,machine,7,1,0.08377147609363537,0.0,0.0,0
128,machine,8,1,1.7079879931344195,0.0,0.0,0
128,machine,9,1,0.6604293293789881,0.0,0.0,0
128,machine,10,0,-0.37762562754740187,0.0,0.0,0
128,machine,11,1,0.6239340589671971,0.0,0.0,0
128,machine,12,1,0.8127955447177025,0.0,0.0,0
128,machine,13,0,-0.035120171885941964,0.0,0.0,0
128,machine,14,1,0.5391353606944259,0.0,0.0,0
128,machine,15,0,-0.5479008354693987,0.0,0.0,1
128,machine,16,0,-0.27424065144612214,0.0,0.0,0
128,machine,17,0,-0.4290091874898214,0.0,0.0,0
128,machine,18,1,0.0520014161588603,0.0,0.0,1
128,machine,19,0,-0.22165876786441632,0.0,0.0,1
128,machine,20,1,0.3867686192244832,0.0,0.0,0
128,machine,21,1,2.3833056120440363,0.0,0.0,0
128,machine,22,1,0.7220138832998438,0.0,0.0,0
128,machine,23,1,0.93168719269728,0.0,0.0,1
128,machine,24,1,0.10120240766718003,0.0,0.0,0
128,machine,25,1,0.41853867915925824,0.0,0.0,0
128,machine,26,1,0.6604293293789881,0.0,0.0,1
128,machine,27,0,-0.4193466751987373,0.0,0.0,0
128,machine,28,1,0.6759354751260575,0.0,0.0,0
128,machine,29,1,0.6975045410823962,0.0,0.0,0
128,machine,30,1,1.163069419661623,0.0,0.0,0
128,machine,31,1,0.45365885104520026,0.024999999999999998,0.16666666666666666,1
128,machine,32,1,1.0346486193980746,0.0,0.0,0
128,machine,33,1,1.0775929100123973,0.0,0.0,0
128,machine,34,0,-0.3524564433780202,0.0,0.0,0
128,machine,35,1,0.8624740711045318,0.012499999999999999,0.08333333333333333,0
128,machine,36,1,0.5272293331603994,0.0,0.0,0
128,machine,37,1,0.8307040111697567,0.0,0.0,0
