arm,content,declared_signal,n,within_observer,within_observer_sd,between_observer,between_observer_sd,engaged_fraction,engaged_fraction_sd,accuracy
C_label_truster,human_directed,SIG_GHOST,4000,1.366979945384018,0.012928669631058178,1.3781116015790302,0.004755149034810518,0.0,0.0,0.2285
D_effort_heuristic@0.01,human_directed,SIG_GHOST,4000,1.366979945384018,0.012928669631058178,1.3781116015790302,0.004755149034810518,0.998875,0.030224221532048352,0.2285
D_effort_heuristic@0.02,human_directed,SIG_GHOST,4000,1.366979945384018,0.012928669631058178,1.3781116015790302,0.004755149034810518,0.9840357142857142,0.09354079362534205,0.2285
D_effort_heuristic@0.05,human_directed,SIG_GHOST,4000,1.366979945384018,0.012928669631058178,1.3781116015790302,0.004755149034810518,0.4052857142857143,0.16640835093632153,0.2285
D_effort_heuristic@0.1,human_directed,SIG_GHOST,4000,1.366979945384018,0.012928669631058178,1.3781116015790302,0.004755149034810518,0.0809285714285714,0.024258370631760406,0.2285
D_effort_heuristic@0.2,human_directed,SIG_GHOST,4000,1.366979945384018,0.012928669631058178,1.3781116015790302,0.004755149034810518,0.0714285714285714,2.775904571323773e-17,0.2285
D_effort_heuristic@0.4,human_directed,SIG_GHOST,4000,1.366979945384018,0.012928669631058178,1.3781116015790302,0.004755149034810518,0.0714285714285714,2.775904571323773e-17,0.2285
E_no_tom_classifier@0.6,human_directed,SIG_GHOST,4000,0.00011313073920022215,0.0031526567501221794,0.0,0.0,0.0,0.0,1.0
E_no_tom_classifier@0.8,human_directed,SIG_GHOST,4000,0.00011313073920022215,0.0031526567501221794,0.0,0.0,0.0,0.0,1.0
E_no_tom_classifier@0.95,human_directed,SIG_GHOST,4000,0.00011313073920022215,0.0031526567501221794,0.0,0.0,0.0,0.0,1.0
E_no_tom_classifier@0.99,human_directed,SIG_GHOST,4000,8.084366723416729e-05,0.0014795844130428798,0.0,0.0,3.571428571428571e-05,0.0022587697572631284,1.0
A_active_inference,human_directed,UNSIGNED,4000,0.0013186618710607635,0.029628891955518936,0.003147906594716675,0.009443719784150024,0.0,0.0,0.9995
B_bayesian_always_deep,human_directed,UNSIGNED,4000,1.3495566525566123e-07,6.033989471202701e-06,0.0,0.0,1.0,0.0,1.0
C_label_truster,human_directed,UNSIGNED,4000,1.3669490404069016,0.012704805865526622,1.37947229322325,0.005070760874597707,1.0,0.0,0.26425
D_effort_heuristic@0.01,human_directed,UNSIGNED,4000,1.3669490404069016,0.012704805865526622,1.37947229322325,0.005070760874597707,0.9989285714285713,0.027461657220331316,0.26425
D_effort_heuristic@0.02,human_directed,UNSIGNED,4000,1.3669490404069016,0.012704805865526622,1.37947229322325,0.005070760874597707,0.9853928571428571,0.08598297204770404,0.26425
D_effort_heuristic@0.05,human_directed,UNSIGNED,4000,1.3669490404069016,0.012704805865526622,1.37947229322325,0.005070760874597707,0.4073571428571428,0.16391429329169221,0.26425
D_effort_heuristic@0.1,human_directed,UNSIGNED,4000,1.3669490404069016,0.012704805865526622,1.37947229322325,0.005070760874597707,0.08101785714285711,0.024354524524158382,0.26425
D_effort_heuristic@0.2,human_directed,UNSIGNED,4000,1.3669490404069016,0.012704805865526622,1.37947229322325,0.005070760874597707,0.0714285714285714,2.775904571323773e-17,0.26425
D_effort_heuristic@0.4,human_directed,UNSIGNED,4000,1.3669490404069016,0.012704805865526622,1.37947229322325,0.005070760874597707,0.0714285714285714,2.775904571323773e-17,0.26425
E_no_tom_classifier@0.6,human_directed,UNSIGNED,4000,0.0001335678347704406,0.003697096347455268,0.0,0.0,0.0,0.0,1.0
