process_uptake,goal_uptake,value_uptake,final_gate,mean_gate,process_ungated,goal_ungated,stance,depth,observer,engaged
0.07601108385393683,0.6174960537535494,6.5121254196705,0.7362614279529626,0.6977596899583758,0.1083341213453195,1.6677221506519158,sympathetic,1,34,0.5
-0.1056948822389937,0.5533896181663878,5.831983833026203,0.7362537438206317,0.6918514038555696,-0.14168138186059576,1.625807362016037,sympathetic,1,35,0.5
0.0002235575944338061,0.44910335311020566,4.271318744083423,0.703707150379745,0.6414057670096036,0.004872229679042883,1.3031526480119626,sympathetic,1,36,0.5
-0.06795882192576969,0.5049311547908728,5.438306633941834,0.7342522741890088,0.6850743269002382,-0.08907277976796357,1.4716320015529132,sympathetic,1,37,0.5
-0.08142159193869306,0.5026590545340675,4.976386060604002,0.7346090431949452,0.65883423918052,-0.09239082156924128,1.2526491920690135,sympathetic,1,38,0.5
-0.08206672982389988,0.4731635118093366,4.543916036193382,0.7256070753612587,0.6759981037411522,-0.11437668605253304,1.454008095985114,sympathetic,1,39,0.5
0.1043152934455878,0.5128103189059625,5.491026148887446,0.7363228799301766,0.6956659232739424,0.14452097286109278,1.3547401177531149,sympathetic,2,0,0.5625
0.2561040017700312,0.5812476068819347,6.489600800025097,0.736332144755788,0.6941432418221793,0.3531485892766406,1.488708451694718,sympathetic,2,1,0.75
0.05509813448164686,0.569152892719529,6.5517487181586,0.7363312921130244,0.6940312864077272,0.07750927065680391,1.554359298076932,sympathetic,2,2,0.5625
0.12968759051351175,0.5817926889718377,6.566683517953532,0.7237519257819285,0.6708469948943874,0.17114581779345817,1.5576840454009895,sympathetic,2,3,0.5
0.04507144724610519,0.5167037282647445,4.544719009441701,0.4912707711653932,0.3987307777237315,0.09396505424738089,1.3223321967523287,sympathetic,2,4,0.5
0.038459700629558266,0.5119010484510911,4.7068112622698175,0.7362570589390656,0.6823785876642687,0.059439679151886304,1.671898403543257,sympathetic,2,5,0.5
0.03835872334051748,0.48079269056095075,4.926660452490958,0.7363302288956711,0.6941203032852443,0.05447842585702878,1.3513841366885417,sympathetic,2,6,0.625
-0.05759936335653181,0.4367918177452976,4.994037329340379,0.7363285754245069,0.7082731605060999,-0.08503874755107743,0.9704409545250321,sympathetic,2,7,0.5625
0.24837123131946484,0.495220941729658,4.90329498589221,0.7363032308138405,0.687267344614074,0.34736412558607443,1.5376246123228539,sympathetic,2,8,0.5625
-0.0417565084137439,0.4366835839874195,4.003285033636154,0.7363322045301128,0.6956387017607888,-0.05573275732223726,1.2423927715026557,sympathetic,2,9,0.6875
0.12011030352894068,0.548510650472098,7.296597058613729,0.7263035790139091,0.5963012245058769,0.16436371891051804,1.6578115518327141,sympathetic,2,10,0.5
-0.3038322019128424,0.5546158991540922,5.761064452076433,0.7363207897782332,0.6930262774442495,-0.4157787882802626,1.6139853639713138,sympathetic,2,11,0.625
0.03597677895449914,0.6198140826125034,6.406934088009928,0.7351182168182885,0.6342759632113004,0.042579518847363884,1.5747993487193184,sympathetic,2,12,0.5
0.30871628296455744,0.5736146025440229,6.484461795003134,0.7363289807448218,0.6991401241238344,0.43265205074287505,1.492017925396028,sympathetic,2,13,0.6875
0.10708066798136882,0.5936104482086393,6.455299283480799,0.736323761967657,0.6942253207488425,0.14695936666918397,1.6765129003197554,sympathetic,2,14,0.6875
0.12561517676100153,0.5073615896860909,5.093734992671077,0.7359852041497426,0.6750765303232475,0.17790281719620493,1.4993886579333,sympathetic,2,15,0.5
-0.003584904481448244,0.5639932334726162,6.449451961048188,0.7361215641903776,0.6990395927435772,0.0028850640711854947,1.4517445345589157,sympathetic,2,16,0.5
-0.07982394022125622,0.49914106135980807,4.606730812509084,0.7363160012003066,0.6819494450384038,-0.11372178305228942,1.6637547120195417,sympathetic,2,17,0.5625
0.061286905544410575,0.404070726485412,4.077301872097762,0.736259109799462,0.6987875732842047,0.0831456943856197,1.0215828808080145,sympathetic,2,18,0.5
0.1051973803437066,0.5290584827652429,4.996332189185869,0.689420711677946,0.599652386084849,0.15852247894731608,1.5314554580791244,sympathetic,2,19,0.5
0.18807703728813574,0.4359305768543777,5.873395674019111,0.7363278608833117,0.6689241135421357,0.258746176085104,1.0189062469581842,sympathetic,2,20,0.625
0.028958289349398585,0.6131083328297137,5.038025669476916,0.7363239216161594,0.6334665070704055,0.055091812580343236,1.6479062621111624,sympathetic,2,21,0.6875
0.023149026384833404,0.3567891848493561,3.7797274962446927,0.7354544101322313,0.6221905003220347,0.03332367584273466,1.1232904897106255,sympathetic,2,22,0.5
-0.054956626192238706,0.4975731560294644,5.843611319246515,0.7363085107362117,0.7095052652074793,-0.07479811393143976,1.0668075212080412,sympathetic,2,23,0.5
0.09155111907030386,0.6743021590895693,7.448298311173057,0.7192905944082466,0.6339138529147083,0.14140138660835322,1.4584335134286637,sympathetic,2,24,0.5
0.038769253365038704,0.5903762685703461,5.880539516895739,0.7363322963053496,0.6964644067942274,0.055628485169263664,1.6827920608025673,sympathetic,2,25,0.75
0.10103053840970211,0.5021382521031512,5.108528290759027,0.7362552181409843,0.6905144024434029,0.14372961449897992,1.4347364500270106,sympathetic,2,26,0.5
0.08751323591775254,0.46715963053425397,5.199272079379757,0.7363227042740225,0.704447654189172,0.1199525034272142,1.1144231917480116,sympathetic,2,27,0.5625
-0.11395707764806359,0.4663672528602022,4.105924113295793,0.7362202596258276,0.6806523830626581,-0.15374967338285872,1.533983281020836,sympathetic,2,28,0.5
0.17109929804404816,0.4147354784844691,4.180288365599689,0.7361167293885349,0.6257483642644232,0.25561454107358017,1.3725377332324027,sympathetic,2,29,0.5625
0.14904093909538743,0.45534311694531265,4.482538181734834,0.7362845601422211,0.6939435295500852,0.20580760628115047,1.2385565551050197,sympathetic,2,30,0.5
0.17027138563259858,0.461843738474494,3.5135635938079597,0.7363310230236232,0.6881073636337972,0.24903638963983843,1.5329345919997293,sympathetic,2,31,0.625
0.13268570628159554,0.5856421910314922,5.790352836181758,0.7363315573010585,0.6631745604027601,0.1990209931718223,1.544076359210747,sympathetic,2,32,0.75
0.12658039531221585,0.46284909946660424,4.371836907445088,0.7359204954765011,0.7044925566523268,0.18481652394151138,1.1146228938459624,sympathetic,2,33,0.5
0.04441681082212673,0.4844935469575069,5.620775808588441,0.734857887794402,0.6713502660975513,0.07387011217955397,1.0953847580483866,sympathetic,2,34,0.5
0.16469711967157122,0.5268791898024701,5.906215371433695,0.7357470529276349,0.6905587180586241,0.23337695352898735,1.2471812955957224,sympathetic,2,35,0.5
-0.00801243557308862,0.4825781659344039,5.700131772993729,0.7363323060953756,0.7082945885833558,-0.010823543312153516,1.0497870987424687,sympathetic,2,36,0.75
0.08792180934265402,0.4807658916916775,4.288759954697295,0.7362304921859305,0.6862000123303139,0.11952042484758985,1.5239323649428198,sympathetic,2,37,0.5
-0.0023039766260809363,0.5144250463706764,5.24980857723836,0.7363297374852588,0.6973457832921607,-0.0012042682418547113,1.421270826541925,sympathetic,2,38,0.625
0.053709905523249134,0.6913755715625404,8.187876090767258,0.7353104919459927,0.647081069004602,0.09609460932310232,1.3198274409883595,sympathetic,2,39,0.5
0.1449603753491438,0.6703551888969352,7.257326323579768,0.7363307820530428,0.6616892769524856,0.2025372234895928,1.4847985938435806,sympathetic,3,0,0.5625
0.16882871046110354,0.4412782324998278,5.786250694162054,0.736331243924519,0.6473019479846602,0.24929063193089118,1.5526523705999524,sympathetic,3,1,0.75
-0.03468041699991215,0.5238571847723219,5.685692864938737,0.7363317071025438,0.6839849733821515,-0.04753364277197103,0.9748674237384435,sympathetic,3,2,0.625
0.3178572433840347,0.49930166493341266,4.767688224839024,0.7358140374386439,0.6848966972695741,0.45962971293053445,1.2728308394472279,sympathetic,3,3,0.6875
0.09911873605483741,0.5224750442137165,5.009022043845893,0.7362646417809555,0.6876988631381283,0.1516757895813905,1.6337477689943245,sympathetic,3,4,0.5
0.36361414681950655,0.4532314438926271,4.13791954045295,0.7363321548974896,0.7014673071384404,0.5091234198538588,1.1883814927381129,sympathetic,3,5,0.75
-0.045453455314218974,0.4284151848070175,3.998236455596933,0.7093824915671406,0.5654773821818168,-0.06278793606856126,1.5999775810230614,sympathetic,3,6,0.5
0.22842664012173552,0.580651191055739,6.3997312737090954,0.7361726632769503,0.6872685987690481,0.32744657596059956,1.5566845292832516,sympathetic,3,7,0.625
-0.018312212166944182,0.573491677984545,6.625025330039356,0.7363224304445083,0.695149436878495,-0.025706104112659167,1.5221682241218182,sympathetic,3,8,0.5625
0.11979838487395567,0.5918646461206735,6.513016918383614,0.7360298361296774,0.6864402996738708,0.17088513641814607,1.6677544654872578,sympathetic,3,9,0.5625
0.0562672460983151,0.5571616115295511,5.930633828672712,0.7319055821553386,0.6875374773055654,0.08515306510217013,1.5644930181927086,sympathetic,3,10,0.5625
0.13344668172059113,0.5797647414358049,6.439402693533187,0.734080645340781,0.7031105735633312,0.19518092016864919,1.4124597602461288,sympathetic,3,11,0.5
0.3323771812210198,0.6253258614013054,7.468670623722328,0.7363322327540297,0.6741295912937058,0.4586837914732469,1.2436475291680187,sympathetic,3,12,0.75
0.010734304395980561,0.47634390549071326,4.638780850657983,0.7362834298286268,0.6960738110826654,0.010047578108405508,1.3360381520943327,sympathetic,3,13,0.5
0.0928623681206188,0.4917207018017813,4.447238123868664,0.736332303198184,0.7005261587011393,0.12820189177261399,1.3254746620853415,sympathetic,3,14,0.75
0.07386501491335035,0.5194625991029173,5.315957731906537,0.7363309563832239,0.699914944411215,0.09837476269450929,1.3693722119342475,sympathetic,3,15,0.625
0.37445670578789964,0.5511312682515789,5.70628551556904,0.736307654589289,0.6917064267604505,0.5251171414117115,1.5880755773198607,sympathetic,3,16,0.625
0.06293281963245625,0.4535467717252414,4.232105321649945,0.7362610457424641,0.691940100712642,0.08911876362899762,1.2855671867511178,sympathetic,3,17,0.5
-0.055481697764866195,0.4791900150835841,5.468141913290329,0.7363255492591508,0.7017721464414979,-0.07525470482068664,1.1507101902700603,sympathetic,3,18,0.5625
0.18258410572125564,0.5005907670025078,4.619274930639783,0.7363316431587456,0.6872499146876513,0.2566966128724075,1.5998410187716277,sympathetic,3,19,0.75
0.019281683114297662,0.4951218182928695,4.840639778786694,0.7362364430123473,0.6799687496885478,0.02052452403839755,1.5950998260450782,sympathetic,3,20,0.5
0.11516167427769691,0.5046635822109542,4.8051397680300765,0.6124033066269151,0.5482779621469496,0.20421809855595985,1.1820995955417415,sympathetic,3,21,0.5
0.01040219887920536,0.6065061594891744,6.680460921414217,0.7360693844630903,0.693213572819043,0.01014704273744571,1.6579818634920083,sympathetic,3,22,0.5
0.011791826839611486,0.4458483479641797,3.834124093111612,0.7362722575655543,0.693170650741252,0.015198666768093672,1.2997870498132733,sympathetic,3,23,0.5
0.3665822693708058,0.560416882365,6.085163062846549,0.7363168027888657,0.7042895224481547,0.5118219631716164,1.3691701986163995,sympathetic,3,24,0.625
-0.058821117262298404,0.5781981839951404,5.290033085733959,0.7361828815107572,0.6283400047324967,-0.06706994434040059,1.5489224985689796,sympathetic,3,25,0.5625
0.04342071013234406,0.5768793268619193,6.705400282434755,0.7363210308717811,0.697701001698608,0.06048193495034071,1.510979626786802,sympathetic,3,26,0.6875
0.027122612864571287,0.5825719442997033,5.784655014824129,0.7350056561500493,0.639070174362032,0.03241519867725584,1.4148622119439012,sympathetic,3,27,0.5
0.07805042638440432,0.4514868164456429,5.05773657862693,0.7363271158728701,0.6887010544183013,0.10484367034758502,1.1736580837184887,sympathetic,3,28,0.5625
0.07078745775635051,0.3922616451477609,3.5700322745846638,0.729211260096349,0.5911394386100931,0.133313862200241,1.3493316172673846,sympathetic,3,29,0.5
0.0589677864613002,0.6050968653005143,6.459208381015611,0.736307037961616,0.6890164775398234,0.07620379032171942,1.6756903306404072,sympathetic,3,30,0.75
-0.16763373908614135,0.5004558095433176,5.398651635169019,0.736275291818944,0.6968938601299174,-0.24732254775821993,1.318752029643054,sympathetic,3,31,0.5
0.11233237206380832,0.5233589366947996,5.813428895492457,0.7362839445716477,0.6893348380958715,0.15931840173588196,1.4498075258956993,sympathetic,3,32,0.625
-0.06217115117875184,0.4640000374800917,4.558731816058978,0.7362424602301912,0.6838592281637409,-0.09153492079174308,1.4196107384002148,sympathetic,3,33,0.5
0.22417501680776356,0.5482417354906122,6.08997321425156,0.7363169486950583,0.7087334039893374,0.30590790603111606,1.231772138693867,sympathetic,3,34,0.8125
-0.05678024011957276,0.7027813061291839,6.153779241106091,0.7352158714836609,0.657671962826903,-0.09190605027123167,1.6392021352520487,sympathetic,3,35,0.5
0.4330234412350574,0.5401099793591706,6.317914760317685,0.7363259216325521,0.7039876768432156,0.6008736626195397,1.286873100802743,sympathetic,3,36,0.6875
0.006516396765194998,0.5980483926969928,6.241343164061674,0.7354898953940494,0.681418388887467,-0.013816510392041126,1.6056906406410625,sympathetic,3,37,0.5
0.10322755558814477,0.14990326979379598,5.265220673893879,0.7355237413809517,0.6316750274965265,0.1520855560480976,1.393736567259552,sympathetic,3,38,0.5
-0.09476683097230126,0.5338301895805115,5.58876598486658,0.7362267288028299,0.6857527716885787,-0.12097485039044176,1.5712040015218889,sympathetic,3,39,0.5
-0.01322848700048695,0.26832462504823407,3.203446164990071,0.7107668810966895,0.5603429562267342,-0.02622476382609973,1.5988987526162624,adversarial,1,0,0.5
0.18381888652596975,0.3046710617383651,3.836431520894335,0.7346116556492382,0.5949576541057454,0.23145758680534345,1.4242179544057385,adversarial,1,1,0.5
0.03481479869641835,0.24520687815016032,3.23649959703095,0.7342568444637665,0.6645342224751972,0.05157334481150544,1.24523003775079,adversarial,1,2,0.5
0.09058832493988855,0.26708205263463664,3.256321922029235,0.7362753131283529,0.6375205145158551,0.12764736950732636,1.5837112308857237,adversarial,1,3,0.5
-0.015622663234760494,0.27210716227353143,3.214685024095614,0.7362646679892414,0.6623003121611869,-0.02681905096326509,1.596230156907918,adversarial,1,4,0.5
