block,corner,observer,aesthetic,social,information_gain,engagement_additive,engagement_multiplicative,error_reduction,goal_correct,regime,mu,salience,engagement,process_error_reduction
corners,ugly_endorsed,45,0.0,1.0,0.0,0.35,0.0,0.16374396008794623,0,,,,,
corners,ugly_endorsed,46,0.0,1.0,0.0,0.35,0.0,1.4683881390302038,1,,,,,
corners,ugly_endorsed,47,0.0,1.0,0.0,0.35,0.0,1.4576370801504366,1,,,,,
corners,ugly_endorsed,48,0.0,1.0,0.0,0.35,0.0,1.3572260968202707,1,,,,,
corners,ugly_endorsed,49,0.0,1.0,0.0,0.35,0.0,0.2180159269061832,1,,,,,
corners,beautiful_endorsed,0,1.0,1.0,0.0,0.7,0.0,-2.0164091865823757,0,,,,,
corners,beautiful_endorsed,1,1.0,1.0,0.0,0.7,0.0,-2.096629332841852,0,,,,,
corners,beautiful_endorsed,2,1.0,1.0,0.05555555555555555,0.7555555555555555,0.10125,-2.100713210473475,0,,,,,
corners,beautiful_endorsed,3,1.0,1.0,0.0,0.7,0.0,-1.0953591136283545,0,,,,,
corners,beautiful_endorsed,4,1.0,1.0,0.05555555555555555,0.7555555555555555,0.10125,0.5666345537284405,1,,,,,
corners,beautiful_endorsed,5,1.0,1.0,0.0,0.7,0.0,-2.6274313020604367,0,,,,,
corners,beautiful_endorsed,6,1.0,1.0,0.0,0.7,0.0,0.8320029476302093,1,,,,,
corners,beautiful_endorsed,7,1.0,1.0,0.0,0.7,0.0,-0.7557364310926158,0,,,,,
corners,beautiful_endorsed,8,1.0,1.0,0.0,0.7,0.0,1.1536159718819174,1,,,,,
corners,beautiful_endorsed,9,1.0,1.0,0.0,0.7,0.0,-0.6105855452120224,0,,,,,
corners,beautiful_endorsed,10,1.0,1.0,0.0,0.7,0.0,-3.0720450775949013,0,,,,,
corners,beautiful_endorsed,11,1.0,1.0,0.0,0.7,0.0,1.0739647108291297,1,,,,,
corners,beautiful_endorsed,12,1.0,1.0,0.0,0.7,0.0,-0.6114786629079074,0,,,,,
corners,beautiful_endorsed,13,1.0,1.0,0.0,0.7,0.0,-0.2329998514947409,0,,,,,
corners,beautiful_endorsed,14,1.0,1.0,0.0,0.7,0.0,-0.37358305586252305,0,,,,,
corners,beautiful_endorsed,15,1.0,1.0,0.0,0.7,0.0,-2.8777584823965006,0,,,,,
corners,beautiful_endorsed,16,1.0,1.0,0.0,0.7,0.0,-1.2963066964295271,0,,,,,
corners,beautiful_endorsed,17,1.0,1.0,0.0,0.7,0.0,-1.9832183102632688,0,,,,,
corners,beautiful_endorsed,18,1.0,1.0,0.0,0.7,0.0,0.1756678570087904,1,,,,,
corners,beautiful_endorsed,19,1.0,1.0,0.0,0.7,0.0,-0.13512852465297542,0,,,,,
corners,beautiful_endorsed,20,1.0,1.0,0.0,0.7,0.0,1.5840076063360888,1,,,,,
corners,beautiful_endorsed,21,1.0,1.0,0.0,0.7,0.0,0.3362090521462151,0,,,,,
corners,beautiful_endorsed,22,1.0,1.0,0.0,0.7,0.0,-0.26036469453033706,0,,,,,
corners,beautiful_endorsed,23,1.0,1.0,0.05555555555555555,0.7555555555555555,0.10125,-1.7203743009914585,0,,,,,
corners,beautiful_endorsed,24,1.0,1.0,0.1111111111111111,0.8111111111111111,0.2025,-1.5584710744479062,0,,,,,
corners,beautiful_endorsed,25,1.0,1.0,0.0,0.7,0.0,-0.3409287187494452,0,,,,,
corners,beautiful_endorsed,26,1.0,1.0,0.0,0.7,0.0,-0.27348716920520166,0,,,,,
corners,beautiful_endorsed,27,1.0,1.0,0.0,0.7,0.0,-1.4651265464678314,0,,,,,
corners,beautiful_endorsed,28,1.0,1.0,0.0,0.7,0.0,-2.15292066864957,0,,,,,
corners,beautiful_endorsed,29,1.0,1.0,0.0,0.7,0.0,-0.3929287767477705,0,,,,,
corners,beautiful_endorsed,30,1.0,1.0,0.05555555555555555,0.7555555555555555,0.10125,-0.43766794173600543,0,,,,,
corners,beautiful_endorsed,31,1.0,1.0,0.0,0.7,0.0,-0.270710247124621,0,,,,,
corners,beautiful_endorsed,32,1.0,1.0,0.0,0.7,0.0,0.4067529422969922,1,,,,,
corners,beautiful_endorsed,33,1.0,1.0,0.0,0.7,0.0,-0.23110805304733262,0,,,,,
corners,beautiful_endorsed,34,1.0,1.0,0.0,0.7,0.0,0.9336155344522298,1,,,,,
corners,beautiful_endorsed,35,1.0,1.0,0.0,0.7,0.0,1.2268970586223895,1,,,,,
corners,beautiful_endorsed,36,1.0,1.0,0.0,0.7,0.0,0.25041807621655643,0,,,,,
corners,beautiful_endorsed,37,1.0,1.0,0.0,0.7,0.0,1.0274028214301585,1,,,,,
corners,beautiful_endorsed,38,1.0,1.0,0.0,0.7,0.0,-2.684201100172948,0,,,,,
corners,beautiful_endorsed,39,1.0,1.0,0.05555555555555555,0.7555555555555555,0.10125,-1.2578288252601628,0,,,,,
corners,beautiful_endorsed,40,1.0,1.0,0.0,0.7,0.0,1.1456469665594247,1,,,,,
corners,beautiful_endorsed,41,1.0,1.0,0.0,0.7,0.0,-0.5044573271964794,0,,,,,
corners,beautiful_endorsed,42,1.0,1.0,0.0,0.7,0.0,0.280717737513136,0,,,,,
corners,beautiful_endorsed,43,1.0,1.0,0.0,0.7,0.0,0.6226793040899041,1,,,,,
corners,beautiful_endorsed,44,1.0,1.0,0.0,0.7,0.0,0.21886921290647887,1,,,,,
corners,beautiful_endorsed,45,1.0,1.0,0.0,0.7,0.0,0.16374396008794623,0,,,,,
corners,beautiful_endorsed,46,1.0,1.0,0.0,0.7,0.0,1.4683881390302038,1,,,,,
corners,beautiful_endorsed,47,1.0,1.0,0.0,0.7,0.0,1.4576370801504366,1,,,,,
corners,beautiful_endorsed,48,1.0,1.0,0.0,0.7,0.0,1.3572260968202707,1,,,,,
corners,beautiful_endorsed,49,1.0,1.0,0.0,0.7,0.0,0.2180159269061832,1,,,,,
decoupling,,0,,,0.0,,,1.2125405303849288,1,honest,1.0,0.0,0.0,0.02090490716298188
decoupling,,1,,,0.0,,,0.4833494356450734,1,honest,1.0,0.0,0.0,-0.17549433848075635
decoupling,,2,,,0.1111111111111111,,,-0.6771387672658622,0,honest,1.0,0.0,0.1111111111111111,0.04450674756211992
decoupling,,3,,,0.05555555555555555,,,0.4173543427566655,0,honest,1.0,0.0,0.05555555555555555,0.04040644826828643
decoupling,,4,,,0.0,,,-2.0254051253391423,0,honest,1.0,0.0,0.0,0.002853809854324929
decoupling,,5,,,0.0,,,0.21979856478810667,0,honest,1.0,0.0,0.0,-0.010108352306134272
decoupling,,6,,,0.05555555555555555,,,1.0736399154992564,1,honest,1.0,0.0,0.05555555555555555,0.01482560762362839
decoupling,,7,,,0.05555555555555555,,,-4.002359339473712,0,honest,1.0,0.0,0.05555555555555555,0.01744254114154531
decoupling,,8,,,0.0,,,0.9276942986821859,1,honest,1.0,0.0,0.0,0.020800088183869025
decoupling,,9,,,0.0,,,-0.5968578578572492,0,honest,1.0,0.0,0.0,0.02777589800374236
decoupling,,10,,,0.0,,,0.9190552145768277,1,honest,1.0,0.0,0.0,-0.00269519648675276
decoupling,,11,,,0.0,,,-0.7191960033741205,0,honest,1.0,0.0,0.0,0.04527795933038581
decoupling,,12,,,0.05555555555555555,,,1.2621896218312658,1,honest,1.0,0.0,0.05555555555555555,0.026822488642936904
decoupling,,13,,,0.0,,,-2.237895703472639,0,honest,1.0,0.0,0.0,0.020772191187740985
decoupling,,14,,,0.0,,,-0.019846593426422254,0,honest,1.0,0.0,0.0,-0.021588023168140014
decoupling,,15,,,0.0,,,0.2675480244225208,0,honest,1.0,0.0,0.0,-0.023494922870217927
decoupling,,16,,,0.0,,,-0.7384756117189692,0,honest,1.0,0.0,0.0,0.02897073887319568
decoupling,,17,,,0.0,,,0.07381405766012983,0,honest,1.0,0.0,0.0,-0.07243265886558081
decoupling,,18,,,0.0,,,-0.5823892252396883,0,honest,1.0,0.0,0.0,0.04529018853948141
decoupling,,19,,,0.0,,,-2.67638318038349,0,honest,1.0,0.0,0.0,-0.04215015340060302
decoupling,,20,,,0.0,,,-1.1294890437428198,0,honest,1.0,0.0,0.0,0.010815884695515754
decoupling,,21,,,0.0,,,0.1616795993463216,0,honest,1.0,0.0,0.0,0.014925883145228358
decoupling,,22,,,0.0,,,1.2653585378594492,1,honest,1.0,0.0,0.0,0.02115451444794103
decoupling,,23,,,0.0,,,0.252223977979818,1,honest,1.0,0.0,0.0,-0.013070890231187349
decoupling,,24,,,0.0,,,0.14016029996512858,0,honest,1.0,0.0,0.0,-0.0032390099461756527
decoupling,,25,,,0.0,,,0.17710215743668378,0,honest,1.0,0.0,0.0,-0.01095570568926374
decoupling,,26,,,0.0,,,0.7834007811322898,1,honest,1.0,0.0,0.0,-0.07814119895037086
decoupling,,27,,,0.0,,,0.1249845235504734,0,honest,1.0,0.0,0.0,-0.014136541423881432
decoupling,,28,,,0.0,,,-0.5678681566409476,0,honest,1.0,0.0,0.0,0.0006391715940441411
decoupling,,29,,,0.0,,,1.349743444213801,1,honest,1.0,0.0,0.0,-0.10485298941564425
decoupling,,30,,,0.0,,,-0.5161629638698633,0,honest,1.0,0.0,0.0,0.0007581273674621691
decoupling,,31,,,0.0,,,-0.5513388268124471,0,honest,1.0,0.0,0.0,-0.0031191075739318563
decoupling,,32,,,0.05555555555555555,,,-0.6187352383158518,0,honest,1.0,0.0,0.05555555555555555,-0.06776304207348094
decoupling,,33,,,0.0,,,-0.6757464001378628,0,honest,1.0,0.0,0.0,-0.0022802528869858563
decoupling,,34,,,0.0,,,0.13638189614868867,0,honest,1.0,0.0,0.0,0.005403665335258934
decoupling,,35,,,0.0,,,-0.506493442072915,0,honest,1.0,0.0,0.0,-0.0019240265118087851
decoupling,,36,,,0.2777777777777778,,,-0.6810714868030736,0,honest,1.0,0.0,0.2777777777777778,0.0358617311592313
decoupling,,37,,,0.0,,,-0.8347960571976603,0,honest,1.0,0.0,0.0,-0.01716312226669281
decoupling,,38,,,0.0,,,0.2152713519373175,0,honest,1.0,0.0,0.0,-0.03787734041736579
decoupling,,39,,,0.0,,,-0.802058176219957,0,honest,1.0,0.0,0.0,0.048233198556066004
decoupling,,40,,,0.0,,,1.4801422821674444,1,honest,1.0,0.0,0.0,-0.006780614019500142
decoupling,,41,,,0.0,,,-1.628030123294971,0,honest,1.0,0.0,0.0,0.08045765950443595
decoupling,,42,,,0.1111111111111111,,,1.5022810562480582,1,honest,1.0,0.0,0.1111111111111111,0.05073781794007459
decoupling,,43,,,0.0,,,-0.2539769474453015,0,honest,1.0,0.0,0.0,0.005163833724449951
decoupling,,44,,,0.0,,,-0.19503641620050538,0,honest,1.0,0.0,0.0,-0.01568583065852236
decoupling,,45,,,0.0,,,-1.5564548792493047,0,honest,1.0,0.0,0.0,-0.007244335014691128
decoupling,,46,,,0.2222222222222222,,,0.03991234020575973,0,honest,1.0,0.0,0.2222222222222222,0.019409941812250864
decoupling,,47,,,0.0,,,-0.2572540164343948,0,honest,1.0,0.0,0.0,-0.029824898722933035
decoupling,,48,,,0.0,,,0.9353805838759511,1,honest,1.0,0.0,0.0,0.0149790276909747
decoupling,,49,,,0.0,,,-4.403590687045753,0,honest,1.0,0.0,0.0,-0.0007644638959094507
decoupling,,0,,,0.0,,,1.2519630163701057,1,honest,2.0,0.5,0.175,-0.04665565143291173
decoupling,,1,,,0.0,,,1.584407028975875,1,honest,2.0,0.5,0.175,0.08480913932454337
decoupling,,2,,,0.05555555555555555,,,1.6590488178831306,1,honest,2.0,0.5,0.23055555555555554,0.12926798855948296
decoupling,,3,,,0.0,,,1.5972653639823575,1,honest,2.0,0.5,0.175,0.11162637054105318
decoupling,,4,,,0.2777777777777778,,,1.3110135417202304,1,honest,2.0,0.5,0.4527777777777778,0.1707841847767977
decoupling,,5,,,0.0,,,1.6228552999742998,1,honest,2.0,0.5,0.175,0.007462518917922711
decoupling,,6,,,0.0,,,1.5479472894820023,1,honest,2.0,0.5,0.175,0.02320228884128439
decoupling,,7,,,0.0,,,1.1899930571623571,1,honest,2.0,0.5,0.175,0.03815026834837254
decoupling,,8,,,0.0,,,1.3068806567542923,1,honest,2.0,0.5,0.175,-0.015087127831344027
decoupling,,9,,,0.0,,,1.305971911176783,1,honest,2.0,0.5,0.175,0.03433592792043605
decoupling,,10,,,0.0,,,1.1885903773876842,1,honest,2.0,0.5,0.175,-0.07663917757589922
decoupling,,11,,,0.1111111111111111,,,1.626933015190001,1,honest,2.0,0.5,0.2861111111111111,0.011137473575908663
decoupling,,12,,,0.0,,,1.584020092467532,1,honest,2.0,0.5,0.175,-0.11451452894189673
decoupling,,13,,,0.0,,,1.1053106881856851,1,honest,2.0,0.5,0.175,0.06843326188907439
decoupling,,14,,,0.0,,,1.3268388913141325,1,honest,2.0,0.5,0.175,0.06693133662198902
decoupling,,15,,,0.05555555555555555,,,1.6552386757862436,1,honest,2.0,0.5,0.23055555555555554,-0.0874742555553012
