label,kappa,coupling,values_layer,observer,integration,theta_EC,value_divergence,psi,goal_correct,final_entropy,error_reduction
honest,0.2,1.0,False,26,0.09762514990620952,0.3038626519957919,0.029828314994739875,0.0006497926207127591,1,1.350422894272474,0.34797090093116956
honest,0.2,1.0,True,26,0.003399424623310133,0.7359687779555416,0.569960972444427,2.262655716296806e-05,1,1.350422894272474,0.34797090093116956
honest,0.2,0.0,False,27,0.06427565531625566,0.3500243124718242,2.431247182422213e-05,3.48706440772918e-07,0,1.365143924720813,-0.003712376297930531
honest,0.2,0.0,True,27,0.00017401622505630205,1.0972803128877147,0.7472803128877147,9.440678306204013e-10,0,1.365143924720813,-0.003712376297930531
honest,0.2,1.0,False,27,0.10734990047871174,0.28001944997745937,2.431247182422213e-05,5.82391599573336e-07,0,1.365143924720813,-0.003712376297930531
honest,0.2,1.0,True,27,0.0010062283765319517,0.8778242503101717,0.7472803128877147,5.45896131371576e-09,0,1.365143924720813,-0.003712376297930531
honest,0.2,0.0,False,28,0.06879154671571719,0.38421887462727017,0.034218874627270204,0.0005252730720717075,0,1.3051357137871338,0.053316900946164036
honest,0.2,0.0,True,28,0.0012617094178434757,0.8927967503420122,0.5427967503420122,9.634061358021882e-06,0,1.3051357137871338,0.053316900946164036
honest,0.2,1.0,False,28,0.120187892067552,0.30737509970181615,0.034218874627270204,0.0009177212362012766,0,1.3051357137871338,0.053316900946164036
honest,0.2,1.0,True,28,0.0052432823887617,0.7142374002736098,0.5427967503420122,4.0036242526512085e-05,0,1.3051357137871338,0.053316900946164036
honest,0.2,0.0,False,29,0.06387640564983187,0.4114146198376645,0.06141461983766447,0.0008753799167511993,0,1.281192540734026,-0.5345645715217395
honest,0.2,0.0,True,29,0.00011536102353524208,1.2092310180617063,0.8592310180617063,1.580939349220868e-06,0,1.281192540734026,-0.5345645715217395
honest,0.2,1.0,False,29,0.11644504290091036,0.3291316958701316,0.06141461983766447,0.0015957950502018745,0,1.281192540734026,-0.5345645715217395
honest,0.2,1.0,True,29,0.0007980355843887036,0.9673848144493651,0.8592310180617063,1.0936500204101838e-05,0,1.281192540734026,-0.5345645715217395
honest,0.2,0.0,False,30,0.05114579412802009,0.42146204419373534,0.07146204419373536,0.0008155858866800657,0,1.3081209693157898,-0.3357269394973299
honest,0.2,0.0,True,30,0.023492221043736494,0.5223043535314265,0.17230435353142654,0.00037461387112460955,0,1.3081209693157898,-0.3357269394973299
honest,0.2,1.0,False,30,0.09567466720902654,0.3371696353549883,0.07146204419373536,0.0015256564028154388,0,1.3081209693157898,-0.3357269394973299
honest,0.2,1.0,True,30,0.05256905552475868,0.41784348282514117,0.17230435353142654,0.0008382816318146713,0,1.3081209693157898,-0.3357269394973299
honest,0.2,0.0,False,31,0.06118033372531513,0.360559853205586,0.010559853205586018,0.00014416308362897408,1,1.3596634372692546,-0.004535063622598701
honest,0.2,0.0,True,31,0.00013325910378969734,1.134595389404939,0.7845953894049389,3.1400684099255174e-07,1,1.3596634372692546,-0.004535063622598701
honest,0.2,1.0,False,31,0.10396717216854391,0.2884478825644688,0.010559853205586018,0.0002449844128555306,1,1.3596634372692546,-0.004535063622598701
honest,0.2,1.0,True,31,0.0008180822288576213,0.9076763115239512,0.7845953894049389,1.9276988141922938e-06,1,1.3596634372692546,-0.004535063622598701
honest,0.2,0.0,False,32,0.06979426421594188,0.40042105459559346,0.050421054595593484,0.0007852645621357437,0,1.2799804021304786,-0.4733654226301751
honest,0.2,0.0,True,32,1.851196106427837e-05,1.4388236830371577,1.0888236830371578,2.0828053942137709e-07,0,1.2799804021304786,-0.4733654226301751
honest,0.2,1.0,False,32,0.12464276959094937,0.3203368436764748,0.050421054595593484,0.0014023724010241345,0,1.2799804021304786,-0.4733654226301751
honest,0.2,1.0,True,32,0.0001850023361285487,1.1510589464297263,1.0888236830371578,2.081485923035086e-06,0,1.2799804021304786,-0.4733654226301751
honest,0.2,0.0,False,33,0.05252310322621329,0.37954898282809607,0.029548982828096107,0.000346319745647442,0,1.361368365068838,-0.28419590553927887
honest,0.2,0.0,True,33,0.00254042454081237,0.764590357067472,0.41459035706747205,1.6750708293480427e-05,0,1.361368365068838,-0.28419590553927887
honest,0.2,1.0,False,33,0.09235017506630581,0.3036391862624769,0.029548982828096107,0.0006089261139371866,0,1.361368365068838,-0.28419590553927887
honest,0.2,1.0,True,33,0.008581433475906184,0.6116722856539777,0.41459035706747205,5.658309726800461e-05,0,1.361368365068838,-0.28419590553927887
honest,0.2,0.0,False,34,0.04336523440630001,0.4678896439132028,0.11788964391320285,0.0011407794645611282,1,1.2737699659793407,0.6423097840640128
honest,0.2,0.0,True,34,8.164958800141025e-05,1.2577932098678368,0.9077932098678367,2.1478996840924193e-06,1,1.2737699659793407,0.6423097840640128
honest,0.2,1.0,False,34,0.08745283329830648,0.3743117151305623,0.11788964391320285,0.0023005616759655314,1,1.2737699659793407,0.6423097840640128
honest,0.2,1.0,True,34,0.0006105601506648814,1.0062345678942695,0.9077932098678367,1.6061586920804398e-05,1,1.2737699659793407,0.6423097840640128
honest,0.2,0.0,False,35,0.04607889514311958,0.4044707084395688,0.05447070843956883,0.0005600791705805887,1,1.3506770386530107,0.42712755305850814
honest,0.2,0.0,True,35,0.0029896587473167333,0.7518927038364698,0.40189270383646986,3.6338666244392e-05,1,1.3506770386530107,0.42712755305850814
honest,0.2,1.0,False,35,0.08447262128317859,0.323576566751655,0.05447070843956883,0.001026746746381468,1,1.3506770386530107,0.42712755305850814
honest,0.2,1.0,True,35,0.009887242272432907,0.6015141630691758,0.40189270383646986,0.00012017732704036914,1,1.3506770386530107,0.42712755305850814
honest,0.2,0.0,False,36,0.051563911834717494,0.40453405207010895,0.05453405207010897,0.000627477223528149,1,1.3301009094495042,0.3705412090634914
honest,0.2,0.0,True,36,0.007342095145954768,0.6538802387617241,0.3038802387617241,8.934538348894915e-05,1,1.3301009094495042,0.3705412090634914
honest,0.2,1.0,False,36,0.09408576510826731,0.3236272416560872,0.05453405207010897,0.0011449223412857582,1,1.3301009094495042,0.3705412090634914
honest,0.2,1.0,True,36,0.020622115875723396,0.5231041910093793,0.3038802387617241,0.00025094892052511736,1,1.3301009094495042,0.3705412090634914
honest,0.2,0.0,False,37,0.06042360650416461,0.3642713579012472,0.0142713579012472,0.00019242269000722685,0,1.3568145343619002,-0.17477135670425192
honest,0.2,0.0,True,37,0.0020510768316190186,0.7946823445422657,0.4446823445422658,6.531780279027687e-06,0,1.3568145343619002,-0.17477135670425192
