leak,reader,encounter,rejectable,gate_open,looked,drift_from_start,value_divergence,arm
0.1,4,16,True,0.10069328593351913,0.125,0.005300761529601881,0.9763299470705488,skims_it
0.1,4,17,True,0.1,0.16666666666666666,0.003978639009977856,6.1763404873801715,skims_it
0.1,4,18,True,0.10000004328211869,0.08333333333333333,0.004739389374629649,2.511956136397146,skims_it
0.1,4,19,True,0.10000000127859911,0.16666666666666666,0.006796397350739711,3.0270070716054653,skims_it
0.1,5,0,True,0.10000005705290105,0.08333333333333333,8.050401718663787e-05,2.43448429193378,skims_it
0.1,5,1,True,0.10000000000000188,0.125,0.00021659136405098893,4.82324127851786,skims_it
0.1,5,2,True,0.1,0.3333333333333333,0.002134417788835479,12.93801213169348,skims_it
0.1,5,3,True,0.10000000053905259,0.08333333333333333,0.0030000544979021174,3.124850749196649,skims_it
0.1,5,4,True,0.10000000002375094,0.08333333333333333,0.004029185332533394,3.5442668893263627,skims_it
0.1,5,5,True,0.1,0.3333333333333333,0.003365915009935317,9.617747462617581,skims_it
0.1,5,6,True,0.10000013059896466,0.16666666666666666,0.005213103428341324,2.3503203611720878,skims_it
0.1,5,7,True,0.1,0.20833333333333334,0.006144680829777854,8.636389363456159,skims_it
0.1,5,8,True,0.1,0.4583333333333333,0.012246806906421985,13.815497597259425,skims_it
0.1,5,9,True,0.10000000000000031,0.125,0.014684330548146,5.0605152482165145,skims_it
0.1,5,10,True,0.10000000000000031,0.125,0.012341324533107528,5.058634498204723,skims_it
0.1,5,11,True,0.10000000557693087,0.16666666666666666,0.013212143580458337,2.772589049532703,skims_it
0.1,5,12,True,0.10000000000260748,0.125,0.011307390375346407,3.866091750585839,skims_it
0.1,5,13,True,0.10000000056242757,0.25,0.013657024826702842,3.0987687860490007,skims_it
0.1,5,14,True,0.10000000000002125,0.20833333333333334,0.016803180902238514,4.508117264628295,skims_it
0.1,5,15,True,0.10012184453117019,0.125,0.018083086438296106,1.2766359943190855,skims_it
0.1,5,16,True,0.10000000000005607,0.125,0.019993881608794103,4.368503271515342,skims_it
0.1,5,17,True,0.10000000000001259,0.125,0.02202000843385566,4.5748247240813935,skims_it
0.1,5,18,True,0.10000000227732839,0.08333333333333333,0.019889831088558768,2.932742746013919,skims_it
0.1,5,19,True,0.10000000001671888,0.16666666666666666,0.022823807030412313,3.587703981791662,skims_it
0.1,6,0,True,0.10000001766279606,0.08333333333333333,8.498960017889199e-05,2.6279797574147077,skims_it
0.1,6,1,True,0.10000000000000223,0.125,0.0002180064091616158,4.799116029874675,skims_it
0.1,6,2,True,0.1,0.20833333333333334,0.001435622188277327,8.381335988076788,skims_it
0.1,6,3,True,0.10000000000000119,0.125,0.001149806364101588,4.879779203196476,skims_it
0.1,6,4,True,0.10000000000006483,0.125,0.0022499311393301027,4.354315722230159,skims_it
0.1,6,5,True,0.10000001274530776,0.08333333333333333,0.0021987082687614924,2.673283134838616,skims_it
0.1,6,6,True,0.10000001921531446,0.16666666666666666,0.0039879184074218125,2.633619590262066,skims_it
0.1,6,7,True,0.10000000000000002,0.125,0.0034514940284381818,5.4165323083329895,skims_it
0.1,6,8,True,0.10000000434817752,0.08333333333333333,0.0033625509489186465,2.7902739299179116,skims_it
0.1,6,9,True,0.1000000000000004,0.125,0.002243038816436374,5.023439012245888,skims_it
0.1,6,10,True,0.10019355088401903,0.125,0.002009997997401071,1.092180379863633,skims_it
0.1,6,11,True,0.10000000029036812,0.08333333333333333,0.00196062529956976,3.2140525693881736,skims_it
0.1,6,12,True,0.10000000000000002,0.125,0.001157252049230436,5.529123390678029,skims_it
0.1,6,13,True,0.10000000004401215,0.08333333333333333,0.000915295578581696,3.438469565361356,skims_it
0.1,6,14,True,0.1,0.20833333333333334,0.0029359504758101167,8.54637380296746,skims_it
0.1,6,15,True,0.1,0.16666666666666666,0.0022859420724087674,7.271965889817081,skims_it
0.1,6,16,True,0.1,0.25,0.0019356947389586416,6.898188859055732,skims_it
0.1,6,17,True,0.10000000000002233,0.125,0.00115908716170589,4.503247615500124,skims_it
0.1,6,18,True,0.100000000000035,0.125,0.001530664101102159,4.445831918562989,skims_it
0.1,6,19,True,0.1000000019451356,0.08333333333333333,0.0019821982243053357,2.9462184080339324,skims_it
0.1,7,0,True,0.10000010360351384,0.08333333333333333,8.089348125736671e-05,2.364228067111128,skims_it
0.1,7,1,True,0.10000000248128729,0.08333333333333333,0.00011093409612700222,2.909744070065548,skims_it
0.1,7,2,True,0.1,0.16666666666666666,0.0002760582429741625,6.412156775555543,skims_it
0.1,7,3,True,0.1437319215138035,0.08333333333333333,0.00024409465916620104,0.10448716245178286,skims_it
0.1,7,4,True,0.1,0.25,0.0018589726476274486,10.17122188602013,skims_it
0.1,7,5,True,0.10000102407756416,0.08333333333333333,0.0025571727993896343,1.9430125164221979,skims_it
0.1,7,6,True,0.10000000000004138,0.125,0.001992444836926087,4.416204383027768,skims_it
0.1,7,7,True,0.1011758027506501,0.125,0.0027475893631342466,0.7565453679365967,skims_it
0.1,7,8,True,0.1000000000163035,0.08333333333333333,0.0037663636320699953,3.602800609014315,skims_it
0.1,7,9,True,0.10000000000000002,0.125,0.0034866493379717006,5.497681999548399,skims_it
0.1,7,10,True,0.10000000000000218,0.125,0.003666972409235636,4.807292497209418,skims_it
0.1,7,11,True,0.10281907212890519,0.125,0.003916088413421934,0.7291545828734807,skims_it
0.1,7,12,True,0.10000000000000023,0.125,0.004803696447508478,5.098196409010264,skims_it
0.1,7,13,True,0.10000000148871906,0.16666666666666666,0.006452364946065495,2.981236240216566,skims_it
0.1,7,14,True,0.10000000619511704,0.25,0.009940508394891445,2.7817636138358073,skims_it
0.1,7,15,True,0.1,0.20833333333333334,0.00773668606898505,7.734814485811792,skims_it
0.1,7,16,True,0.10000000000019313,0.125,0.0071370094402624495,4.21872764664173,skims_it
0.1,7,17,True,0.10000004540368135,0.08333333333333333,0.0058321748508249095,2.473039681163401,skims_it
0.1,7,18,True,0.10000002910906487,0.20833333333333334,0.008644499682808962,2.444024735432482,skims_it
0.1,7,19,True,0.1012911004323794,0.20833333333333334,0.008416667735102044,0.9235494710124228,skims_it
0.1,8,0,True,0.10000000000000003,0.125,0.00022843521080896786,5.362057224046116,skims_it
0.1,8,1,True,0.1,0.2916666666666667,0.0011307754975353988,12.020418820443599,skims_it
0.1,8,2,True,0.10013640819156722,0.125,0.001284680819352237,1.1692397725080304,skims_it
