leak,reader,encounter,rejectable,gate_open,looked,drift_from_start,value_divergence
0.0,11,1,True,8.75651076269652e-27,0.3333333333333333,-3.9999115131275136e-12,10.528661322944547
0.0,11,2,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.554778069855631
0.0,11,3,True,1.7438029113216598e-17,0.25,-3.9999115131275136e-12,5.445509718462908
0.0,11,4,True,2.2526472473501466e-17,0.25,-3.9999115131275136e-12,5.410883013754212
0.0,11,5,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.350040557719462
0.0,11,6,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.670480326300886
0.0,11,7,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.817639876938884
0.0,11,8,True,8.75651076269652e-27,0.625,-3.9999115131275136e-12,13.81551055750763
0.0,11,9,True,8.75651076269652e-27,0.375,-3.9999115131275136e-12,12.067265822400755
0.0,11,10,True,4.766331118287831e-17,0.25,-3.9999115131275136e-12,5.31494165935664
0.0,11,11,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.790670567727695
0.0,11,12,True,1.97638402317424e-06,0.25,-3.7456686620023315e-12,1.9246900375295568
0.0,11,13,True,8.75651076269652e-27,0.25,-3.7456686620023315e-12,9.443286101482858
0.0,11,14,True,8.75651076269652e-27,0.25,-3.7456686620023315e-12,10.324338267545391
0.0,11,15,True,8.75651076269652e-27,0.6666666666666666,-3.7456686620023315e-12,13.815510557939692
0.0,11,16,True,8.75651076269652e-27,0.25,-3.7456686620023315e-12,10.158126605387428
0.0,11,17,True,8.75651076269652e-27,0.25,-3.7456686620023315e-12,8.933013334523064
0.0,11,18,True,8.75651076269652e-27,0.625,-3.7456686620023315e-12,13.815509610952983
0.0,11,19,True,8.75651076269652e-27,0.625,-3.7456686620023315e-12,13.815510557792368
0.0,12,0,True,8.15099727695979e-20,0.25,-3.9999115131275136e-12,6.122484584129753
0.0,12,1,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,10.230111039144852
0.0,12,2,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,8.959858852510047
0.0,12,3,True,8.75651076269652e-27,0.6666666666666666,-3.9999115131275136e-12,13.815510556572809
0.0,12,4,True,8.75651076269652e-27,0.625,-3.9999115131275136e-12,13.815510548754196
0.0,12,5,True,5.007260612858891e-22,0.25,-3.9999115131275136e-12,6.770428100430447
0.0,12,6,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.551902916219708
0.0,12,7,True,2.8892040308296198e-18,0.25,-3.9999115131275136e-12,5.672977665078399
0.0,12,8,True,0.17396195125725206,0.25,0.00037694591198802856,6.584468518955767e-05
0.0,12,9,True,8.75651076269652e-27,0.5833333333333334,0.00037694591198802856,13.815487540072342
0.0,12,10,True,8.75651076269652e-27,0.25,0.00037694591198802856,8.55056358386665
0.0,12,11,True,8.75651076269652e-27,0.4583333333333333,0.00037694591198802856,13.815510395331666
0.0,12,12,True,8.75651076269652e-27,0.25,0.00037694591198802856,9.74337631655832
0.0,12,13,True,8.75651076269652e-27,0.25,0.00037694591198802856,9.26480763532791
0.0,12,14,True,8.75651076269652e-27,0.625,0.00037694591198802856,13.815510548643982
0.0,12,15,True,2.9122926126630608e-18,0.25,0.00037694591198802856,5.667675192220551
0.0,12,16,True,8.75651076269652e-27,0.25,0.00037694591198802856,9.341930716219757
0.0,12,17,True,8.75651076269652e-27,0.25,0.00037694591198802856,9.767520355472387
0.0,12,18,True,8.75651076269652e-27,0.25,0.00037694591198802856,9.239612661541218
0.0,12,19,True,2.949774615995671e-22,0.25,0.00037694591198802856,6.836717998335411
0.0,13,0,True,7.424338182055942e-18,0.25,-3.9999115131275136e-12,5.552425491490968
0.0,13,1,True,1.943165269629733e-09,0.25,-3.9998557075160504e-12,2.930392344247728
0.0,13,2,True,8.75651076269652e-27,0.625,-3.9998557075160504e-12,13.815510460675734
0.0,13,3,True,8.75651076269652e-27,0.4166666666666667,-3.9998557075160504e-12,13.815492837909721
0.0,13,4,True,8.75651076269652e-27,0.625,-3.9998557075160504e-12,13.815510556062645
0.0,13,5,True,8.75651076269652e-27,0.25,-3.9998557075160504e-12,8.986346779778374
0.0,13,6,True,8.75651076269652e-27,0.25,-3.9998557075160504e-12,9.46167126335108
0.0,13,7,True,8.75651076269652e-27,0.625,-3.9998557075160504e-12,13.815510557428425
0.0,13,8,True,8.75651076269652e-27,0.375,-3.9998557075160504e-12,13.815509066368312
0.0,13,9,True,8.75651076269652e-27,0.25,-3.9998557075160504e-12,9.263467137319719
0.0,13,10,True,9.214997676403192e-16,0.25,-3.999855707516128e-12,4.929753258756686
0.0,13,11,True,3.038904755074197e-20,0.25,-3.999855707516128e-12,6.253598403750956
0.0,13,12,True,8.75651076269652e-27,0.25,-3.999855707516128e-12,8.604300971165156
0.0,13,13,True,9.28160508310257e-17,0.25,-3.999827951940525e-12,5.222993494958433
0.0,13,14,True,5.931033114439631e-21,0.3333333333333333,-3.999827951940525e-12,6.458580489831543
0.0,13,15,True,8.75651076269652e-27,0.25,-3.999827951940525e-12,9.164908685854908
0.0,13,16,True,8.75651076269652e-27,0.625,-3.999827951940525e-12,13.815510104296484
0.0,13,17,True,1.0004662109964228e-18,0.25,-3.999827951940525e-12,5.807827227141991
0.0,13,18,True,4.009684324164676e-18,0.25,-3.999827951940525e-12,5.6281550640081806
0.0,13,19,True,8.75651076269652e-27,0.25,-3.999827951940525e-12,9.521357054170549
0.0,14,0,True,8.75651076269652e-27,0.4583333333333333,-3.9999115131275136e-12,13.81551011457764
0.0,14,1,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,9.545248742323052
0.0,14,2,True,8.75651076269652e-27,0.25,-3.9999115131275136e-12,10.146194959443829
0.0,14,3,True,3.846479325084864e-07,0.25,-3.989375978954101e-12,2.196617171688745
0.0,14,4,True,8.75651076269652e-27,0.3333333333333333,-3.989375978954101e-12,9.654437045626745
0.0,14,5,True,8.75651076269652e-27,0.5833333333333334,-3.989375978954101e-12,13.815510554021417
0.0,14,6,True,8.75651076269652e-27,0.5833333333333334,-3.989375978954101e-12,12.983635505457146
0.0,14,7,True,8.75651076269652e-27,0.25,-3.989375978954101e-12,9.788064590114601
0.0,14,8,True,1.9233057681433797e-18,0.25,-3.989375978954101e-12,5.723002981463189
0.0,14,9,True,8.75651076269652e-27,0.4583333333333333,-3.989375978954101e-12,13.81549885499318
0.0,14,10,True,8.75651076269652e-27,0.4166666666666667,-3.989375978954101e-12,13.324337064813506
0.0,14,11,True,8.75651076269652e-27,0.25,-3.989375978954101e-12,9.699676568877681
0.0,14,12,True,7.131616180039002e-23,0.25,-3.989375978954101e-12,7.016210074742668
0.0,14,13,True,5.17826742336932e-20,0.25,-3.989375978954101e-12,6.185126875744485
