arm,omega,d,seed_rep,observer,true_goal,engaged_fraction,final_entropy,correct,psi_analogue,cum_deep
foreign_content,0.0,0.945128628108705,0,79,0,1.0,1.385394729891391,0,-9.209917995652722e-12,24
foreign_content,0.0,0.945128628108705,0,80,0,1.0,1.368308722140113,0,-9.210161236468457e-12,24
foreign_content,0.0,0.945128628108705,0,81,0,1.0,1.3810499170153916,0,-9.210315088253655e-12,24
foreign_content,0.0,0.945128628108705,0,82,0,1.0,0.8344308395535542,0,1.5173324343525003,24
foreign_content,0.0,0.945128628108705,0,83,0,1.0,1.3862171918368846,1,-9.209938333547578e-12,24
foreign_content,0.0,0.945128628108705,0,84,0,1.0,1.370560487253575,1,-9.2106576839897e-12,24
foreign_content,0.0,0.945128628108705,0,85,0,1.0,1.3634851158936891,0,-9.209937491904307e-12,24
foreign_content,0.0,0.945128628108705,0,86,0,1.0,0.35743219769265533,0,2.5335639870519766,24
foreign_content,0.0,0.945128628108705,0,87,0,1.0,1.383492339359098,0,-9.210386491073458e-12,24
foreign_content,0.0,0.945128628108705,0,88,0,1.0,1.3532326171612195,0,-9.21028219667482e-12,24
foreign_content,0.0,0.945128628108705,0,89,0,1.0,1.362708485584259,0,-9.210174602791801e-12,24
foreign_content,0.0,0.945128628108705,0,90,0,1.0,1.3665660786037945,0,-9.210059080967548e-12,24
foreign_content,0.0,0.945128628108705,0,91,0,1.0,1.365916577190944,0,-9.210038844072116e-12,24
foreign_content,0.0,0.945128628108705,0,92,0,1.0,1.3692298615322263,0,-9.210386242531641e-12,24
foreign_content,0.0,0.945128628108705,0,93,0,1.0,1.374400447877989,0,-9.210298041239953e-12,24
foreign_content,0.0,0.945128628108705,0,94,0,1.0,1.3633802771472128,0,-9.210412237971122e-12,24
foreign_content,0.0,0.945128628108705,0,95,0,1.0,0.25739875178381777,0,2.1263444400219496,24
foreign_content,0.0,0.945128628108705,0,96,0,1.0,1.364253238125082,0,-9.210323763961821e-12,24
foreign_content,0.0,0.945128628108705,0,97,0,1.0,1.3694755803760186,0,-9.21031251566519e-12,24
foreign_content,0.0,0.945128628108705,0,98,0,1.0,1.373022799702741,0,-9.210112366300707e-12,24
foreign_content,0.0,0.945128628108705,0,99,0,1.0,0.28185903731898115,0,2.1700001192781118,24
foreign_content,0.0,0.945128628108705,0,100,0,1.0,1.3792983884215753,0,-9.210367939015199e-12,24
foreign_content,0.0,0.945128628108705,0,101,0,1.0,0.4057109953851213,0,2.528662780192973,24
foreign_content,0.0,0.945128628108705,0,102,0,1.0,1.377348558504625,0,-9.20994419849586e-12,24
foreign_content,0.0,0.945128628108705,0,103,0,1.0,0.35509251856230967,0,2.4300921527594403,24
foreign_content,0.0,0.945128628108705,0,104,0,1.0,1.3857488617145879,0,-9.21002382849963e-12,24
foreign_content,0.0,0.945128628108705,0,105,0,1.0,1.3670020240196759,1,-9.210516831670103e-12,24
foreign_content,0.0,0.945128628108705,0,106,0,1.0,1.3707825776535278,0,-9.210176781408507e-12,24
foreign_content,0.0,0.945128628108705,0,107,0,1.0,1.3733950069741863,1,-9.209929925680979e-12,24
foreign_content,0.0,0.945128628108705,0,108,0,1.0,1.367343468087733,0,-9.210574298924428e-12,24
foreign_content,0.0,0.945128628108705,0,109,0,1.0,1.3675237406327634,0,-9.21051201601189e-12,24
foreign_content,0.0,0.945128628108705,0,110,0,1.0,1.3726224344003095,1,-9.210052760141664e-12,24
foreign_content,0.0,0.945128628108705,0,111,0,1.0,1.371712287839252,0,-9.21088810764925e-12,24
foreign_content,0.0,0.945128628108705,0,112,0,1.0,1.3748440599188045,1,-9.210252651018445e-12,24
foreign_content,0.0,0.945128628108705,0,113,0,1.0,1.3612956631064395,0,-9.210017757426984e-12,24
foreign_content,0.0,0.945128628108705,0,114,0,1.0,1.3771203648885109,0,-9.21021008423676e-12,24
foreign_content,0.0,0.945128628108705,0,115,0,1.0,1.3546110232275375,0,-9.210217403999568e-12,24
foreign_content,0.0,0.945128628108705,0,116,0,1.0,1.3770182389086754,0,-9.21027785275655e-12,24
foreign_content,0.0,0.945128628108705,0,117,0,1.0,0.40924750859837633,1,2.640591209654527,24
foreign_content,0.0,0.945128628108705,0,118,0,1.0,1.3629190604839547,0,-9.210198605961771e-12,24
foreign_content,0.0,0.945128628108705,0,119,0,1.0,1.3559946175735393,1,-9.209774956705621e-12,24
