arm,content,omega,seed_rep,observer,true_goal,explore_mass,final_entropy,real_goal_entropy,modal_real_goal,modal_goal_full,correct,engaged_fraction,cum_deep,modal_is_explore
explore_off,human_directed,0.0,0,82,0,0.0,3.370189705877367e-07,3.370189705877367e-07,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,83,0,0.0,3.6367545453307744e-05,3.6367545453307744e-05,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,84,0,0.0,3.22496072740804e-09,3.22496072740804e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,85,0,0.0,3.527404893199614e-13,3.529625339248863e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,86,0,0.0,8.16713438980258e-11,8.16713438980258e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,87,0,0.0,3.5473693958103986e-09,3.547369173765795e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,88,0,0.0,1.460927742028362e-12,1.4608167197258996e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,89,0,0.0,2.1223410259101233e-10,2.122339915687099e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,90,0,0.0,2.9688913562286216e-08,2.9688913451263917e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,91,0,0.0,2.2773924455366125e-09,2.277392667581216e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,92,0,0.0,3.045120004364905e-07,3.045120004364905e-07,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,93,0,0.0,1.1385562861374603e-10,1.138555175914436e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,94,0,0.0,1.5934305392804388e-10,1.5934283188343898e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,95,0,0.0,1.0921699656252507e-12,1.0920589433227884e-12,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,96,0,0.0,2.4100349682900525e-06,2.4100349682900525e-06,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,97,0,0.0,9.639663921971193e-06,9.639663922193234e-06,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,98,0,0.0,7.089459023825142e-11,7.089459023825142e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,99,0,0.0,1.1309812060032496e-11,1.1309812060032496e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,100,0,0.0,3.0022016781961194e-07,3.0022016781961194e-07,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,101,0,0.0,1.1727203277798404e-11,1.1727203277798404e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,102,0,0.0,9.044703930476341e-10,9.044701710030293e-10,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,103,0,0.0,1.5113162909727502e-13,1.5135367370220002e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,104,0,0.0,1.913521064738049e-08,1.913521053635819e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,105,0,0.0,1.1998606617392832e-13,1.1998606617392832e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,106,0,0.0,3.3956687214574436e-11,3.3956576192271974e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,107,0,0.0,8.592185890671748e-14,8.581083660425496e-14,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,108,0,0.0,3.2259286261848807e-11,3.2259286261848807e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,109,0,0.0,5.925098363543775e-09,5.925098363543775e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,110,0,0.0,1.2846705748278656e-08,1.2846705970323259e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,111,0,0.0,1.714819173058971e-11,1.7148413775194633e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,112,0,0.0,1.799622487136066e-13,1.7985122641114409e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,113,0,0.0,2.968029145627953e-06,2.968029145627953e-06,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,114,0,0.0,9.781731885190853e-14,9.759527424698354e-14,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,115,0,0.0,2.812992805073633e-13,2.8118825820490076e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,116,0,0.0,3.6848740787287238e-09,3.6848737456618176e-09,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,117,0,0.0,6.021735502567083e-13,6.023955948616332e-13,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,118,0,0.0,1.0532810906181246e-08,1.0532810906181246e-08,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,119,0,0.0,2.5006868971483057e-11,2.5006757949180594e-11,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,120,0,0.0,1.8245871251375606e-05,1.8245871251264584e-05,0,0,1,0.0,10,0
explore_off,human_directed,0.0,0,121,0,0.0,7.270797731654705e-13,7.273018177703955e-13,0,0,1,0.0,10,0
