tier,seed_rep,observer,true_goal,modal_goal,correct,first_skim_t,cum_deep,final_goal_entropy
CREATOR,0,196,1,1,1,1,1,0.2987289085179107
CREATOR,0,197,1,1,1,2,2,0.013885124082626755
CREATOR,0,198,1,1,1,1,1,0.22484140673135472
CREATOR,0,199,2,2,1,2,2,0.013684652998632044
CREATOR,1,0,3,3,1,1,1,0.2647863548240662
CREATOR,1,1,2,2,1,2,2,0.013532622242018701
CREATOR,1,2,1,1,1,2,2,0.015398270666919421
CREATOR,1,3,2,2,1,2,2,0.015256966897849498
CREATOR,1,4,3,3,1,2,2,0.013347443186328339
CREATOR,1,5,2,2,1,1,1,0.17825289298695954
CREATOR,1,6,0,0,1,1,1,0.2565331022217403
CREATOR,1,7,1,2,0,1,1,0.23334459960621556
CREATOR,1,8,0,0,1,2,2,0.014947642188479247
CREATOR,1,9,3,3,1,2,2,0.013683329154251335
CREATOR,1,10,2,2,1,1,1,0.22017794681732547
CREATOR,1,11,3,3,1,1,1,0.2513047896813314
CREATOR,1,12,0,0,1,1,1,0.24116184519885303
CREATOR,1,13,0,0,1,2,2,0.014438554746660627
CREATOR,1,14,3,3,1,2,2,0.016088465776765915
CREATOR,1,15,2,2,1,1,1,0.2843142096365937
CREATOR,1,16,1,2,0,1,1,0.30003710530467964
CREATOR,1,17,3,3,1,2,2,0.016317041608833276
CREATOR,1,18,3,3,1,2,2,0.0136421793368074
CREATOR,1,19,1,1,1,2,2,0.013510263925670863
CREATOR,1,20,1,1,1,1,1,0.2214401471806332
CREATOR,1,21,1,1,1,2,2,0.016368732326520214
CREATOR,1,22,1,1,1,2,2,0.016685025363173248
CREATOR,1,23,3,3,1,1,1,0.2265600850228786
CREATOR,1,24,1,1,1,1,1,0.25546620015416244
CREATOR,1,25,3,3,1,2,2,0.013060876077078183
CREATOR,1,26,0,0,1,1,1,0.264872893225635
CREATOR,1,27,1,1,1,1,1,0.2207684806239254
CREATOR,1,28,1,1,1,1,1,0.19661370693283176
CREATOR,1,29,2,2,1,1,1,0.2443839930821352
CREATOR,1,30,1,1,1,2,2,0.013527592936651602
CREATOR,1,31,0,0,1,2,2,0.013154552911091955
CREATOR,1,32,1,3,0,1,1,0.24128358953663864
CREATOR,1,33,2,2,1,2,2,0.014989925074363572
CREATOR,1,34,1,1,1,1,1,0.282291778901541
CREATOR,1,35,1,3,0,3,3,0.1717658334389894
CREATOR,1,36,2,2,1,1,1,0.3058162058991589
CREATOR,1,37,0,0,1,1,1,0.2760965892816655
CREATOR,1,38,3,3,1,1,1,0.3009346818404246
CREATOR,1,39,3,3,1,1,1,0.19485131711967923
CREATOR,1,40,3,3,1,3,3,0.12029974530612722
CREATOR,1,41,2,0,0,1,1,0.30010013631150123
CREATOR,1,42,3,3,1,1,1,0.2882982807674671
CREATOR,1,43,1,1,1,1,1,0.300822910371711
CREATOR,1,44,2,2,1,1,1,0.2709524322627041
CREATOR,1,45,0,0,1,2,2,0.014958811936433104
CREATOR,1,46,0,0,1,1,1,0.1991892885305813
CREATOR,1,47,2,2,1,2,2,0.012744340099103857
CREATOR,1,48,0,0,1,2,2,0.016015260794947313
CREATOR,1,49,0,0,1,1,1,0.24637585907696247
CREATOR,1,50,2,2,1,2,2,0.015686197412681232
CREATOR,1,51,0,0,1,2,2,0.014148760366434442
CREATOR,1,52,0,0,1,1,1,0.2729741165766085
CREATOR,1,53,3,3,1,1,1,0.2760699929297788
CREATOR,1,54,1,1,1,1,1,0.29739096424197475
CREATOR,1,55,0,0,1,2,2,0.015207400165049248
CREATOR,1,56,0,0,1,1,1,0.269700347756856
CREATOR,1,57,3,3,1,2,2,0.013100088563243024
CREATOR,1,58,2,2,1,2,2,0.01703702842397976
CREATOR,1,59,1,1,1,2,2,0.01562702533491625
CREATOR,1,60,1,1,1,2,2,0.014928484364898402
CREATOR,1,61,2,2,1,1,1,0.20132394428721614
CREATOR,1,62,3,3,1,2,2,0.014179782742512938
CREATOR,1,63,2,2,1,2,2,0.0157730861817749
CREATOR,1,64,3,3,1,1,1,0.2883484923877118
CREATOR,1,65,0,0,1,2,2,0.016229781594556788
CREATOR,1,66,1,1,1,1,1,0.2606503760955225
CREATOR,1,67,1,1,1,1,1,0.28953844667075496
CREATOR,1,68,2,2,1,1,1,0.2747434230086593
CREATOR,1,69,2,3,0,1,1,0.2599965063534495
CREATOR,1,70,3,3,1,2,2,0.01440728172457757
CREATOR,1,71,2,2,1,3,3,0.11161026088413707
CREATOR,1,72,2,2,1,1,1,0.27463543318009476
CREATOR,1,73,3,3,1,1,1,0.2798136299941881
CREATOR,1,74,0,0,1,2,2,0.014031348038987783
CREATOR,1,75,3,3,1,2,2,0.014615771024715164
CREATOR,1,76,1,1,1,1,1,0.2770686931089582
CREATOR,1,77,2,2,1,2,2,0.016622685680637257
CREATOR,1,78,2,2,1,1,1,0.2632028756206942
CREATOR,1,79,1,1,1,1,1,0.1693096666300176
CREATOR,1,80,1,1,1,2,2,0.013869795662550612
CREATOR,1,81,1,1,1,2,2,0.016721205330402722
CREATOR,1,82,0,0,1,1,1,0.3001211608597715
CREATOR,1,83,2,2,1,2,2,0.016663856340717313
CREATOR,1,84,1,1,1,1,1,0.23068141761966698
CREATOR,1,85,2,2,1,2,2,0.013103210208863047
CREATOR,1,86,0,0,1,3,3,0.1474861578327845
CREATOR,1,87,3,3,1,3,3,0.08716691874093282
CREATOR,1,88,0,0,1,1,1,0.29586312884963023
CREATOR,1,89,3,3,1,1,1,0.30306186116298994
CREATOR,1,90,2,2,1,2,2,0.01566390845324399
CREATOR,1,91,3,3,1,1,1,0.2956635451629094
CREATOR,1,92,0,0,1,1,1,0.27024640837300484
