sweep,n_artifacts,m_observers,averaging,seed_rep,generation,kl_payload,creator_col_kl,eff_sample_count,mi_genuine,mean_deep_genuine
N,3000,5,False,2,0,0.07156944973087512,0.4849729811464689,1432.9365636661832,0.8298224098029582,1.9120000000000001
N,3000,5,False,2,1,0.09589303126733256,0.49715239463419436,1495.2410146997445,0.7655507559890266,1.9949999999999997
N,3000,5,False,2,2,0.09994043698435667,0.5618499661894159,1674.7096623662226,0.655823923799702,2.2342
N,3000,5,False,2,3,0.10408027579876347,0.6630908036611209,1907.7768943753188,0.593390301456861,2.5449333333333337
N,3000,5,False,2,4,0.08516948550777266,0.6886354390224343,1866.9455079067611,0.5321515305259765,2.490466666666667
N,3000,5,False,2,5,0.10412790209704414,0.7323991901167264,1906.683673299412,0.511466299788277,2.5434
N,3000,5,False,2,6,0.06965170096689027,0.7630720633115774,1884.026362231779,0.5327927923143715,2.513266666666667
N,3000,5,False,2,7,0.11336412258708671,0.7509754712133051,1935.2959636614964,0.463938688848864,2.5816000000000003
N,10000,5,True,0,0,0.07785219291283704,0.524932153856114,4824.400651409322,0.7569843301855127,1.9311599999999998
N,10000,5,True,0,1,0.09510303661357082,0.5732230398058186,5313.223799257644,0.6689132122373941,2.1266
N,10000,5,True,0,2,0.10559639281516953,0.5699400263253049,5666.689819892064,0.6359350256815048,2.26798
N,10000,5,True,0,3,0.12705973124580738,0.5346876504264378,5684.6580726056,0.6198831172714168,2.27518
N,10000,5,True,0,4,0.09992319295390528,0.5139203889892502,6162.619530376872,0.5701831135161639,2.46636
N,10000,5,True,0,5,0.1117532629200076,0.5734584055045999,6275.296067225286,0.5205905565116355,2.51138
N,10000,5,True,0,6,0.13952178284012534,0.5514121871254415,6499.685353248059,0.5228856215654607,2.6011800000000003
N,10000,5,True,0,7,0.1135095510136411,0.5560085176724214,6446.663198780598,0.498269015382078,2.57996
N,10000,5,True,1,0,0.06848868760643811,0.43974668134623973,4819.27471853842,0.7963438627797699,1.9291399999999999
N,10000,5,True,1,1,0.10822825007263026,0.4745310742363643,5019.535384737744,0.7660477206195462,2.0091200000000002
N,10000,5,True,1,2,0.0969268112545614,0.415075585456966,5473.370150987805,0.7508089347380975,2.19068
N,10000,5,True,1,3,0.12320073866892228,0.45230262891159023,5224.958430905476,0.7060168703271286,2.0912999999999995
N,10000,5,True,1,4,0.12729572124036612,0.46852585277509134,5557.489359155801,0.657655569612392,2.2243000000000004
N,10000,5,True,1,5,0.12335031079186866,0.46832745150249666,5562.92176086082,0.6551155546094638,2.22646
N,10000,5,True,1,6,0.11679776873436477,0.45556485277710806,6117.933865050037,0.6283852815032477,2.4484999999999997
N,10000,5,True,1,7,0.11295711230874769,0.4516372979380129,5980.092845071065,0.5982744267100344,2.3933799999999996
N,10000,5,True,2,0,0.07745802087464504,0.4615336408078993,4783.464886797087,0.8278699035266772,1.9148
N,10000,5,True,2,1,0.10077704869581149,0.6053084945336452,5538.464672131673,0.6870890970221738,2.2167000000000003
N,10000,5,True,2,2,0.101922103722142,0.791563777021904,6055.1812846515695,0.5930179167527492,2.42336
N,10000,5,True,2,3,0.12787026451789252,0.7618521588486591,6145.517811142255,0.5975180139024806,2.4595
N,10000,5,True,2,4,0.11013562138528837,0.7832490187987082,6030.718487650486,0.552470332555013,2.41358
N,10000,5,True,2,5,0.11808267128338905,0.808318152939093,6290.79757939483,0.5300804978093655,2.51762
N,10000,5,True,2,6,0.10545547750591872,0.8110959155844761,6331.439244504669,0.500038844628563,2.53382
N,10000,5,True,2,7,0.1111545705519224,0.8222104563749526,6587.589120346545,0.47806710267464797,2.63628
N,10000,5,False,0,0,0.07785219291283704,0.5446014858230648,4824.400651409322,0.7569843301855127,1.9311599999999998
N,10000,5,False,0,1,0.105076919419775,0.6002337009764167,4872.912816232389,0.7014869821721819,1.95048
N,10000,5,False,0,2,0.08327250614069617,0.6648981939939099,5666.245638559205,0.6279332478909467,2.2678000000000003
N,10000,5,False,0,3,0.1132441748239334,0.8505241221454254,5295.7495819968635,0.6221640481768534,2.11958
N,10000,5,False,0,4,0.09083358591683299,0.7790059162732798,5484.222987035649,0.5856427574193527,2.1949600000000005
N,10000,5,False,0,5,0.11818848385977268,0.7641995301242424,6152.931944048722,0.5109297078902968,2.4624200000000003
N,10000,5,False,0,6,0.13596575407478229,0.7683554906197186,6648.353678548879,0.5015877871429162,2.66062
N,10000,5,False,0,7,0.10407871241825362,0.747974168029129,6618.736219322223,0.4188524647616957,2.6487600000000002
N,10000,5,False,1,0,0.06848868760643811,0.46981295710285503,4819.27471853842,0.7963438627797699,1.9291399999999999
N,10000,5,False,1,1,0.10796950017849127,0.5379461186000929,4907.41832627739,0.7502874877893962,1.9642600000000001
N,10000,5,False,1,2,0.11573950172659912,0.5025053727711194,5251.001941281966,0.7512290081276092,2.10174
N,10000,5,False,1,3,0.12718293834809039,0.4755265052183417,5351.184930728823,0.7427470937255874,2.1418
N,10000,5,False,1,4,0.08679997435517744,0.45621379749264335,5280.535030285054,0.6758832950115556,2.1134999999999997
N,10000,5,False,1,5,0.11531248711898441,0.5543487698127736,5353.433911241979,0.6659782420800078,2.14268
N,10000,5,False,1,6,0.1087544480079598,0.5198453887274653,5635.002828926425,0.6633032921923903,2.2552999999999996
N,10000,5,False,1,7,0.1098550072615841,0.5442334993886843,5670.680275962643,0.6454458831292691,2.2695999999999996
