kappa_p,beta,theta,seed_rep,observer,source_goal,engaged_fraction,final_entropy,mean_entropy,psi_per_encounter,prior_drift,prior_mass_on_source_goal,value_divergence,theta_value,recovered_beta,correct
low_foreign,low,closed,4,9,2,0.0,1.3862943611198906,1.3836020282304673,0.00034411746181671845,8.505378643403375e-06,0.2877622905177127,1.0007429966984571,0.017933884071836374,0.5,1
low_foreign,low,closed,4,10,2,0.0,1.3850221375356206,1.38335908887558,0.0003414255425005457,7.505451370918605e-06,0.22811814340334505,1.002720582511919,0.01781839945063639,0.49992706764371186,0
low_foreign,low,closed,4,11,2,0.0,1.3862943611198906,1.3781306946323646,0.0011835557525086127,3.109862864639451e-05,0.30435392077805645,1.0407087389232572,0.016585267266049884,0.4999602282794767,0
low_foreign,low,closed,4,12,2,0.0,1.3862943611198906,1.378733201832924,0.0009004626716124841,2.0878534673521602e-05,0.34616739361987386,1.042491328189125,0.015781573645843098,0.5,1
low_foreign,low,closed,4,13,2,0.0,1.3862943611198906,1.3823980689626714,0.00032200398822164434,6.876226088810495e-06,0.2848496651619732,1.0328427025869367,0.016162388966969577,0.5002094857312606,1
low_foreign,low,closed,4,14,2,0.0,1.3862943611198906,1.3845899950653835,0.00020250804928343745,4.634126195658954e-06,0.2490097272907562,1.018535978392625,0.016844206224782172,0.5,0
low_foreign,low,closed,4,15,2,0.0,1.3862943611198906,1.382512268501252,0.00044494111785896935,1.0119481276324189e-05,0.22118751371245163,1.0071231084916095,0.017508205117349355,0.49999999999999994,0
low_foreign,low,closed,4,16,2,0.0,1.3862943611198906,1.3801354941295134,0.0007320007044311186,1.6895372315447413e-05,0.2562174500558179,1.0374478888532686,0.015973437883342566,0.5,0
low_foreign,low,closed,4,17,2,0.0,1.3862943611198906,1.3835025852596596,0.00033722133062258304,7.866492382466433e-06,0.25850724364072436,1.0355642170993276,0.016049080932673883,0.5,0
low_foreign,low,closed,4,18,2,0.0,1.3862943611198906,1.3797998572877042,0.0007696671703764748,1.772792378646219e-05,0.3407817466111843,1.0492402157103229,0.015547491331890623,0.5,1
low_foreign,low,closed,4,19,2,0.0,1.3862943611198906,1.3735874415473028,0.0014371201882464764,3.1807563214404926e-05,0.3903532100114462,1.0566855079282382,0.01531651740810424,0.5,1
low_foreign,low,closed,4,20,2,0.0,1.3862943611198906,1.383181915901513,0.00038059364230265896,8.977440334632979e-06,0.21334158763390915,0.9828216929994634,0.01937944667500594,0.5,0
low_foreign,low,closed,4,21,2,0.0,1.3862943611198906,1.3844347992137396,0.00022206416887497618,5.109565132200146e-06,0.2290826612119207,0.9651858009959375,0.02124437001260192,0.5,0
low_foreign,low,closed,4,22,2,0.0,1.3862943611198906,1.3847560504812688,0.000191452149182357,4.591102261811294e-06,0.21043682027889468,1.008500610383478,0.01742168469798642,0.5,0
low_foreign,low,closed,4,23,2,0.0,1.3862943611198906,1.3528831349393444,0.0005189178488497572,4.31679882054929e-06,0.26857910109569716,1.0669566990140242,0.016452534658291475,0.4915541444880649,0
