regime,reader,coverage,kappa,contamination,seed_rep,observer,creator_mi,oracle_mi,mi_ratio,ghost_col_err,frac_corpus_labelled
symmetric,naive,0.4,0.9,0.6,0,4,0.8344575945142269,1.0887088433787815,0.7664653406548145,1.5168481077678098,0.4
symmetric,naive,0.4,0.9,0.6,0,5,0.8284689382556578,1.0887088433787815,0.7609646447662946,1.4721276558495087,0.4
symmetric,naive,0.4,0.9,0.6,1,0,0.8475792617506626,1.0887088433787815,0.778517844238521,0.07951187890699052,0.42
symmetric,naive,0.4,0.9,0.6,1,1,0.9322618670836893,1.0887088433787815,0.8563004450211291,1.4295849415318096,0.42
symmetric,naive,0.4,0.9,0.6,1,2,0.8266345061035085,1.0887088433787815,0.7592796835727617,0.7696973776412059,0.42
symmetric,naive,0.4,0.9,0.6,1,3,0.7173771571291437,1.0887088433787815,0.6589247083754561,0.1352677601080399,0.42
symmetric,naive,0.4,0.9,0.6,1,4,0.8793845741609401,1.0887088433787815,0.8077316350547786,1.5034247046854259,0.42
symmetric,naive,0.4,0.9,0.6,1,5,0.8833380429741413,1.0887088433787815,0.8113629721539903,1.003463187652016,0.42
symmetric,naive,0.4,0.9,0.6,2,0,0.9784456337433776,1.0887088433787815,0.898721122450696,1.083370080787716,0.435
symmetric,naive,0.4,0.9,0.6,2,1,0.7415209152896833,1.0887088433787815,0.68110121434156,1.528500510671906,0.435
symmetric,naive,0.4,0.9,0.6,2,2,0.9812722726991596,1.0887088433787815,0.9013174446657427,0.15135829904141845,0.435
symmetric,naive,0.4,0.9,0.6,2,3,0.9326578081022748,1.0887088433787815,0.8566641244575491,1.1711454470558929,0.435
symmetric,naive,0.4,0.9,0.6,2,4,0.9340873578679959,1.0887088433787815,0.8579771933964259,1.5111346145635232,0.435
symmetric,naive,0.4,0.9,0.6,2,5,0.8503502649636447,1.0887088433787815,0.7810630639543658,1.5215231015024313,0.435
symmetric,naive,0.5,0.9,0.6,0,0,1.0736386534650715,1.0887088433787815,0.9861577408823649,0.04930492505409138,0.5275
