source,kl,regret,argmax_preserved
E6b naive,0.0009464731029295,1.2736189462222602,1.0
E6b naive,0.0002666700653964,0.7738308286072693,1.0
E6b naive,0.001034575305044,1.2034007303513616,1.0
E6b naive,0.0010398469656558,1.2074820919819484,1.0
E6b naive,0.0010134552869536,1.2074655205970064,1.0
E6b naive,0.0009757728391704,1.6812570197199006,1.0
E6b naive,0.0001618385644731,0.9327670025743028,1.0
E6b naive,0.0009645626966101,1.5913521931140096,1.0
E6b naive,0.0009926717360658,1.5890834139195564,1.0
E6b naive,0.0009794744228098,1.5900497772645017,1.0
E6b naive,0.0007177613144139,0.9662701954046672,1.0
E6b naive,0.0022950921523826,0.5166015797479717,1.0
E6b naive,0.0007834272536164,0.903526111692926,1.0
E6b naive,0.0005235543530438,0.8910643287976916,1.0
E6b naive,0.0006753540812646,0.8973953957083836,1.0
E6b naive,0.0005461429483952,1.1539057904536687,1.0
E6b naive,0.0064207224105921,4.713361947487793,1.0
E6b naive,0.003554735375897,1.9049640770688212,1.0
E6b naive,0.0122678437268592,2.480758367953689,1.0
E6b naive,0.0039714410197501,2.227925895793359,1.0
E6b naive,0.0019374255646128,0.8464234632668766,1.0
E6b naive,0.0049448196985842,3.814099059956972,1.0
E6b naive,0.0045224285935544,1.5128546681906383,1.0
E6b naive,0.0141858445993697,1.9804096279555368,1.0
E6b naive,0.005561735640081,1.687939503025171,1.0
E6b naive,0.0054301209816262,0.6649715480919249,1.0
E6b naive,0.0065783777993268,3.521284015109222,1.0
E6b naive,0.0089088627554239,1.2423364237994172,1.0
E6b naive,0.0204303439524217,1.7183044476035023,1.0
E6b naive,0.0098599421470836,1.335503903288121,1.0
E6b naive,0.0060494422497662,0.7166228561080124,1.0
E6b naive,0.0269496605961442,8.913767927730804,0.0
E6b naive,0.0186285457485308,3.0163231345295527,1.0
E6b naive,0.0517099764635428,4.35605390730684,1.0
E6b naive,0.0200983135891309,2.864072222282743,1.0
E6b naive,0.012185658194927,0.6413213338613277,1.0
E6b naive,0.022606718385915,8.368399143920973,0.0
E6b naive,0.0241629368155179,3.1161336617023028,1.0
E6b naive,0.055291907769766,3.733069878556605,1.0
E6b naive,0.0233710310740868,2.3050674840584264,1.0
E6b naive,0.0159879780325305,0.6029961060561584,1.0
E6b naive,0.0234116862048992,8.085758591839532,0.0
E6b naive,0.0294709323088321,3.2041623266821864,1.0
E6b naive,0.0621734772235724,3.688214019780606,1.0
E6b naive,0.028502608530595,2.1462201714572195,1.0
E6b naive,0.0205661266792662,0.7079578813268816,1.0
E6b naive,0.0630362911406796,9.908744080771188,0.0
E6b naive,0.0504103497895077,8.969118322126318,1.0
E6b naive,0.1180803906698039,12.43156344539768,0.0
E6b naive,0.0505100127399534,4.648213206698198,1.0
E6b naive,0.0240575563583019,0.7257741509115956,1.0
E6b naive,0.0606074200973318,9.899890784428472,0.0
E6b naive,0.0532873698732197,9.149964178824854,1.0
E6b naive,0.1180698463506264,12.507848758511708,0.0
E6b naive,0.0473696035464442,4.117360909635553,1.0
E6b naive,0.0325189599057849,0.693953709921008,1.0
E6b naive,0.0561659075572147,9.851268826310344,0.0
E6b naive,0.0627855525883866,9.6987341529223,1.0
E6b naive,0.1267781493884202,14.155035488946943,0.0
E6b naive,0.05842405556705,4.755133485589474,1.0
E6b naive,0.0383614117168998,0.764810392140236,1.0
E6b naive,0.1091731549577267,10.00149284247041,0.0
E6b naive,0.0888255520530937,15.597861292618658,0.0
E6b naive,0.1943779194143244,24.35143033743058,0.0
E6b naive,0.0808206994462499,7.900860009387206,1.0
E6b naive,0.0412505200660995,0.8039499344330514,1.0
E6b naive,0.110767007735733,10.001436675866016,0.0
E6b naive,0.0909365721924445,15.74351506239618,0.0
E6b naive,0.198437757844329,24.84269887858917,0.0
E6b naive,0.0829856833571882,8.332710648288948,1.0
E6b naive,0.042910765115592,0.9600931628604148,1.0
E6b naive,0.1074742346998885,10.005829475664909,0.0
E6b naive,0.0947989923199994,16.337260056576913,0.0
E6b naive,0.1983975577338053,25.11518718683391,0.0
E6b naive,0.0840280667993947,8.761719744009822,1.0
E6b naive,0.000301416540817,0.8925475094557545,1.0
E6b naive,0.0003014125874206,0.8925524943461327,1.0
E6b naive,0.0003014049213738,0.8925521217951204,1.0
E6b naive,0.0003014150773334,0.8925489603878234,1.0
E6b naive,0.0003014197425784,0.8925519613900534,1.0
E6b naive,0.0005993530135329,0.7900986716600833,1.0
E6b naive,0.0005993422457264,0.7901025248391202,1.0
E6b naive,0.0005992228831755,0.7901091967165208,1.0
E6b naive,0.0005991202694752,0.7901180526057872,1.0
E6b naive,0.0005992028909685,0.7901192083226816,1.0
E6b naive,0.0014495447671423,0.8587705563068981,1.0
E6b naive,0.0014495378113104,0.858772763464305,1.0
E6b naive,0.00144954707464,0.8587654217685758,1.0
E6b naive,0.0014495376075121,0.8587730252379022,1.0
E6b naive,0.0014495323618492,0.8587702681655651,1.0
E6b naive,0.0052376412761653,1.0101281598464074,1.0
E6b naive,0.0048096221519395,2.402190338123749,1.0
E6b naive,0.0064317023060297,1.2291984287388755,1.0
E6b naive,0.0090597081277458,1.6580066544302383,1.0
E6b naive,0.0062858659458846,1.4108973438763717,1.0
E6b naive,0.0065859591428809,0.8345190304266892,1.0
E6b naive,0.0056440985553317,1.808561574162648,1.0
E6b naive,0.0074386068987398,1.028145995165214,1.0
E6b naive,0.010989798489813,1.23703929284103,1.0
E6b naive,0.0077354446152638,1.07897062461918,1.0
E6b naive,0.0087176505623669,1.1861609413286178,1.0
E6b naive,0.0083979464491954,2.411349150497438,1.0
E6b naive,0.0099964590692919,1.3641009587864572,1.0
E6b naive,0.0140888639265877,1.7086839582353464,1.0
E6b naive,0.010301330284576,1.3783148212740903,1.0
E6b naive,0.0178694179281009,1.0561591262761127,1.0
E6b naive,0.0173052817708649,4.392457680323581,1.0
E6b naive,0.0225677489878555,1.8770208011933127,1.0
E6b naive,0.035014216193641,2.4163098932034552,1.0
E6b naive,0.0242016697139188,1.8664259661185456,1.0
E6b naive,0.019214730432287,1.1760186693144823,1.0
E6b naive,0.0192149666339591,4.407575886878617,1.0
E6b naive,0.0230749338058752,2.0167792685600148,1.0
E6b naive,0.0361087379051902,2.5604698623567232,1.0
E6b naive,0.0241900045427076,1.813173200355328,1.0
E6b naive,0.0238502922115809,1.4287501803489755,1.0
E6b naive,0.0246638590682165,5.036992567673432,1.0
E6b naive,0.0283960062856925,2.1095350159896,1.0
E6b naive,0.0438136590530712,3.076722785218683,1.0
E6b naive,0.0299134119234976,2.066106771788717,1.0
E6b naive,0.0378581764829811,1.722524103807077,1.0
E6b naive,0.0374441072925753,7.192917806798526,0.0
E6b naive,0.0467808205267241,4.019535790078788,1.0
E6b naive,0.0703385999132328,5.127322979742055,1.0
E6b naive,0.0499981695339757,3.392327888986962,1.0
E6b naive,0.0375340110436968,2.3127961669720696,1.0
E6b naive,0.0395513305898905,7.804039291331338,0.0
E6b naive,0.0470499007953538,4.983202936252306,1.0
E6b naive,0.0713306016055006,5.831982069087932,1.0
E6b naive,0.0496193237495304,4.129330217819415,1.0
E6b naive,0.0409575328539273,2.539523825128259,1.0
E6b naive,0.0472450487718631,8.64872330623121,0.0
E6b naive,0.0510036619836634,5.173777924490369,1.0
E6b naive,0.0809570291424474,7.606170098980214,1.0
E6b naive,0.0539715677369477,4.764673323448898,1.0
E6b naive,0.0601070521675845,3.5179988950011785,1.0
E6b naive,0.0667729062660962,9.850359423454048,0.0
E6b naive,0.0739677349606662,8.571557912508542,1.0
E6b naive,0.1159237295120866,13.10755152408028,0.0
E6b naive,0.0815838180541327,7.591788425303797,1.0
E6b naive,0.0579693343939732,3.8014303779220215,1.0
E6b naive,0.0632583025269236,9.860926464287022,0.0
E6b naive,0.071273365414816,8.822868004909939,1.0
E6b naive,0.1104091699615085,12.206579820137476,1.0
E6b naive,0.0772070455850526,7.547358951235694,1.0
E6b naive,0.0608326125499794,4.314368350165587,1.0
E6b naive,0.0723970117935221,10.141799723602285,0.0
E6b naive,0.0777322355847793,9.978042811567397,1.0
