true_beta,seed_rep,observer,true_goal,recovered_beta,beta_posterior_entropy,modal_beta_level,modal_goal,correct,final_entropy,psi_analogue,engaged_fraction,cum_deep
0.0,0,18,0,0.24246473095905957,1.2210382733829503,1,1,0,1.1669569180314554,0.49218421856081246,0.0,10
0.0,0,19,0,0.2782351259182931,1.2685320471979824,1,2,0,0.913857520116141,0.8459069451811423,0.0,10
0.0,0,20,0,0.23378514364626785,1.1985828626987423,1,2,0,1.164479285343355,0.3334124992724926,0.0,10
0.0,0,21,0,0.22086439329400503,1.1508980714456687,1,1,0,1.0359446967729695,0.80653305736479,0.0,10
0.0,0,22,0,0.3816438065740885,1.346333282594751,2,2,0,0.6150981099864614,1.2869564973428502,0.0,10
0.0,0,23,0,0.20172746707843336,1.1184523200673502,0,3,0,1.287330836456654,0.14010093244546212,0.0,10
0.0,0,24,0,0.21362343480270954,1.1371719846042763,1,0,1,1.1649059426947037,0.4109987530439899,0.0,10
0.0,0,25,0,0.3948286409758883,1.3370982674020115,2,2,0,0.49075286640146487,1.9286357615160852,0.0,10
0.0,0,26,0,0.3816064651991675,1.3183226684291147,2,0,1,0.6649606067244547,1.5903665068426123,0.0,10
0.0,0,27,0,0.248167194922247,1.2125712339302677,1,1,0,1.053313293170907,0.4387674552872966,0.0,10
0.0,0,28,0,0.22746845761931953,1.1776646883881219,1,3,0,1.1530406231384853,0.8840398641749196,0.0,10
0.0,0,29,0,0.34421303259144875,1.2933945834695568,1,3,0,0.5673713903973722,2.187168708408147,0.0,10
0.0,0,30,0,0.38413950106350275,1.2839533993978496,2,2,0,0.2022250941866423,2.8109728082503094,0.0,10
0.0,0,31,0,0.26210564511025575,1.2479445775349665,1,0,1,1.0159856060107075,1.3255106187178196,0.0,10
0.0,0,32,0,0.2622859958151309,1.210755523073854,1,0,1,1.0018580618393262,1.0802875650378774,0.0,10
0.0,0,33,0,0.30273787932550955,1.347881014490869,1,2,0,0.4629206936574356,1.5702786466237137,0.0,10
0.0,0,34,0,0.26801443918359946,1.304934752296375,1,2,0,0.8073118730260442,1.2201492776749598,0.0,10
0.0,0,35,0,0.21597144685121228,1.142987509107311,1,3,0,1.224322005222257,0.3766314360955027,0.0,10
0.0,0,36,0,0.3598033297065593,1.482155141516674,1,2,0,0.9437232373307054,0.9050855600337127,0.0,10
0.0,0,37,0,0.3748290286012269,1.4829784364700702,1,3,0,0.9567847490537409,0.6670528632603859,0.0,10
0.0,0,38,0,0.3300872641267197,1.2969155549239262,1,1,0,0.2552951936146438,2.030689391445408,0.0,10
0.0,0,39,0,0.2357890309487984,1.216631587677578,1,2,0,1.2383033593102426,0.22825803759778487,0.0,10
0.0,0,40,0,0.34270661241402667,1.2729559167138487,1,3,0,0.5564538125104239,2.242385787896092,0.0,10
0.0,0,41,0,0.2163424768296317,1.1829291583014798,0,2,0,1.3672603307373443,0.05769229494771863,0.0,10
0.0,0,42,0,0.24791299853508414,1.2162082880599983,1,3,0,1.1007226114826165,0.5088281844100534,0.0,10
0.0,0,43,0,0.39452651238376263,1.3638350780028348,2,0,1,0.4521349136851309,1.9660653142104811,0.0,10
0.0,0,44,0,0.33460458701745904,1.341566860037206,1,1,0,0.7401107272479991,1.2894278689281111,0.0,10
0.0,0,45,0,0.418459167649163,1.3014417863817287,2,3,0,0.10497137776122074,3.1827409392008077,0.0,10
0.0,0,46,0,0.22225787994501972,1.1659057478732664,1,3,0,1.228222756369229,0.22646138322969867,0.0,10
0.0,0,47,0,0.36449877344518644,1.3306568262163063,1,1,0,0.3430917432148104,1.9164059129462025,0.0,10
0.0,0,48,0,0.4423334951362948,1.3091149136922253,2,0,1,0.1587644036778742,3.3542583723413317,0.0,10
0.0,0,49,0,0.33174225506168487,1.323398956839024,1,2,0,0.7959463474002901,1.361913554490028,0.0,10
0.0,0,50,0,0.2521625992951653,1.2170906128646064,1,2,0,0.5514877704531107,2.1505723067732614,0.0,10
0.0,0,51,0,0.34057011928448316,1.3017002463107168,1,1,0,0.7379988741375921,1.3999123140374543,0.0,10
0.0,0,52,0,0.23137772190876513,1.1790534749489947,1,0,1,1.0048259594318218,1.0443858928911118,0.0,10
0.0,0,53,0,0.21524512677497246,1.184479016138532,0,2,0,1.3423411622369796,0.05657294738408793,0.0,10
0.0,0,54,0,0.4807464507221118,1.322473396320802,2,1,0,0.1279206111309875,2.2748783870812477,0.0,10
0.0,0,55,0,0.3492170476126101,1.3062925445083284,1,0,1,0.5309555090053488,1.3532723635138482,0.0,10
0.0,0,56,0,0.4485865480129074,1.3118825987774307,2,1,0,0.14100480007777827,2.956153041378902,0.0,10
0.0,0,57,0,0.44932862310563737,1.321332976625869,2,2,0,0.08850415264731802,3.0674203896337207,0.0,10
0.0,0,58,0,0.2847967543960718,1.2626350826362827,1,0,1,1.0258304247162127,0.7871740598099691,0.0,10
0.0,0,59,0,0.3684267100166489,1.512720133481542,1,0,1,1.1992115630591993,0.44240532017246825,0.0,10
0.0,0,60,0,0.27801433582830365,1.3189056291993202,1,3,0,1.0942901989949143,0.5485184355419072,0.0,10
0.0,0,61,0,0.23289673600262603,1.1720881662108826,1,0,1,0.8628865431849077,0.7434968913211689,0.0,10
0.0,0,62,0,0.19140853686162587,1.1111375421582967,0,3,0,1.154111840479613,0.5642750808784164,0.0,10
0.0,0,63,0,0.2861693017142978,1.2282361314500094,1,0,1,0.20214049131993833,3.267043007269874,0.0,10
0.0,0,64,0,0.28729054509098195,1.2713224088995516,1,0,1,0.9001822521255599,0.7620914228666444,0.0,10
0.0,0,65,0,0.2175882650947534,1.1649966932536107,1,0,1,1.2722014714154102,0.32726610186169797,0.0,10
0.0,0,66,0,0.2822179544166485,1.300431590822651,1,2,0,1.1198121770534972,0.9191082773038787,0.0,10
0.0,0,67,0,0.22321534175652832,1.1871325302966629,1,1,0,1.2247249978453119,0.6217800876466302,0.0,10
0.0,0,68,0,0.3053244656380143,1.2532803042578564,1,3,0,0.8121456035937483,1.0563125563490963,0.0,10
0.0,0,69,0,0.2720805829644699,1.2386816385935815,1,2,0,0.7347270250675565,1.2930426380924995,0.0,10
0.0,0,70,0,0.15925347361440728,1.02910068498657,0,0,1,1.1856607202752367,0.2318076728649496,0.0,10
0.0,0,71,0,0.2639215303003399,1.2461939002007483,1,1,0,0.9544037453059316,0.9276211135995155,0.0,10
0.0,0,72,0,0.236136662266842,1.2230397643860011,1,2,0,1.2928709770892108,0.14675057635333907,0.0,10
0.0,0,73,0,0.2379843832378781,1.2096205133856486,1,1,0,0.9523265199791453,1.1136246049096494,0.0,10
0.0,0,74,0,0.16146866184841271,1.0316019817724154,0,2,0,1.1672690893983766,0.3140752099616512,0.0,10
0.0,0,75,0,0.3269289265333447,1.3006463363581586,1,0,1,0.47116496933982155,2.193048775591743,0.0,10
0.0,0,76,0,0.22689040791966525,1.1914449222612153,1,0,1,1.3189633368073028,0.3000317688219211,0.0,10
0.0,0,77,0,0.20689891151025705,1.1273042287848791,1,0,1,1.165394483368027,0.4505984937581518,0.0,10
0.0,0,78,0,0.3508373438840569,1.4902550280989877,1,2,0,1.230659542462275,0.14109243224882073,0.0,10
