arm,p_divergence,seed_rep,observer,latent,declared,diverged,latent_correct,declared_correct,self_report_correct,recovered_mu,mu_entropy,subgoal_entropy,final_entropy,artifact_trace_kl
human_unaware,0.0,0,64,0,0,0,1,1,1,1.9827748124382785,1.098317241915258,1.3860899136029117,0.3260372934928264,0.47930958094068843
human_unaware,0.0,0,65,0,0,0,1,1,1,1.9530859348243959,1.0964434615710794,1.3854521292558157,0.8084220796891382,0.47930958094068843
human_unaware,0.0,0,66,0,0,0,1,1,1,1.9499556874289037,1.0961466430550315,1.385407268800198,0.6534097577762885,0.47930958094068843
human_unaware,0.0,0,67,0,0,0,1,1,1,1.9623564820663457,1.0972120667613445,1.3856105950058568,0.9747805762754815,0.47930958094068843
human_unaware,0.0,0,68,0,0,0,0,0,1,2.0,1.0986122886681096,1.3862943611198906,1.3720016165410445,0.47930958094068843
human_unaware,0.0,0,69,0,0,0,1,1,1,1.9540583567748289,1.096531844542005,1.3856841418540293,0.5925665057302122,0.47930958094068843
human_unaware,0.0,0,70,0,0,0,1,1,1,1.9766037150131464,1.098069025023815,1.3860971100966704,0.391211184859957,0.47930958094068843
human_unaware,0.0,0,71,0,0,0,1,1,1,1.9522131536045588,1.0963625900720737,1.3855265654442803,0.6766310976315322,0.47930958094068843
human_unaware,0.0,0,72,0,0,0,1,1,1,1.9774326668457753,1.0981067083542377,1.3859745644223969,0.4228446779125615,0.47930958094068843
human_unaware,0.0,0,73,0,0,0,1,1,1,1.9625633713408916,1.097227329404879,1.3856677696685844,0.5275141725415622,0.47930958094068843
human_unaware,0.0,0,74,0,0,0,1,1,1,1.9734420980587455,1.097912968089441,1.385660643907467,1.107168685819261,0.47930958094068843
human_unaware,0.0,0,75,0,0,0,1,1,1,1.980175978992844,1.0982218180180563,1.3858259534503166,0.4543358040261942,0.47930958094068843
human_unaware,0.0,0,76,0,0,0,1,1,1,1.9806675669493803,1.0982408856250934,1.3859380322551633,1.209331252254869,0.47930958094068843
human_unaware,0.0,0,77,0,0,0,1,1,1,1.978806110712081,1.0981661822137374,1.3859008867743996,0.4351408313545034,0.47930958094068843
human_unaware,0.0,0,78,0,0,0,1,1,1,1.9732151282485912,1.0979010140105414,1.3856735260440738,1.0612172269655413,0.47930958094068843
human_unaware,0.0,0,79,0,0,0,1,1,1,1.9764531511338703,1.098062036247403,1.3858962136723583,0.4622670191966584,0.47930958094068843
human_unaware,0.0,0,80,0,0,0,0,0,1,1.9421082743660631,1.0953201939563209,1.3735528993967034,0.7023750308484562,0.47930958094068843
human_unaware,0.0,0,81,0,0,0,0,0,1,1.985224778858127,1.098395033202764,1.3612391614754207,0.3828048720567107,0.47930958094068843
human_unaware,0.0,0,82,0,0,0,1,1,1,1.976434381745445,1.098061161913461,1.3855848760560496,0.5011077155831245,0.47930958094068843
human_unaware,0.0,0,83,0,0,0,0,0,1,1.9671090458445961,1.0975417676399142,1.3678950622335575,0.5289879954706975,0.47930958094068843
human_unaware,0.0,0,84,0,0,0,1,1,1,1.972207099516841,1.0978467091461501,1.3859356616867229,0.43239849856809615,0.47930958094068843
human_unaware,0.0,0,85,0,0,0,1,1,1,1.945606050288194,1.0957030754898547,1.3853219405801833,0.7695781831547888,0.47930958094068843
human_unaware,0.0,0,86,0,0,0,1,1,1,1.9834001325157828,1.0983382204462055,1.3859845699834006,0.38771692857845924,0.47930958094068843
human_unaware,0.0,0,87,0,0,0,1,1,1,1.968756441340605,1.0976458327346572,1.3858342456826742,0.9777068835645335,0.47930958094068843
human_unaware,0.0,0,88,0,0,0,1,1,1,1.9707301684299512,1.097763567651953,1.3856932820912076,0.9549218793591941,0.47930958094068843
