arm,true_mu,delta,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,subgoal_entropy,correct,final_entropy,psi_analogue,psi_structure,engaged_fraction,cum_deep,separation_enforced
sustained,1,1.0,0,95,0,1.510611233636415,0.8638953234077418,1.3590744826465015,1,3.629153786752072e-15,3.397852405648358,3.460528492024079,,24,True
sustained,1,1.0,0,96,0,1.0012812675222784,0.006093233672755903,1.3862942578089545,1,7.866713281907652e-15,2.765399457268181,2.765399695127444,,24,True
sustained,1,1.0,0,97,0,1.7940209117462498,1.0594955070322314,1.3083188521752729,1,7.38662674481222e-15,3.5394378162476885,3.7189830607300585,,24,True
sustained,1,1.0,0,98,0,1.063216536084664,0.19154979536738836,1.3860304787557989,1,1.0793836803139637e-14,3.8506038191001526,3.8512114306612353,,24,True
sustained,1,1.0,0,99,0,2.2512235422677103,0.6606943002133299,0.7386832188631034,1,7.147187579369184e-15,3.459637710159703,4.950817472345992,,24,True
sustained,1,1.0,0,100,0,1.3015276400142388,0.6730327716164984,1.3778567512157842,1,4.783159878479205e-15,3.2404618331691677,3.2598901479266447,,24,True
sustained,1,1.0,0,101,0,1.3830732078355406,0.749547963353314,1.3744747614865647,1,3.824824344121842e-15,3.2646448205661627,3.291860454458502,,24,True
sustained,1,1.0,0,102,0,1.1030901798642863,0.28702767604628765,1.385314176050381,1,1.303055007642548e-13,3.2523410787664275,3.2545980382674906,,24,True
sustained,1,1.0,0,103,0,2.1883582536459816,1.0547240035288012,1.2880645009551825,1,4.596668025397619e-15,2.401117901409489,2.6273005130920386,,24,True
sustained,1,1.0,0,104,0,1.466202157718686,0.8367900531146658,1.361887724960602,1,3.958403511039511e-15,3.2959370309339473,3.352135387495549,,24,True
sustained,1,1.0,0,105,0,2.052076767250165,1.095972771269697,1.3648737887192033,1,2.7201709820025952e-15,2.5729429660608183,2.6222656567329246,,24,True
sustained,1,1.0,0,106,0,1.909993066136912,1.0910264533088907,1.3665580071165757,1,2.0908812072674723e-12,3.2187557471087693,3.264200381598911,,24,True
sustained,1,1.0,0,107,0,1.1321831039789756,0.3606848549945184,1.3843901835201093,1,3.679802345840209e-15,2.645890287453842,2.650274818387716,,24,True
sustained,1,1.0,0,108,0,1.9297527925740778,1.0923628982193134,1.3159754288917935,1,3.3148474730626474e-15,3.8697024958790482,4.0316178209456375,,24,True
sustained,1,1.0,0,109,0,1.8608751720058763,1.080283439584631,1.2990224368042695,1,4.290768886561427e-15,3.5401258662676915,3.741076898201605,,24,True
sustained,1,1.0,0,110,0,2.5282792400198817,0.7884287110402949,1.0934251721718964,1,2.4309481157698392e-15,2.7059395609112946,3.3802957895578305,,24,True
sustained,1,1.0,0,111,0,1.4475244200375301,0.785637790027448,1.3626514020092928,1,3.664700789571232e-15,3.6493673592612375,3.703807284429866,,24,True
sustained,1,1.0,0,112,0,1.3396524202793032,0.6973057147611224,1.3732718685943877,1,3.691026994670335e-15,2.7657085281743714,2.7956939253142594,,24,True
sustained,1,1.0,0,113,0,1.1717591701280767,0.42558104567192334,1.384427929057128,1,4.4826135873704346e-15,3.5302836675011506,3.5345812861139514,,24,True
sustained,1,1.0,0,114,0,1.2452911033203418,0.5712817329002349,1.3787064479356226,1,6.048150264528168e-15,3.316808633419911,3.3342804491757714,,24,True
sustained,1,1.0,0,115,0,1.432013974961444,0.8001631171301418,1.36824102902953,1,3.2690780150261415e-15,3.7971873293894705,3.8387566627036707,,24,True
sustained,1,1.0,0,116,0,1.708002307562876,0.9347774713442258,1.3766963488562447,1,3.971690111525082e-15,3.7745886832076416,3.796688923132701,,24,True
sustained,1,1.0,0,117,0,1.5221999002590507,0.8875408264604818,1.3732552569511982,1,3.402054794819156e-15,3.6373142475837055,3.667337894435009,,24,True
sustained,1,1.0,0,118,0,1.956899490470382,1.0948038501864126,1.251098919162088,1,3.904441160421247e-15,3.8195541209836237,4.130853130240116,,24,True
sustained,1,1.0,0,119,0,1.4143385099523342,0.7914391092855739,1.3788555805809832,1,3.039675557572354e-15,2.347572644524604,2.364701069684399,,24,True
sustained,1,1.0,0,120,0,1.3981224643857186,0.7648787830575542,1.3821235244044159,1,5.0999920885499994e-14,2.6837960391852693,2.693399745609475,,24,True
sustained,1,1.0,0,121,0,1.6099865947953598,0.9155981011189713,1.3256508881696,1,6.608192591778008e-15,3.5381442981732896,3.6777810549439036,,24,True
sustained,1,1.0,0,122,0,1.3997303042245337,0.7751580194790694,1.3656484559073865,1,3.521009956714201e-15,3.562040658957203,3.6095796124984365,,24,True
sustained,1,1.0,0,123,0,1.1660526845364834,0.40677927542004233,1.3848936673546626,1,1.3047206630137318e-13,2.6764088803369344,2.679634096898511,,24,True
sustained,1,1.0,0,124,0,1.9809487987705379,1.098295284272806,1.3646238429533784,1,3.0769639844597536e-15,2.5493100421595125,2.59920825422628,,24,True
sustained,1,1.0,0,125,0,1.5950044712287195,0.727825797756103,1.3249764088853864,1,3.388534566317655e-15,3.2083608061849547,3.349550608905218,,24,True
sustained,1,1.0,0,126,0,1.8888053619726903,1.0878003899825672,1.2862282977812538,1,3.932693525056839e-15,3.619664826233768,3.8500754519586424,,24,True
sustained,1,1.0,0,127,0,1.4230822414087496,0.7922166622943263,1.3708128671575655,1,3.2831440377057905e-15,3.863548614904209,3.899196072082152,,24,True
sustained,1,1.0,0,128,0,1.7556995171717575,1.0475522982266776,1.378603512550205,1,3.136804062377996e-15,3.4301594064902092,3.4478682397286025,,24,True
sustained,1,1.0,0,129,0,1.4350264420530767,0.8122248963019757,1.3798849540800524,1,8.262057302118298e-15,3.3676018511787387,3.382360056253781,,24,True
