kappa,signing_rate,contamination,seed_rep,observer,exposure,ghost_col_err,creator_mi,oracle_mi,mi_ratio,ghost_col_entropy,time_to_competence
0.1,0.0,0.3,0,5,600,3.721456759459441,1.0304313151875808,1.0887088433787815,0.9464709701352864,0.9122482367993368,
0.1,0.0,0.3,0,5,-1,3.721456759459441,1.0304313151875808,1.0887088433787815,0.9464709701352864,0.9122482367993368,600.0
0.1,0.0,0.3,0,6,100,4.395818917952834,1.0353478275896446,1.0887088433787815,0.9509868812826648,1.0459599913634037,
0.1,0.0,0.3,0,6,200,4.417217592788559,1.0156509819271737,1.0887088433787815,0.9328949499253865,1.0726801909638253,
0.1,0.0,0.3,0,6,300,4.347089640775205,0.9996526381795356,1.0887088433787815,0.9182001636701489,1.0816306791691137,
0.1,0.0,0.3,0,6,400,4.353739509626653,0.9877395139227481,1.0887088433787815,0.9072577300440791,1.0989042628239247,
0.1,0.0,0.3,0,6,500,4.366500247482691,0.9764515665677677,1.0887088433787815,0.8968895334195816,1.1063007767950992,
0.1,0.0,0.3,0,6,600,4.398066453133108,0.9809220207740108,1.0887088433787815,0.9009957315398882,1.1031090033106252,
0.1,0.0,0.3,0,6,-1,4.398066453133108,0.9809220207740108,1.0887088433787815,0.9009957315398882,1.1031090033106252,600.0
0.1,0.0,0.3,0,7,100,3.764365175240509,0.9768933145909688,1.0887088433787815,0.8972952874702516,0.8964082014149028,
0.1,0.0,0.3,0,7,200,3.6299768828708796,0.9369366357671819,1.0887088433787815,0.8605943099161588,0.9220799301159501,
0.1,0.0,0.3,0,7,300,3.5529239654286053,0.9392736130641864,1.0887088433787815,0.8627408684852541,0.9139228792969394,
0.1,0.0,0.3,0,7,400,3.5510443787971973,0.934751104260932,1.0887088433787815,0.8585868572169898,0.9236620127091864,
0.1,0.0,0.3,0,7,500,3.5498615770675714,0.9258178085861783,1.0887088433787815,0.8503814534223174,0.9250867135156499,
0.1,0.0,0.3,0,7,600,3.570452957944293,0.9376286532176236,1.0887088433787815,0.861229941246473,0.9103196836450438,
0.1,0.0,0.3,0,7,-1,3.570452957944293,0.9376286532176236,1.0887088433787815,0.861229941246473,0.9103196836450438,600.0
0.1,0.0,0.3,1,0,100,3.336112385796882,0.8858993308332392,1.0887088433787815,0.8137155642861063,1.0582962414125174,
0.1,0.0,0.3,1,0,200,3.4315813415346215,0.9181693699407906,1.0887088433787815,0.8433562155068698,1.0344533237251095,
0.1,0.0,0.3,1,0,300,3.4261662086352227,0.9471722673865175,1.0887088433787815,0.8699959343096648,1.0087838855924027,
0.1,0.0,0.3,1,0,400,3.3560067314419264,0.9611107303463561,1.0887088433787815,0.8827986804659107,1.0166505007831612,
0.1,0.0,0.3,1,0,500,3.336277073710309,0.9340711710556981,1.0887088433787815,0.8579623254981845,1.0204141958442356,
0.1,0.0,0.3,1,0,600,3.3460548073808543,0.9457885058070805,1.0887088433787815,0.8687249227000388,1.009507900177118,
0.1,0.0,0.3,1,0,-1,3.3460548073808543,0.9457885058070805,1.0887088433787815,0.8687249227000388,1.009507900177118,600.0
0.1,0.0,0.3,1,1,100,3.450925233230792,0.8440436859180206,1.0887088433787815,0.7752703498747667,1.0701179346586716,
