contamination,signal,seed_rep,generation,mean_expertise,mi_genuine,kl_payload,mean_deep_genuine,creator_col_kl,eff_sample_count,n_artifacts,n_observers,population_average_seed,kl,regret,regret_norm,argmax_preserved,sycophancy,entropy_recovered
0.3,honest,2,2,1.0,0.796387395938355,0.06555552078959354,1.743540669856459,0.5274893224752027,91.02042395611693,300,5,False,0.06555552078959354,7.854941666137827,0.26183138887126084,1,1.0,1.378257519810549
0.3,honest,2,3,1.0,0.7358608664910908,0.06116886801423303,2.1266666666666665,0.614148937415729,111.57759570131425,300,5,False,0.06116886801423303,7.953327282198918,0.26511090940663057,1,1.0,1.3757581715942715
0.6,absent,0,0,1.0,0.3051444231544453,0.08480894836579012,1.5145299145299147,1.7869133856258168,45.25500322633326,300,5,False,0.08480894836579012,1.2609622866910086,0.042032076223033614,1,1.0,1.3566681916968126
0.6,absent,0,1,1.0,0.2032315199853001,0.07147458381175147,0.9496062992125985,2.3609731650323993,19.455862492318815,300,5,False,0.07147458381175147,1.997097743144871,0.06656992477149569,1,1.0,1.3684434828003325
0.6,absent,0,2,1.0,0.2014673709487075,0.06800242971665525,0.8241935483870968,2.380399397089689,18.69755255082645,300,5,False,0.06800242971665525,1.5764542923003166,0.05254847641001055,1,1.0,1.3654467279363902
0.6,absent,0,3,1.0,0.20322555566678271,0.0676091348071965,1.0943396226415094,2.4697685475405384,18.55667192947886,300,5,False,0.0676091348071965,1.6410651450216807,0.05470217150072268,1,1.0,1.3651176362828632
0.6,absent,1,0,1.0,0.5218507237673979,0.12238578573876359,1.7568000000000001,1.4937683859272775,39.110958430664965,300,5,False,0.12238578573876359,0.7827748989941985,0.026092496633139946,1,0.795,1.3228856274401661
0.6,absent,1,1,1.0,0.2031105565906762,0.06512490146529923,0.7260504201680673,2.387589689150075,16.219941178152233,300,5,False,0.06512490146529923,1.7516699846831074,0.058388999489436905,1,1.0,1.3662354696142351
0.6,absent,1,2,1.0,0.20309429657649183,0.06670823042535416,0.7587301587301588,2.426299705352889,15.500144629027634,300,5,False,0.06670823042535416,2.216727223375065,0.07389090744583547,1,1.0,1.369902396029503
0.6,absent,1,3,1.0,0.20237812038736389,0.07466346737953924,0.585,2.4701747183238587,12.933584435046422,300,5,False,0.07466346737953924,2.968814642651152,0.09896048808837171,1,1.0,1.3734742939548112
0.6,absent,2,0,1.0,0.254602605460197,0.02508175816269101,1.826153846153846,2.1728996040273305,49.17634647931622,300,5,False,0.02508175816269101,0.4049188373710655,0.013497294579035514,1,0.665,1.3336181923810295
0.6,absent,2,1,1.0,0.20205948125304127,0.08162155599586655,0.8545454545454545,2.3811029621900612,18.803239276438866,300,5,False,0.08162155599586655,2.424798553565244,0.08082661845217479,1,1.0,1.3688376404892266
0.6,absent,2,2,1.0,0.20578093525952545,0.09191268436685188,1.0422764227642278,2.338002021245035,18.864747890730158,300,5,False,0.09191268436685188,2.4135500155271714,0.08045166718423905,1,1.0,1.3658870345854819
0.6,absent,2,3,1.0,0.20406306381963027,0.0747183236947562,0.8807339449541283,2.5202719362134056,17.662457269849174,300,5,False,0.0747183236947562,2.656505109758134,0.08855017032527111,1,1.0,1.3703001193223603
0.6,honest,0,0,1.0,0.7380996428277389,0.025690827374754407,2.1193548387096772,0.8056851732537005,65.65815182820023,300,5,False,0.025690827374754407,6.700181018830093,0.22333936729433637,0,0.415,1.3185970872894481
0.6,honest,0,1,1.0,0.5627656851402867,0.03546170581398864,2.23716814159292,0.9310204038104184,63.179165944351574,300,5,False,0.03546170581398864,6.283873010716184,0.20946243369053946,0,0.395,1.3276538473800787
0.6,honest,0,2,1.0,0.542556240047959,0.031724986073408054,2.528205128205128,1.0201455621689215,73.90825107929219,300,5,False,0.031724986073408054,3.126572543936618,0.10421908479788725,1,0.445,1.3265666295640117
0.6,honest,0,3,1.0,0.5255764294053816,0.022533214966261775,2.3847619047619046,1.2028245313718133,62.57783266837477,300,5,False,0.022533214966261775,2.840077435107413,0.09466924783691376,1,0.48,1.3295391606419165
0.6,honest,1,0,1.0,0.857146232756876,0.031343371905977815,1.8495726495726494,0.3257857937041183,54.05419224738955,300,5,False,0.031343371905977815,1.6608571123512383,0.05536190374504127,1,1.0,1.356768913095255
