true_provenance,declared_signal,seed_rep,observer,true_goal,modal_goal,within_entropy,final_posterior
CREATOR,SIG_CREATOR,0,56,1,1,4.669250072295008e-14,"[4.2486972040629683e-16, 0.9999999999999987, 4.2380385528439205e-16, 4.3308324238435096e-16]"
CREATOR,SIG_CREATOR,0,57,1,1,4.706895557482108e-14,"[4.267309393701659e-16, 0.9999999999999987, 4.2869578128447324e-16, 4.372787264805513e-16]"
CREATOR,SIG_CREATOR,0,58,1,1,4.746214485233249e-14,"[4.32336306727558e-16, 0.9999999999999987, 4.3571790034870545e-16, 4.360872272756449e-16]"
CREATOR,SIG_CREATOR,0,59,1,1,1.598430955414478e-10,"[5.903603766108825e-14, 0.9999999999942117, 2.6529723589828146e-12, 3.0761546849914575e-12]"
CREATOR,SIG_CREATOR,0,60,1,1,1.4885838641502493e-12,"[1.1345816366868559e-15, 0.9999999999999534, 4.396280517977655e-14, 1.488400955195835e-15]"
CREATOR,SIG_CREATOR,0,61,1,1,1.4919768300249579e-12,"[1.9764749472937545e-15, 0.9999999999999534, 1.3526694774749855e-15, 4.3291605699956596e-14]"
CREATOR,SIG_CREATOR,0,62,1,1,4.653681765770472e-14,"[4.262477460031737e-16, 0.9999999999999987, 4.259572164720915e-16, 4.2502326791155535e-16]"
CREATOR,SIG_CREATOR,0,63,1,1,4.6894517766795535e-14,"[4.226265302552098e-16, 0.9999999999999987, 4.216027571259891e-16, 4.4341081676137745e-16]"
CREATOR,SIG_CREATOR,0,64,1,1,4.686252786574117e-14,"[4.4064820336803286e-16, 0.9999999999999987, 4.245716046486769e-16, 4.214868921109892e-16]"
CREATOR,SIG_CREATOR,0,65,1,1,1.4224004727717052e-12,"[4.126957092603178e-14, 0.9999999999999556, 1.5642422435366582e-15, 1.54806875719903e-15]"
CREATOR,SIG_CREATOR,0,66,1,1,8.86381773024718e-11,"[1.6310893118834306e-12, 0.9999999999968598, 3.070764820383319e-14, 1.4784081925929194e-12]"
CREATOR,SIG_CREATOR,0,67,1,1,9.634497926571463e-08,"[4.543652157428454e-09, 0.9999999952635992, 2.9885104376916147e-12, 1.8976017084421291e-10]"
CREATOR,SIG_CREATOR,0,68,1,1,4.694270811859955e-14,"[4.255418718625828e-16, 0.9999999999999987, 4.2684931018408197e-16, 4.3664273334125866e-16]"
CREATOR,SIG_CREATOR,0,69,1,1,4.70590088300543e-14,"[4.3215990170236304e-16, 0.9999999999999987, 4.3238505927715774e-16, 4.278694931740666e-16]"
CREATOR,SIG_CREATOR,0,70,1,1,4.7626386212318854e-14,"[4.441200442354469e-16, 0.9999999999999987, 4.281104893752213e-16, 4.3669352077874905e-16]"
CREATOR,SIG_CREATOR,0,71,1,1,4.6144622112171654e-14,"[4.202636278660469e-16, 0.9999999999999987, 4.188273353487234e-16, 4.26736489981811e-16]"
CREATOR,SIG_CREATOR,0,72,1,1,2.0343109708351438e-12,"[1.99897640584552e-15, 0.9999999999999356, 1.910983006371045e-15, 6.03678177544819e-14]"
CREATOR,SIG_CREATOR,0,73,1,1,4.685338147340244e-14,"[4.305411073683376e-16, 0.9999999999999987, 4.342501135420649e-16, 4.216451858244346e-16]"
CREATOR,SIG_CREATOR,0,74,1,1,1.361598419905278e-12,"[3.9421772655791115e-14, 0.9999999999999574, 1.761889335604444e-15, 1.2345168344950868e-15]"
CREATOR,SIG_CREATOR,0,75,1,1,1.251792821341606e-10,"[2.320397789485697e-12, 0.9999999999955109, 6.289786351497144e-14, 2.1057716808361235e-12]"
CREATOR,SIG_CREATOR,0,76,1,1,4.757288495546647e-14,"[4.257243295994779e-16, 0.9999999999999987, 4.451320563458479e-16, 4.365130228010831e-16]"
CREATOR,SIG_CREATOR,0,77,1,1,1.575241875236168e-12,"[1.6120084963248986e-15, 0.9999999999999507, 1.6737695180456532e-15, 4.60480260884171e-14]"
CREATOR,SIG_CREATOR,0,78,1,1,2.215457856230692e-12,"[1.2550991466516743e-15, 0.9999999999999294, 6.786172604765545e-14, 1.287016332336455e-15]"
CREATOR,SIG_CREATOR,0,79,1,1,1.5403703254902356e-12,"[1.485673946118601e-15, 0.9999999999999516, 4.529107934960249e-14, 1.452964572691371e-15]"
CREATOR,SIG_CREATOR,0,80,1,1,1.48837349918584e-12,"[1.2959195379914985e-15, 0.9999999999999536, 1.830017269750577e-15, 4.340325995948402e-14]"
CREATOR,SIG_CREATOR,0,81,1,1,4.6270517963118957e-14,"[4.2122067337355764e-16, 0.9999999999999987, 4.220544850188507e-16, 4.262113040360956e-16]"
CREATOR,SIG_CREATOR,0,82,1,1,2.424364180916554e-09,"[1.0077892632103136e-10, 0.9999999998990985, 8.054070011763021e-14, 4.2071798378317876e-14]"
CREATOR,SIG_CREATOR,0,83,1,1,1.7079500150533529e-12,"[1.5254079489135416e-15, 0.9999999999999463, 1.5068935919703677e-15, 5.065521403191956e-14]"
CREATOR,SIG_CREATOR,0,84,1,1,4.648854770718893e-14,"[4.3181284611924245e-16, 0.9999999999999987, 4.235328859510086e-16, 4.204813446385628e-16]"
CREATOR,SIG_CREATOR,0,85,1,1,4.740492354436056e-14,"[4.2592272291398896e-16, 0.9999999999999987, 4.360637563678269e-16, 4.4049367370426225e-16]"
CREATOR,SIG_CREATOR,0,86,1,1,1.3575876911151525e-10,"[6.189104229927934e-14, 0.9999999999951148, 2.6996812014661517e-12, 2.1235813960993455e-12]"
CREATOR,SIG_CREATOR,0,87,1,1,1.788769116098236e-12,"[1.353775008364664e-15, 0.9999999999999436, 5.3447175864231844e-14, 1.5444472563203774e-15]"
CREATOR,SIG_CREATOR,0,88,1,1,4.762974348203967e-14,"[4.2661755624173763e-16, 0.9999999999999987, 4.458447932895585e-16, 4.3656127510993364e-16]"
CREATOR,SIG_CREATOR,0,89,1,1,1.090749100537158e-12,"[3.1317871015803097e-14, 0.9999999999999662, 1.061599793385223e-15, 1.3607398088693577e-15]"
CREATOR,SIG_CREATOR,0,90,1,1,2.2670688328744816e-12,"[1.85397341459569e-15, 0.9999999999999281, 1.3175036132847755e-15, 6.886599934469149e-14]"
CREATOR,SIG_CREATOR,0,91,1,1,4.607936957141855e-14,"[4.1771394943495586e-16, 0.9999999999999987, 4.270780107060678e-16, 4.1913928161964743e-16]"
CREATOR,SIG_CREATOR,0,92,1,1,4.7438651436304143e-14,"[4.3017981873236896e-16, 0.9999999999999987, 4.4125806043523187e-16, 4.320221205719473e-16]"
CREATOR,SIG_CREATOR,0,93,1,1,2.455325782315676e-12,"[1.6488792586548967e-15, 0.9999999999999218, 1.9205522211285555e-15, 7.463603670430653e-14]"
CREATOR,SIG_CREATOR,0,94,1,1,4.745148565081425e-14,"[4.364519574909325e-16, 0.9999999999999987, 4.264300047717676e-16, 4.4095277980189414e-16]"
CREATOR,SIG_CREATOR,0,95,1,1,4.726483412177397e-14,"[4.286086346706969e-16, 0.9999999999999987, 4.382079865480229e-16, 4.315860400401639e-16]"
CREATOR,SIG_CREATOR,0,96,1,1,4.7116513328398196e-14,"[4.356226739012263e-16, 0.9999999999999987, 4.3568726710359955e-16, 4.22780417393855e-16]"
CREATOR,SIG_CREATOR,0,97,1,1,1.2752422414998832e-12,"[1.1137052628948544e-15, 0.9999999999999603, 3.7492013233513377e-14, 1.1062784639713757e-15]"
CREATOR,SIG_CREATOR,0,98,1,1,4.607159566529966e-14,"[4.173630774511103e-16, 0.9999999999999987, 4.2187187482706147e-16, 4.2446946539281834e-16]"
CREATOR,SIG_CREATOR,0,99,1,1,9.081915917400185e-11,"[1.7152241101380057e-12, 0.9999999999967819, 4.9171277268178235e-14, 1.453812900663764e-12]"
CREATOR,SIG_CREATOR,0,100,1,1,4.6978598501042927e-14,"[4.284137330922451e-16, 0.9999999999999987, 4.3429694777787116e-16, 4.2736553020217573e-16]"
CREATOR,SIG_CREATOR,0,101,1,1,4.700832415630718e-14,"[4.283496509619278e-16, 0.9999999999999987, 4.2849781054810624e-16, 4.3409309173907587e-16]"
CREATOR,SIG_CREATOR,0,102,1,1,4.6217469563138706e-14,"[4.2288889231156875e-16, 0.9999999999999987, 4.259664674332356e-16, 4.1908929645546296e-16]"
CREATOR,SIG_CREATOR,0,103,1,1,2.9904167988926833e-12,"[9.259770657436441e-14, 0.9999999999999041, 1.6174922755415463e-15, 1.7814533177784115e-15]"
CREATOR,SIG_CREATOR,0,104,1,1,1.6142297793575933e-12,"[1.4056683977705246e-15, 0.9999999999999494, 4.7761477424669134e-14, 1.4808563845507672e-15]"
CREATOR,SIG_CREATOR,0,105,1,1,4.7578366022808924e-14,"[4.4292934430906217e-16, 0.9999999999999987, 4.314669295388332e-16, 4.331288465146969e-16]"
CREATOR,SIG_CREATOR,0,106,1,1,1.4275279064540772e-12,"[1.5256964192575491e-15, 0.9999999999999556, 4.1148873784380706e-14, 1.8510900640715993e-15]"
CREATOR,SIG_CREATOR,0,107,1,1,4.720600206258846e-14,"[4.382257301822488e-16, 0.9999999999999987, 4.300404972133348e-16, 4.2842528465491763e-16]"
CREATOR,SIG_CREATOR,0,108,1,1,1.7869312737694792e-12,"[1.1109940237305954e-15, 0.9999999999999436, 5.399470463573824e-14, 1.2454875610970538e-15]"
CREATOR,SIG_CREATOR,0,109,1,1,1.825075835865255e-12,"[1.5298348525261994e-15, 0.9999999999999425, 2.1101751709110704e-15, 5.380989987968554e-14]"
CREATOR,SIG_CREATOR,0,110,1,1,4.676731597021271e-14,"[4.333814789146066e-16, 0.9999999999999987, 4.286238142371182e-16, 4.219276265413325e-16]"
CREATOR,SIG_CREATOR,0,111,1,1,4.680425429537081e-14,"[4.2312662502362565e-16, 0.9999999999999987, 4.350380705711985e-16, 4.2684268329821814e-16]"
CREATOR,SIG_CREATOR,0,112,1,1,4.7114770080666335e-14,"[4.3560291406502986e-16, 0.9999999999999987, 4.3243192422958893e-16, 4.2600269135056505e-16]"
CREATOR,SIG_CREATOR,0,113,1,1,4.3189248317355614e-09,"[5.46608707764915e-14, 0.9999999998155842, 1.843006289336382e-10, 6.052245630845713e-14]"
CREATOR,SIG_CREATOR,0,114,1,1,4.6636588787217247e-14,"[4.2520309927008625e-16, 0.9999999999999987, 4.3196513290891343e-16, 4.2296249988938634e-16]"
CREATOR,SIG_CREATOR,0,115,1,1,4.711782228800194e-14,"[4.235759793674914e-16, 0.9999999999999987, 4.4215142325297773e-16, 4.284035359031734e-16]"
CREATOR,SIG_CREATOR,0,116,1,1,1.6332766862481964e-12,"[1.1897827170821505e-15, 0.9999999999999487, 1.5402190727253071e-15, 4.855700777319313e-14]"
CREATOR,SIG_CREATOR,0,117,1,1,1.1910476698305553e-12,"[3.438751896921984e-14, 0.9999999999999629, 1.2800660024641891e-15, 1.2837968171020466e-15]"
CREATOR,SIG_CREATOR,0,118,1,1,1.2763096948252773e-12,"[1.016263332607684e-15, 0.9999999999999603, 3.762693939857835e-14, 1.1150542845890209e-15]"
CREATOR,SIG_CREATOR,0,119,1,1,4.7051711192302516e-14,"[4.4158843662456553e-16, 0.9999999999999987, 4.247977267090737e-16, 4.258215531629172e-16]"
CREATOR,SIG_CREATOR,0,120,1,1,1.729643695688686e-10,"[8.399678893893107e-14, 0.9999999999937215, 3.0297395419533002e-12, 3.164797560619956e-12]"
CREATOR,SIG_CREATOR,0,121,1,1,4.6526949602371655e-14,"[4.2241300492603117e-16, 0.9999999999999987, 4.3373402758071532e-16, 4.2079763196059223e-16]"
CREATOR,SIG_CREATOR,0,122,1,1,4.6346749860368967e-14,"[4.21087980757308e-16, 0.9999999999999987, 4.272372419060567e-16, 4.233775898906423e-16]"
CREATOR,SIG_CREATOR,0,123,1,1,4.667856985085059e-14,"[4.329549632516024e-16, 0.9999999999999987, 4.2587288868389255e-16, 4.225240503511244e-16]"
CREATOR,SIG_CREATOR,0,124,1,1,4.662145733783644e-14,"[4.341504666553459e-16, 0.9999999999999987, 4.2296080480724112e-16, 4.2258091448679213e-16]"
CREATOR,SIG_CREATOR,0,125,1,1,4.682718514870684e-14,"[4.276991983680342e-16, 0.9999999999999987, 4.2331153761715417e-16, 4.346632055880634e-16]"
CREATOR,SIG_CREATOR,0,126,1,1,4.62596169451289e-14,"[4.2009631201562687e-16, 0.9999999999999987, 4.2847533537648073e-16, 4.205989386877975e-16]"
CREATOR,SIG_CREATOR,0,127,1,1,4.735416431514992e-14,"[4.2426101376213256e-16, 0.9999999999999987, 4.323307772209599e-16, 4.444148189117607e-16]"
CREATOR,SIG_CREATOR,0,128,1,1,4.6480838553022836e-14,"[4.2307899400898515e-16, 0.9999999999999987, 4.2877977277930225e-16, 4.237424843637477e-16]"
CREATOR,SIG_CREATOR,0,129,1,1,1.596619406522194e-07,"[2.8048340465940513e-12, 0.9999999919064951, 1.4916304835458478e-10, 7.941536915207405e-09]"
CREATOR,SIG_CREATOR,0,130,1,1,4.7672286537558616e-14,"[4.3028122180828583e-16, 0.9999999999999987, 4.456179591374976e-16, 4.343603509607336e-16]"
CREATOR,SIG_CREATOR,0,131,1,1,4.757185324593036e-14,"[4.3462925206425745e-16, 0.9999999999999987, 4.4149411671655743e-16, 4.3121153151955163e-16]"
CREATOR,SIG_CREATOR,0,132,1,1,4.664080606065408e-14,"[4.3333247177036917e-16, 0.9999999999999987, 4.245950140140329e-16, 4.223266772852227e-16]"
CREATOR,SIG_CREATOR,0,133,1,1,1.522744802222372e-10,"[3.643339614807184e-12, 0.9999999999944831, 1.8317071440159493e-12, 4.2063595530650237e-14]"
CREATOR,SIG_CREATOR,0,134,1,1,1.5007679933367398e-12,"[4.454568415699211e-14, 0.9999999999999529, 1.141682338255454e-15, 1.312596705924462e-15]"
CREATOR,SIG_CREATOR,0,135,1,1,4.6386385562500953e-14,"[4.2617392509867167e-16, 0.9999999999999987, 4.253262944682826e-16, 4.2135470022808e-16]"
CREATOR,SIG_CREATOR,0,136,1,1,4.7632590579961155e-14,"[4.30529487207078e-16, 0.9999999999999987, 4.52159385507278e-16, 4.2642410474244804e-16]"
CREATOR,SIG_CREATOR,0,137,1,1,4.730574750869064e-14,"[4.2517195607281687e-16, 0.9999999999999987, 4.4003294951851e-16, 4.34390099488855e-16]"
CREATOR,SIG_CREATOR,0,138,1,1,2.131650842153901e-12,"[6.335052222809668e-14, 0.9999999999999327, 1.809385486475451e-15, 2.306070604214588e-15]"
CREATOR,SIG_CREATOR,0,139,1,1,1.7574882023000732e-12,"[5.093363702714746e-14, 0.9999999999999449, 2.4956676178197046e-15, 1.751609871919263e-15]"
CREATOR,SIG_CREATOR,0,140,1,1,4.68624281257768e-14,"[4.33401727803939e-16, 0.9999999999999987, 4.307458166179413e-16, 4.2255127991444966e-16]"
CREATOR,SIG_CREATOR,0,141,1,1,1.7431288295650297e-12,"[2.0685864499113224e-15, 0.9999999999999454, 2.022791790807859e-15, 5.063421029883536e-14]"
CREATOR,SIG_CREATOR,0,142,1,1,1.0875623194562655e-10,"[3.6700486760284487e-14, 0.999999999996118, 1.9253769564200055e-12, 1.920038077165146e-12]"
CREATOR,SIG_CREATOR,0,143,1,1,1.8656681285965346e-12,"[5.5363345333423693e-14, 0.9999999999999414, 2.0775132633742254e-15, 1.3690212467319535e-15]"
CREATOR,SIG_CREATOR,0,144,1,1,4.734076155360572e-14,"[4.496755345963009e-16, 0.9999999999999987, 4.249984647293429e-16, 4.2594885081388126e-16]"
CREATOR,SIG_CREATOR,0,145,1,1,4.651638227802098e-14,"[4.2359749425043534e-16, 0.9999999999999987, 4.229200939984509e-16, 4.301175176759592e-16]"
CREATOR,SIG_CREATOR,0,146,1,1,4.742398666697531e-14,"[4.455009758763858e-16, 0.9999999999999987, 4.3179234994523573e-16, 4.257445230466244e-16]"
CREATOR,SIG_CREATOR,0,147,1,1,4.70850501179128e-14,"[4.387568413649751e-16, 0.9999999999999987, 4.30207627637199e-16, 4.2421059190690537e-16]"
CREATOR,SIG_CREATOR,0,148,1,1,4.751853008215424e-14,"[4.346560479013469e-16, 0.9999999999999987, 4.3037488853849036e-16, 4.4075250670966654e-16]"
CREATOR,SIG_CREATOR,0,149,1,1,2.262276290624325e-12,"[2.2152527091787944e-15, 0.9999999999999283, 6.770143982244051e-14, 1.8527643927959745e-15]"
CREATOR,SIG_CREATOR,0,150,1,1,4.7607902017721564e-09,"[2.0405076242636812e-10, 0.9999999997958275, 5.380534875794797e-14, 6.794478476322163e-14]"
CREATOR,SIG_CREATOR,0,151,1,1,4.6060751633354237e-14,"[4.2207191303409263e-16, 0.9999999999999987, 4.171114781196502e-16, 4.242058473094858e-16]"
CREATOR,SIG_CREATOR,0,152,1,1,4.7434482806105575e-14,"[4.35306132423117e-16, 0.9999999999999987, 4.291223057396439e-16, 4.389095716363881e-16]"
CREATOR,SIG_CREATOR,0,153,1,1,4.675686532502585e-14,"[4.227292723038432e-16, 0.9999999999999987, 4.3226859369794847e-16, 4.2863047112953107e-16]"
CREATOR,SIG_CREATOR,0,154,1,1,1.8264838514533793e-12,"[1.7981525079715193e-15, 0.9999999999999427, 5.35911574079144e-14, 2.0867699988149193e-15]"
CREATOR,SIG_CREATOR,0,155,1,1,4.577709247328769e-14,"[4.175097730249629e-16, 0.9999999999999987, 4.189744200091464e-16, 4.1865990991767837e-16]"
CREATOR,SIG_CREATOR,0,156,1,1,1.035961316229507e-12,"[2.969252855677589e-14, 0.999999999999968, 1.084904297689827e-15, 1.2155006401721918e-15]"
CREATOR,SIG_CREATOR,0,157,1,1,6.71733333593533e-11,"[1.1165725656481527e-12, 0.9999999999976443, 2.483614927920701e-14, 1.2140783207355223e-12]"
CREATOR,SIG_CREATOR,0,158,1,1,1.5465044176628547e-12,"[1.3113820170322915e-15, 0.9999999999999516, 1.845062746547438e-15, 4.525629437533207e-14]"
CREATOR,SIG_CREATOR,0,159,1,1,1.0413168595129263e-12,"[3.008214899118602e-14, 0.999999999999968, 9.824177030264184e-16, 1.1270005009231488e-15]"
CREATOR,SIG_CREATOR,0,160,1,1,4.701696310481601e-14,"[4.295975201879651e-16, 0.9999999999999987, 4.2663624680911197e-16, 4.3495852853744236e-16]"
