half,arm,contamination,seed_rep,observer,artifact_index,eff_sample_count,creator_col_kl,col_change_rate,deep_per_genuine,generation,deep_per_artifact
starvation,starvation_only,0.0,1,2,325,163.62691659133668,0.497358486109403,0.0038917268977397405,2.0153846153846153,,
starvation,starvation_only,0.0,1,2,350,175.11658424147902,0.4879301049684871,0.00199370664630833,2.0028571428571427,,
starvation,starvation_only,0.0,1,2,375,186.10785157365103,0.4794816444498901,0.003606153495241874,1.9866666666666666,,
starvation,starvation_only,0.0,1,2,400,198.35240410832174,0.495618526999931,0.002342212928517735,1.985,,
starvation,starvation_only,0.0,1,3,25,10.239736503712907,0.21213746992000393,0.06154025301226961,1.64,,
starvation,starvation_only,0.0,1,3,50,23.72726696527822,0.30552542563177215,0.04953600665269882,1.9,,
starvation,starvation_only,0.0,1,3,75,34.89300353921794,0.2524488475490815,0.011221477642923661,1.8666666666666667,,
starvation,starvation_only,0.0,1,3,100,48.10775758969047,0.32012229661503866,0.01841744465479344,1.93,,
starvation,starvation_only,0.0,1,3,125,61.84985519152669,0.37464149886249354,0.013197801792454684,1.984,,
starvation,starvation_only,0.0,1,3,150,72.59113213291674,0.3576593882527222,0.010077232543713073,1.94,,
starvation,starvation_only,0.0,1,3,175,85.33117806238343,0.3408532414087833,0.003850494782637366,1.9542857142857142,,
starvation,starvation_only,0.0,1,3,200,97.57149577767852,0.3345724220237197,0.0054716422515811505,1.955,,
starvation,starvation_only,0.0,1,3,225,110.0658443270739,0.34779077062838554,0.00444668420371126,1.96,,
starvation,starvation_only,0.0,1,3,250,121.55667398621915,0.3454433960600752,0.005840352514427017,1.948,,
starvation,starvation_only,0.0,1,3,275,132.29929998037002,0.3549656199913172,0.002207064574659422,1.9272727272727272,,
starvation,starvation_only,0.0,1,3,300,143.79140870494965,0.3582813520101617,0.004139077118527064,1.92,,
starvation,starvation_only,0.0,1,3,325,156.5358189023733,0.3841268698451672,0.003234965581548286,1.9292307692307693,,
starvation,starvation_only,0.0,1,3,350,167.27703940077117,0.3898243944274958,0.0016202275076035349,1.9142857142857144,,
starvation,starvation_only,0.0,1,3,375,179.51921482193563,0.4023286647385865,0.004836652805659465,1.9173333333333333,,
