arm,kappa,contamination,seed_rep,observer,honesty,engagement_frozen,deep_per_genuine,ghost_col_err,creator_mi,mi_CREATOR,kl_CREATOR,ent_CREATOR,mi_POLISHED,kl_POLISHED,ent_POLISHED,mi_CURATOR,kl_CURATOR,ent_CURATOR,mi_GHOST,kl_GHOST,ent_GHOST,shape_kl_human,flatness_human
poisoning_only,0.9,0.0,1,4,0.5,True,6.0,4.576292595916511,0.9931527723471698,0.9931527723471698,0.08691912676697992,1.0744854154175705,1.079673348140375,0.021181295225603917,0.9997214165924628,1.0729554425330758,0.34842450521246504,1.0063360112479667,1.0785741596886456,2.2677702280739123,1.0008080006963698,0.1521749757350163,1.0268476144193335
poisoning_only,0.9,0.0,1,5,0.5,True,6.0,4.593953759326213,0.9996992987556289,0.9996992987556289,0.04769361059589803,1.0726038662410182,1.0848402215982336,0.02260854223510381,0.9945683699880007,1.085836313006606,0.3565097865940875,0.9935871575214539,1.084737775172064,2.2781545606919487,0.9946690293532731,0.14227064647502977,1.0202531312501575
poisoning_only,0.9,0.0,1,6,0.5,True,6.0,4.572369934978853,0.943359882314804,0.943359882314804,0.12407127139112822,1.1154864580149912,1.0813220283591094,0.02244565468440442,0.9980630271713037,1.0835185643119993,0.3546594764771526,0.9958951374211089,1.0833908386076447,2.268280148682981,0.9960214735045892,0.16705880085089508,1.0364815408691346
poisoning_only,0.9,0.0,1,7,0.5,True,6.0,4.5700128503231525,0.9621106758283452,0.9621106758283452,0.1968523025664841,1.0810078895668547,1.0811175178818635,0.02210580364283512,0.9982935047008354,1.0792364320588317,0.3527054010514059,1.0001564844100443,1.0791244680961918,2.2662575827297067,1.0002672240821142,0.19055450242024172,1.0264859595592448
poisoning_only,0.9,0.0,2,0,0.5,True,6.0,4.584373583944843,1.0290119878775421,1.0290119878775421,0.02387129989874355,1.0473764687651022,1.084053043734671,0.022723312862317116,0.9953620703550212,1.0848430898645303,0.35548287608798157,0.9945803583364156,1.0854668200906368,2.2735025627075482,0.9939620657519314,0.13402582961634743,1.0124396324855132
poisoning_only,0.9,0.0,2,1,0.5,True,6.0,4.5946837999288155,1.0921371603954961,1.0921371603954961,0.03954323510385249,0.9828738547406328,1.086480016382415,0.022803942102208714,0.992935470316785,1.0854765755176674,0.3562478418105537,0.993909045644942,1.0859212966705707,2.278451616320733,0.9934790262985593,0.1395316730055383,0.9899061235674532
poisoning_only,0.9,0.0,2,2,0.5,True,6.0,4.566808675849443,0.9401422747053666,0.9401422747053666,0.10137078303781782,1.1251805319102237,1.0723450722220276,0.021866479374152148,1.0070017809031797,1.0734180288621589,0.35213146092380376,1.0059412081091548,1.077337741578275,2.2660802766950807,1.0020590290862403,0.15845624111192458,1.0460411736408528
poisoning_only,0.9,0.0,2,3,0.5,True,6.0,4.5920802429683825,1.0523481879410002,1.0523481879410002,0.03689563801963905,1.0238459989107542,1.084156687876963,0.022018963322934466,0.9952537946573189,1.0841867133800205,0.3551070249637799,0.9952241877706937,1.0848672192172106,2.276978247745272,0.9945523758900064,0.13800720876878447,1.0047746604462555
poisoning_only,0.9,0.0,2,4,0.5,True,6.0,4.5887443357548205,1.1100913509998707,1.1100913509998707,0.007900264403418763,0.9686180607645367,1.0909734812518765,0.023353624030708505,0.9884604748077712,1.090510068225977,0.3572483858423383,0.9889267299455382,1.0913907961832217,2.2760914209937066,0.9880399938860207,0.1295007580921552,0.9820017551726155
poisoning_only,0.9,0.0,2,5,0.5,True,6.0,4.58821275738429,1.0637087667322191,1.0637087667322191,0.012351335974675647,1.0144575438754782,1.0858018091714057,0.022600266731432464,0.9936151507682768,1.0866752538300033,0.3561429277885102,0.9927542581779201,1.0868182289242463,2.275656488122281,0.9926129149941106,0.1303648434982061,1.0002756509405584
poisoning_only,0.9,0.0,2,6,0.5,True,6.0,4.594879888516512,1.0575991227664756,1.0575991227664756,0.022566502986603787,1.0187130375620976,1.0879317385278866,0.022767675963331513,0.991494632990798,1.087872754899969,0.3565864550857899,0.9915511973056401,1.0878193073617846,2.2785999454002823,0.991602294503893,0.13397354467857506,1.0005862892861785
poisoning_only,0.9,0.0,2,7,0.5,True,6.0,4.591373860954817,1.0481192732985314,1.0481192732985314,0.03462200203085287,1.0269797074007467,1.0874307697204795,0.023476366087223942,0.9920025632117984,1.086964333124997,0.35775240672386166,0.9924619606362483,1.0873667147787212,2.2781340839109663,0.9920657785882403,0.13861692494731281,1.003814743749598
poisoning_only,0.9,0.3,0,0,0.5,True,6.0,0.04760349486059338,1.0233813443678959,1.0233813443678959,0.07195643213577785,1.0350539760750748,1.0815357462066837,0.021807080546142832,0.997873189787006,1.0844245891219544,0.35475175812060256,0.9950056450434704,0.04150702689653499,0.03664734593585685,0.25914035101957994,0.14950509026750775,1.0093109369685171
poisoning_only,0.9,0.3,0,1,0.5,True,6.0,0.04585852783314645,0.9663605692955174,0.9663605692955174,0.15008523765277534,1.0721410690301683,1.0820516636074697,0.021899210901409404,0.9973502606667477,1.0834296894209576,0.35426328740109064,0.9959870859256825,0.038815374256952154,0.03451685785413215,0.24397500940980008,0.1754159119850918,1.0218261385408662
poisoning_only,0.9,0.3,0,2,0.5,True,6.0,0.05790318164847644,0.8405468764510526,0.8405468764510526,0.3913677070828394,1.146446907608697,1.0805346684267654,0.021751201658939498,0.9988817893121176,1.0768888361044453,0.35088688545084995,1.0024988621806985,0.034686482713913426,0.0315219284081725,0.1989983791311906,0.2546685980642096,1.0492758530338377
poisoning_only,0.9,0.3,0,3,0.5,True,6.0,0.04753543977867847,0.9757943815139225,0.9757943815139225,0.11110402016096427,1.0723772736823811,1.078586498549287,0.021627993702058528,1.0008061979851142,1.0739138428233317,0.3487553651799229,1.0054221529723568,0.04066673569045847,0.0361607110060212,0.24952751189568656,0.16049579301431524,1.0262018748799508
poisoning_only,0.9,0.3,0,4,0.5,True,6.0,0.05611660124199792,1.0222726642560842,1.0222726642560842,0.12272873206916518,1.0303450224513635,1.0728113137539699,0.025130795339763062,1.00629346963462,1.0729640619347593,0.36048346942693876,1.0061475835988805,0.051999327508497034,0.04931265453974715,0.2157316189812713,0.16944766561195568,1.0142620252282881
poisoning_only,0.9,0.3,0,5,0.5,True,6.0,0.04170545592944777,0.9537625440023384,0.9537625440023384,0.1328161473842619,1.0944292065222259,1.0767799552929618,0.02235191672834779,1.002622045761946,1.0808475622312192,0.355000246405806,0.9985772557838699,0.03891169066070129,0.04270443728244967,0.1950859464923345,0.17005610350613856,1.031876169356014
poisoning_only,0.9,0.3,0,6,0.5,True,6.0,0.08153653722321078,1.0365235946364342,1.0365235946364342,0.049905878647681305,1.0225458675992627,1.0858448363305255,0.023292142338488156,0.9935619489900609,1.085972548078565,0.3573034002093495,0.9934372103483715,0.06953394298801022,0.050755347974278386,0.2580943346181246,0.14350047373183963,1.0031816756458982
poisoning_only,0.9,0.3,0,7,0.5,True,6.0,0.03383009972849001,0.9763953855091867,0.9763953855091867,0.12155571468165623,1.0760630072408035,1.0810450796586846,0.022036049182991527,0.9983424490016883,1.0835146102544484,0.354062067842546,0.9959020607621267,0.02572157629831357,0.027711599146038775,0.28716875838797207,0.1658846105690646,1.0234358390015394
poisoning_only,0.9,0.3,1,0,0.5,True,6.0,0.03901809271169578,0.9603250075228302,0.9603250075228302,0.12136734077840813,1.0883843007503633,1.0811838186617693,0.021720767585042197,0.9982267223431394,1.0816326931480176,0.3529985758008948,0.9977815270146357,0.03429682943894213,0.03218287950607293,0.23445827125806398,0.1653622280547817,1.0281308500360462
