omega,seed_rep,observer,foreign_goal,matches_foreign_goal,modal_goal,final_entropy,engaged_fraction,cum_deep
0.0,0,123,0,1,0,1.3746199606232234,1.0,24
0.0,0,124,0,1,0,1.3685854327980795,1.0,24
0.0,0,125,0,0,3,1.3732054430646456,1.0,24
0.0,0,126,0,0,2,1.3729188903088478,1.0,24
0.0,0,127,0,0,3,1.3518298342975181,1.0,24
0.0,0,128,0,0,2,1.3817593728955704,1.0,24
0.0,0,129,0,0,3,1.3701017390903931,1.0,24
0.0,0,130,0,0,2,1.360388481756794,1.0,24
0.0,0,131,0,0,2,1.3696411558135262,1.0,24
0.0,0,132,0,1,0,1.3724007399706346,1.0,24
0.0,0,133,0,1,0,1.344571573731037,1.0,24
0.0,0,134,0,0,1,1.377020830465385,1.0,24
0.0,0,135,0,1,0,1.382453507947052,1.0,24
0.0,0,136,0,1,0,0.3571766193180505,1.0,24
0.0,0,137,0,0,2,1.3640485485469092,1.0,24
0.0,0,138,0,0,3,0.25401939548433616,0.21428571428571427,13
0.0,0,139,0,1,0,0.4240112446547114,1.0,24
0.0,0,140,0,1,0,1.3729540394769537,1.0,24
0.0,0,141,0,1,0,1.3655856981707617,1.0,24
0.0,0,142,0,0,1,1.3797376592525539,1.0,24
0.0,0,143,0,0,2,1.362078204033958,1.0,24
0.0,0,144,0,1,0,1.329643634331568,1.0,24
0.0,0,145,0,0,3,1.3792397839590262,1.0,24
0.0,0,146,0,1,0,1.3524167311716317,1.0,24
0.0,0,147,0,1,0,1.3661094078062526,1.0,24
0.0,0,148,0,0,3,1.370177098418362,1.0,24
0.0,0,149,0,1,0,1.370455210243604,1.0,24
0.0,0,150,0,1,0,0.4213693083959997,1.0,24
0.0,0,151,0,0,1,1.3723248817841016,1.0,24
0.0,0,152,0,0,3,1.3718464362853464,1.0,24
0.0,0,153,0,0,2,1.3765160354047103,1.0,24
0.0,0,154,0,0,3,1.3710512262128094,1.0,24
0.0,0,155,0,0,1,1.370794699711139,1.0,24
0.0,0,156,0,0,1,1.363718324572471,1.0,24
0.0,0,157,0,0,1,0.19948370006977292,0.14285714285714285,12
0.0,0,158,0,0,2,1.36959387772092,1.0,24
0.0,0,159,0,0,1,0.310474678904412,0.0,10
0.0,0,160,0,0,3,1.3777908459072126,1.0,24
0.0,0,161,0,1,0,0.0229703251958032,0.07142857142857142,11
0.0,0,162,0,1,0,1.3768066473102363,1.0,24
0.0,0,163,0,0,3,1.3764874576295825,1.0,24
0.0,0,164,0,0,2,1.3633180085572307,1.0,24
0.0,0,165,0,0,1,1.3486723371427827,1.0,24
0.0,0,166,0,0,1,1.3738181849139126,1.0,24
0.0,0,167,0,0,2,1.3684050916860906,1.0,24
0.0,0,168,0,0,2,1.3748855976470762,1.0,24
0.0,0,169,0,0,2,1.3759913082985016,1.0,24
0.0,0,170,0,0,1,1.3590695150566903,1.0,24
0.0,0,171,0,0,2,0.39068067887683605,1.0,24
0.0,0,172,0,1,0,1.3685302592220456,1.0,24
0.0,0,173,0,0,1,1.3702348867532015,1.0,24
0.0,0,174,0,1,0,1.3601265337554622,1.0,24
0.0,0,175,0,0,2,1.3617076429637314,1.0,24
0.0,0,176,0,0,1,1.3754361904550967,1.0,24
0.0,0,177,0,0,3,0.2729482010078394,0.2857142857142857,14
0.0,0,178,0,0,3,1.3686888247695175,1.0,24
0.0,0,179,0,0,2,1.3645897462297776,1.0,24
0.0,0,180,0,0,1,1.378014394887493,1.0,24
0.0,0,181,0,0,2,1.3362256757493356,1.0,24
0.0,0,182,0,1,0,1.3333592492551072,1.0,24
0.0,0,183,0,1,0,0.42009297994020967,1.0,24
0.0,0,184,0,0,2,1.3839394839713481,1.0,24
0.0,0,185,0,0,1,1.3668975374385754,1.0,24
0.0,0,186,0,0,1,1.380436101740139,1.0,24
0.0,0,187,0,0,1,0.40255210403480507,1.0,24
0.0,0,188,0,0,3,1.3732121055977693,1.0,24
0.0,0,189,0,0,3,1.3628106079025462,1.0,24
0.0,0,190,0,0,1,1.3675334774536045,1.0,24
0.0,0,191,0,0,2,1.375720787924942,1.0,24
0.0,0,192,0,0,3,1.3762178353816366,1.0,24
0.0,0,193,0,1,0,1.3457857172172112,1.0,24
0.0,0,194,0,0,3,1.3671453329739667,1.0,24
0.0,0,195,0,1,0,1.3799962869570417,1.0,24
0.0,0,196,0,0,1,1.3780558403416003,1.0,24
0.0,0,197,0,0,1,1.3693354231711008,1.0,24
0.0,0,198,0,0,2,0.3985180710962494,1.0,24
0.0,0,199,0,0,2,1.358665594769537,1.0,24
0.0,1,0,2,0,0,1.344943451274618,0.0,10
0.0,1,1,2,0,1,1.3564159004886789,0.0,10
0.0,1,2,2,0,3,1.3762672957508069,0.0,10
0.0,1,3,2,0,1,1.355497315066255,0.0,10
0.0,1,4,2,1,2,1.3797709875356028,0.0,10
0.0,1,5,2,0,3,1.353561304151505,0.0,10
0.0,1,6,2,0,1,1.367923428681042,0.0,10
0.0,1,7,2,0,3,1.3746689654555346,0.0,10
0.0,1,8,2,0,0,1.3716112903654722,0.0,10
0.0,1,9,2,0,3,1.3821924060974373,0.0,10
0.0,1,10,2,0,3,1.3724713447534485,0.0,10
0.0,1,11,2,0,3,1.3780222761904815,0.0,10
0.0,1,12,2,0,1,1.355339299144644,0.0,10
0.0,1,13,2,1,2,1.3653958924340932,0.0,10
0.0,1,14,2,0,1,1.3820138417341798,0.0,10
0.0,1,15,2,0,1,1.3690135386361337,0.0,10
0.0,1,16,2,1,2,1.3751268279443203,0.0,10
0.0,1,17,2,0,3,1.3674530143183887,0.0,10
0.0,1,18,2,0,3,1.3512545561298073,0.0,10
0.0,1,19,2,0,1,1.3725427165460298,0.0,10
0.0,1,20,2,1,2,1.3619662797392302,0.0,10
0.0,1,21,2,0,3,1.3306925654457233,0.0,10
0.0,1,22,2,0,1,1.3698743333225512,0.0,10
0.0,1,23,2,0,3,1.288603013197209,0.0,10
0.0,1,24,2,1,2,1.3684626424467643,0.0,10
0.0,1,25,2,0,1,1.3735358513607743,0.0,10
