true_beta,true_mu,seed_rep,observer,true_goal,recovered_mu,mu_posterior_entropy,goal_correct,goal_entropy,subgoal_entropy,realised_blocks
1.0,1,1,18,3,1.3180359752275645,0.6900301238646798,1,3.912720109289311e-15,1.3773829536611957,3
1.0,1,1,19,3,1.3083294344172147,0.6354577444945297,1,3.458778846837665e-14,1.375683802816766,3
1.0,1,1,20,3,1.5670152407562739,0.9311998240329937,1,3.5473825396631607e-15,1.368304923928373,3
1.0,1,1,21,3,1.3127824516274136,0.6787014775903887,1,3.235166972930563e-15,1.3738463959849923,3
1.0,1,1,22,3,1.508873213883696,0.9011781884540488,1,3.088709244688568e-15,1.3620206699479644,3
1.0,1,1,23,3,1.6895691133023374,1.0170158368716697,1,4.312453020973286e-15,1.3619988524038873,3
1.0,1,1,24,3,1.9363586361465446,1.0942899110664022,1,1.0028386768153224e-14,1.3077631845150206,3
1.0,1,1,25,3,1.732168592197042,1.0415337823709625,1,4.199581849017532e-15,1.3611384895642165,3
1.0,1,1,26,3,1.0197234955845336,0.08576795410464538,1,3.667197169012141e-15,1.3862556187174815,3
1.0,1,1,27,3,2.1982330032524713,1.0560610697245794,1,5.410560351425139e-15,1.2638475543390455,3
1.0,1,1,28,3,1.0471559232537542,0.15743026515471567,1,3.2643364403485688e-15,1.3862018837321213,3
1.0,1,1,29,3,1.9839958498677532,1.0739125935424536,1,3.660748549580193e-15,1.225551779270005,3
1.0,1,1,30,3,2.2966489333045286,1.0240327849666542,1,2.4078669173442114e-15,1.2272750765497018,3
1.0,1,1,31,3,1.3468412210694038,0.714757837449462,1,1.983191810741951e-12,1.3569453312750075,3
1.0,1,1,32,3,1.8330234973191681,1.0748211932722649,1,5.021795238676329e-15,1.3347274537509795,3
1.0,1,1,33,3,1.6355682976740338,0.9896988044228463,1,3.107762116758898e-15,1.3314933663096025,3
1.0,1,1,34,3,1.1366187742391674,0.39637471196317187,1,1.5629050492231417e-12,1.3798690389956887,3
1.0,1,1,35,3,1.8772336067344184,1.0870003077034671,1,3.6776950093964085e-15,1.3534654179763417,3
1.0,1,1,36,3,1.734479673992463,1.032241440243328,1,3.8211715636285734e-15,1.3517871514060213,3
1.0,1,1,37,3,1.0216173642303914,0.09416166304102713,1,1.5456163860770857e-12,1.3861216526008904,3
