content,label,theta,seed_rep,observer,source_goal,recovered_mu,recovered_mu_final,final_entropy,prior_drift,prior_mass_on_source_goal,value_divergence,theta_value,correct,confident,confidently_wrong
foreign,sig_creator,closed,9,35,3,2.0977292465816073,1.999999999812548,0.29758551949212336,1.5246405003333885e-10,0.3261762100309259,3.041359111873323,6.497253032267872e-06,1,1,0
foreign,sig_creator,closed,9,36,3,2.0056911137011832,1.9999997595285175,0.2975858967590869,2.004732809353485e-10,0.2737346601852977,3.0392668309812283,6.527565444936445e-06,0,1,0
foreign,sig_creator,closed,9,37,3,2.131993484385233,1.9999997774729725,0.29758431911220545,1.3641050508061167e-09,0.1958707443858404,2.835123846984094,1.4048074446801512e-05,0,1,0
foreign,sig_creator,closed,9,38,3,2.1049754393695532,1.9999997701378414,1.3862943611171237,2.0557794209122987e-06,0.19672852635301116,2.5118628477429534,0.004497364929972753,0,0,0
foreign,sig_creator,closed,9,39,3,2.1146425511760483,1.9871425642309044,0.0003913263213197211,3.1898399387347615e-10,0.2065524815318807,3.0240354453486518,6.78739187126331e-06,0,1,0
foreign,sig_creator,closed,9,40,3,2.1007344511641777,2.0996902484248725,0.0008575032178861128,1.0023763600768942e-09,0.18733597825007592,2.924845315614533,1.1706773096214466e-05,0,1,0
foreign,sig_creator,closed,9,41,3,2.0898321341255772,1.9235718285031715,1.4087725903951985e-05,1.6151818359859697e-10,0.29294121787703853,3.0356217771142586,6.096125155635492e-06,1,1,0
foreign,sig_creator,closed,9,42,3,2.0790225925487507,2.0,0.297585517733314,4.552417379244183e-09,0.22665561636238957,2.640066782059896,5.0535848657939506e-05,0,1,0
foreign,sig_creator,closed,9,43,3,2.123797367301134,2.045917966701034,0.01787215719583657,9.683148834802198e-07,0.2773021842614012,2.5626482027343958,0.004495224376631948,1,1,0
foreign,sig_creator,closed,9,44,3,2.030401840556998,1.999647046457901,0.09947707182833287,6.683572212383762e-10,0.2196709864105684,2.9198645778194257,1.0468388524248405e-05,0,1,0
foreign,sig_creator,closed,9,45,3,1.9013107308805588,2.0031184384590985,0.7871509025178147,1.980309054417398e-09,0.22691286589857187,2.8425393671067276,2.8606843439075726e-05,0,0,0
foreign,sig_creator,closed,9,46,3,2.101801816264562,2.0,0.2975855177331995,4.496576468139004e-10,0.22167030102803514,2.8610626929441514,1.2479684445751615e-05,0,1,1
foreign,sig_creator,closed,9,47,3,2.085409046217503,1.9770144574164858,0.0004262135903702444,5.258383670746008e-11,0.3158312006067655,3.1326121238663975,3.6154780839222797e-06,1,1,0
foreign,sig_creator,closed,9,48,3,2.1060094423014433,1.9954663406344348,0.011264686553814868,4.95617214379718e-10,0.23932560560360042,2.8300166886423344,1.4836019132644211e-05,0,1,0
foreign,sig_creator,closed,9,49,3,2.177669429657104,2.2351192603247854,0.009196364740012425,1.9321416590555333e-10,0.265628026372342,2.9368216223823973,9.602298197013183e-06,0,1,0
foreign,sig_creator,closed,9,50,3,2.107483188790381,2.2383005206135644,0.012042474540436336,7.567320882957918e-11,0.24901287585211246,3.1312295160176333,3.636457163270087e-06,0,1,0
foreign,sig_creator,closed,9,51,3,2.0880315089873758,1.9999741965138529,0.2978051948561238,1.980164560306982e-10,0.2932307457260627,3.023447784559517,6.817548448288318e-06,1,1,0
foreign,sig_creator,closed,9,52,3,2.1181106675094896,2.1185245668279937,0.7516567641784502,5.60725069355672e-05,0.2826877722225546,2.0561671066254883,0.009661809248683251,0,0,0
foreign,sig_creator,closed,9,53,3,2.0602960213565797,1.7596870559303324,6.569952351363138e-06,3.066294334513577e-10,0.19568502990102582,3.0457402227525985,6.432486332802304e-06,0,1,0
foreign,sig_creator,closed,9,54,3,1.947525508071055,1.651760610796132,0.003154524030996894,1.81657236860581e-06,0.23947901275200298,2.566317776007517,0.004495151278651264,0,1,0
foreign,sig_creator,closed,9,55,3,1.9613545160749868,2.1075359907160074,0.14834595068420353,1.3205556802785593e-06,0.19220622310057053,2.3608075040786716,0.00450272455650252,0,1,0
foreign,sig_creator,closed,9,56,3,2.078583026624119,1.895940288674411,0.00030341222387273467,3.7616869752144465e-11,0.26033789664583495,2.5895471623411574,0.005278863561912007,0,1,0
foreign,sig_creator,closed,9,57,3,2.1502462000122886,2.012609882465234,0.7781203829760049,9.965079279853722e-10,0.28343357519113005,2.9051212755737117,2.5079821088937183e-05,1,0,0
foreign,sig_creator,closed,9,58,3,2.0008840312678213,1.9999997864240964,0.29758431356810017,6.09374959731484e-10,0.20260395017291405,2.9482065055127182,9.407512331624892e-06,0,1,0
foreign,sig_creator,closed,9,59,3,2.061528917294255,1.9999996841433836,0.2975882275598063,6.353011903593113e-11,0.2870033028470985,3.038061261978209,6.5457911605380796e-06,1,1,1
foreign,sig_creator,closed,10,0,1,2.076595167050603,1.7419418293058795,0.0002365997526051958,3.3029781647996164e-10,0.19106611671312596,3.036542468143127,6.57233400648313e-06,0,1,0
foreign,sig_creator,closed,10,1,1,1.9174184572619957,2.14967732816734,0.0007905861872038442,1.4239406669458224e-10,0.2699193708285337,3.063349297570739,5.496799377887159e-06,0,1,0
foreign,sig_creator,closed,10,2,1,2.11893454820045,1.93467702833615,0.017237471035473774,8.363248982277301e-11,0.24907088470562438,3.1188690523774683,3.821735987645648e-06,0,1,0
foreign,sig_creator,closed,10,3,1,2.0195207986785197,1.9999997954771578,0.29758588473476316,1.295475517813358e-10,0.28948989139152903,2.52924938577961,0.0034252838630214415,1,1,0
foreign,sig_creator,closed,10,4,1,2.0957771654834367,1.8991075422570707,0.023591377666920498,3.95088023588173e-10,0.28113637233768674,2.9434369927587603,9.480460619898454e-06,1,1,0
foreign,sig_creator,closed,10,5,1,2.0707372603219976,1.932279201746915,0.16733018552949752,3.18194703825219e-07,0.28980629673357394,2.40125876765468,0.004500111397115115,1,1,0
foreign,sig_creator,closed,10,6,1,2.1445530079467363,2.1610628649649772,0.00019391437295562748,9.900244444431558e-11,0.3346061152305901,3.0671087844914915,5.2476793405757535e-06,1,1,0
foreign,sig_creator,closed,10,7,1,2.08405979719065,1.9999997701378402,1.3862943611171237,9.54221100117935e-07,0.23208381738915224,2.508425422475624,0.004497415471560649,0,0,0
foreign,sig_creator,closed,10,8,1,2.1209884153192284,1.9999997701378398,1.3862943611171235,1.249558910444606e-06,0.3218533444302611,2.4173436526566197,0.004500294976654827,1,0,0
foreign,sig_creator,closed,10,9,1,2.0849941633517695,1.9114056845600231,5.760596588405972e-05,1.0597309546519704e-05,0.22326991610112967,1.9602672039601443,0.008989539953729808,0,1,0
foreign,sig_creator,closed,10,10,1,2.030111146588971,1.7211304786880175,0.0003586545338505002,1.144841951824694e-10,0.2592502998362573,3.029105775554585,7.337426080144229e-06,0,1,0
foreign,sig_creator,closed,10,11,1,1.9986387407485697,1.7494181980399977,0.00014838405053140097,2.83813849264311e-10,0.216690016401091,3.0343215491204893,6.609724538158255e-06,0,1,0
foreign,sig_creator,closed,10,12,1,2.024550968769862,1.874694967043509,7.776362709044514e-05,2.7340450307732704e-10,0.21748798165794966,3.0408810872748657,6.504766308287968e-06,0,1,0
foreign,sig_creator,closed,10,13,1,2.0895922750708356,2.102445037386082,0.02406891226938077,1.9628483511951664e-10,0.3206314437113471,3.0017957935213095,7.261139343247513e-06,1,1,0
foreign,sig_creator,closed,10,14,1,2.1127428935748784,1.9888245817693073,0.0015841296454586543,6.646592819523536e-11,0.26683246383816794,3.134961544194235,3.5810808184950687e-06,0,1,0
foreign,sig_creator,closed,10,15,1,2.092916794611858,1.999999894660529,0.2975842877323619,3.2591621837294087e-10,0.313213154314511,2.9523958838940674,9.344309053999683e-06,1,1,0
foreign,sig_creator,closed,10,16,1,2.115319000039727,1.8423124287408825,1.076992492746774e-05,2.876536233936118e-10,0.20934243955832588,3.040740555729761,6.506756966105732e-06,0,1,0
foreign,sig_creator,closed,10,17,1,2.051141104235417,1.907941354891912,0.021885661448158705,1.775583052932543e-10,0.2717700414610491,3.041961057359865,6.069051934037211e-06,0,1,0
foreign,sig_creator,closed,10,18,1,2.0995500664274873,1.9999998265014316,0.29758583542662864,5.442172965310158e-10,0.294807621554782,2.874163029818008,1.1576926854527537e-05,0,1,0
foreign,sig_creator,closed,10,19,1,2.107142742211734,1.9999997701378398,1.3862943611171235,3.3271896369065426e-05,0.19426146713620565,1.4243403000165868,0.0134806627876668,0,0,0
foreign,sig_creator,closed,10,20,1,2.065596978985762,1.9999997910101583,0.2975858912883036,3.1678181618190475e-10,0.338316933684397,2.945923533673684,9.74802518761215e-06,1,1,0
foreign,sig_creator,closed,10,21,1,2.1721492040969226,2.0743031660404503,0.003331984244575256,1.2672497287638385e-10,0.20463562776551797,3.1048475804214855,4.126584099694879e-06,0,1,0
foreign,sig_creator,closed,10,22,1,2.1540955883415935,2.083265690411523,0.019696076062287793,2.843942693790867e-10,0.21530981311548253,3.0353008151290197,6.588203102693423e-06,0,1,0
foreign,sig_creator,closed,10,23,1,1.9836589351740888,1.6341208005935313,0.26425010970752405,1.2029989413671723e-10,0.30218959115064137,3.056359334992159,5.457575382146673e-06,1,1,0
foreign,sig_creator,closed,10,24,1,2.201941779523017,2.332038739821615,0.6811228156097818,0.0012198951760437147,0.22959556904132555,1.8995002618523733,0.020771209565956718,0,0,0
foreign,sig_creator,closed,10,25,1,2.0237179400300596,1.9022428922290744,0.0013107943848156445,5.489074142570211e-10,0.21531047108761714,2.955775886723338,9.294530146959655e-06,0,1,0
foreign,sig_creator,closed,10,26,1,2.091344150663521,2.15260521402511,0.000820745074678213,1.0856958618146023e-06,0.3084443401721665,2.5912291168539117,0.0044947373448852275,1,1,0
foreign,sig_creator,closed,10,27,1,1.94366245474438,2.102444789451293,0.024068949891963478,1.1091974663298467e-10,0.27801841294726426,3.069815776190981,4.824832192227834e-06,1,1,0
foreign,sig_creator,closed,10,28,1,2.086952784695129,1.9999996907349369,0.29758590248480277,1.7869053220689928e-10,0.23556876448711492,2.560355871435388,0.0019461184073353427,0,1,0
foreign,sig_creator,closed,10,29,1,2.0291637451785793,1.83282002875685,0.0016257056111879831,2.2805175830520726e-10,0.2485275823200065,3.040993198413325,6.5026030709539545e-06,0,1,0
foreign,sig_creator,closed,10,30,1,2.069123976717058,2.011540767269853,6.269273196311138e-06,8.048274578228943e-06,0.2865827489542694,2.649724525817739,0.0019475661611155506,1,1,0
foreign,sig_creator,closed,10,31,1,2.0832912129069294,2.148488697526148,0.0008018326322303002,5.361626087430223e-10,0.20759492834677895,2.972863750380355,8.987975966682662e-06,0,1,0
foreign,sig_creator,closed,10,32,1,2.095471702885592,1.999968920543747,0.29785567144786185,1.5777991202818034e-10,0.26230195726029515,2.4715387797963984,0.007316813645744565,0,1,0
foreign,sig_creator,closed,10,33,1,2.016083316595756,1.9397778704939697,0.016454018293038414,6.428243708661345e-11,0.2806499671148281,3.1301342481969945,3.6525879601906116e-06,1,1,0
foreign,sig_creator,closed,10,34,1,2.1503413115069288,1.9872407049943495,0.7576981599659487,0.0008427009059184618,0.3724591552214278,2.320529814277524,0.0189564513207713,1,0,0
foreign,sig_creator,closed,10,35,1,2.018560166721432,1.8627939552329893,0.0009933628418305038,6.247522383047202e-10,0.18769807085888246,3.0061356904634735,9.207411061705504e-06,0,1,0
foreign,sig_creator,closed,10,36,1,2.1342814894860846,2.1880936694574755,0.001266674911780536,4.5085366344846026e-10,0.2056461727871902,3.0221434870733423,8.12902558290631e-06,0,1,0
foreign,sig_creator,closed,10,37,1,1.9515298449063396,1.8489164850894957,0.0014167771193115176,1.1530858433848304e-09,0.2076222916070013,2.841468003423837,1.3857210300594233e-05,0,1,0
foreign,sig_creator,closed,10,38,1,1.7796631477537483,1.7543572548875295,0.7907246106196268,1.4814369550558053e-09,0.1934171493467709,2.9303792099707433,2.6017630496316704e-05,0,0,0
foreign,sig_creator,closed,10,39,1,2.056240222401765,2.063599195500428,0.015824869810888768,9.952766861677176e-11,0.21114228837904206,3.1250867376358586,3.727471739946974e-06,0,1,0
foreign,sig_creator,closed,10,40,1,2.1833905577611916,2.1978662951269414,0.0907737407083121,2.2529890784619326e-10,0.1858429757119812,3.0525198526633703,5.2817797854033095e-06,0,1,0
foreign,sig_creator,closed,10,41,1,2.0211724169246295,2.0955587753858387,0.02244355939185037,8.41755359236681e-09,0.2087481115494062,2.8496460397703585,8.094747036898502e-05,0,1,0
foreign,sig_creator,closed,10,42,1,1.9351805902562267,1.8119261923859333,1.0818490529705969,4.912101908170416e-09,0.3391505920987049,2.359515994191286,0.0022763354305263923,1,0,0
foreign,sig_creator,closed,10,43,1,2.0622445598989882,1.7825199723882674,0.7886643894373574,2.039236999280944e-09,0.19808319903290908,2.8202275670278665,2.992135833422449e-05,0,0,0
foreign,sig_creator,closed,10,44,1,2.0853624319332207,1.9999999999982547,0.2975855177498722,7.254844320407096e-07,0.2854985664941372,2.500373795709642,0.0044976099869455,1,1,0
foreign,sig_creator,closed,10,45,1,2.0198087909717,1.83432491754395,0.0014354897901355083,3.05581771926157e-10,0.19715997297923987,3.044388302006266,6.451894467864101e-06,0,1,0
foreign,sig_creator,closed,10,46,1,2.040139614914035,1.9164535992498752,6.447910920945278e-05,8.8669301233383e-11,0.21715475743529628,3.134663355132919,3.5853655382328482e-06,0,1,0
foreign,sig_creator,closed,10,47,1,2.148935659851273,2.0955591379725504,0.022443528126815233,3.6673421482900305e-11,0.2969426898264781,2.574153828467908,0.005297857333518757,1,1,0
foreign,sig_creator,closed,10,48,1,2.016328522618633,1.999999803458186,0.2975858712313473,2.615722294516584e-10,0.23312251095392517,3.030666874365027,6.661744771023548e-06,0,1,0
foreign,sig_creator,closed,10,49,1,2.134142043394601,2.2602443405416817,5.587198162356454e-05,3.436530118073e-10,0.19116663148251684,3.0289604687862766,6.705368510978636e-06,0,1,0
foreign,sig_creator,closed,10,50,1,2.0723257457205038,1.8922673864223543,0.0002111788881703256,1.7568003628889485e-10,0.29654754058134,3.042344328796441,6.482200928413241e-06,0,1,0
