arm,synth_seed,favoured_k,synth_lean,synth_k_realized,synth_entropy,kappa,signing_rate,contamination,seed_rep,kl_recovered,kl_naive,bound,naive_kl,naive_regret,naive_regret_norm,naive_argmax_preserved,naive_sycophancy,naive_entropy_recovered,weighted_kl,weighted_regret,weighted_regret_norm,weighted_argmax_preserved,weighted_sycophancy,weighted_entropy_recovered
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.2,0,0.0008515158271691203,0.007321224130955779,0.06879132651946872,0.007321224130955779,1.6313191612781774,0.05437730537593924,1,,1.3250840997912925,0.0008515158271691203,1.3628027875048687,0.04542675958349562,1,,1.2921378092086477
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.2,0,0.00046775632094963986,0.027550122730376755,0.12763007985929342,0.027550122730376755,2.5429077851177375,0.0847635928372579,1,,1.3446332741687634,0.00046775632094963986,1.4113077304631405,0.04704359101543801,1,,1.2905271004579841
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.2,0,0.0010638687284700108,0.009915417856420763,0.029320512888574714,0.009915417856420763,1.8947948991214936,0.06315982997071644,1,,1.3245521371434872,0.0010638687284700108,1.3723827554493306,0.045746091848311014,1,,1.2970437158629182
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.2,1,0.0010999979009071919,0.0030279287112394936,0.029320512888574714,0.0030279287112394936,0.3821653905218325,0.012738846350727749,1,,1.2843827631149425,0.0010999979009071919,0.7309134473877765,0.02436378157959255,1,,1.260985286541708
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.2,1,0.0034034546577005917,0.019487267759827995,0.04355620225286259,0.019487267759827995,7.117942729977361,0.237264757665912,0,,1.2537143330865537,0.0034034546577005917,0.2421826557642448,0.008072755192141493,1,,1.259773336405675
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.2,1,0.0028928036874316795,0.0035127548903301324,0.06879132651946872,0.0035127548903301324,0.9369363165008193,0.031231210550027307,1,,1.3091949384886694,0.0028928036874316795,0.5537553572849019,0.01845851190949673,1,,1.251192953253272
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.2,1,0.0018206541800441442,0.04030125759036991,0.12763007985929342,0.04030125759036991,1.6332640086301364,0.05444213362100454,1,,1.3394060808121584,0.0018206541800441442,0.5935410323530566,0.019784701078435215,1,,1.2563679957956095
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.2,1,0.001122796427352156,0.006134073905070904,0.029320512888574714,0.006134073905070904,1.3374403757442699,0.04458134585814232,1,,1.3104253104692005,0.001122796427352156,0.643733754845538,0.021457791828184594,1,,1.2661119869935438
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.2,2,0.0012779208664887992,0.004696773695338909,0.029320512888574714,0.004696773695338909,1.41904458949903,0.04730148631663433,1,,1.3169700284150627,0.0012779208664887992,1.5277710117691468,0.05092570039230489,1,,1.2989588389393678
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.2,2,0.014233394196235611,0.010874629251652489,0.04355620225286259,0.010874629251652489,6.15696813665279,0.20523227122175966,0,,1.299581046670468,0.014233394196235611,0.1831102756262859,0.006103675854209529,1,,1.2895861890985463
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.2,2,0.00023970839333121823,0.007139540506065689,0.06879132651946872,0.007139540506065689,1.9228427372575574,0.06409475790858524,1,,1.3236886296444053,0.00023970839333121823,0.990417378318531,0.033013912610617695,1,,1.2877192846229113
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.2,2,0.00025099231865248874,0.020317792057318207,0.12763007985929342,0.020317792057318207,2.8129554534029544,0.09376518178009846,1,,1.3415382055356304,0.00025099231865248874,1.0563163188099578,0.03521054396033192,1,,1.2862362579790172
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.2,2,0.000686165642431083,0.009098283891481873,0.029320512888574714,0.009098283891481873,2.3109707699276836,0.07703235899758945,1,,1.3277967377774882,0.000686165642431083,1.0841259032601969,0.036137530108673224,1,,1.2944611149775023
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.4,0,0.0008496935669247681,0.009327114389396714,0.1169050981581141,0.009327114389396714,0.4174431031711501,0.013914770105705,1,,1.3127377120521921,0.0008496935669247681,1.8455610754633034,0.06151870251544344,1,,1.2816201920619708
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.4,0,0.0038357618014067604,0.0453437001148049,0.1678157027674238,0.0453437001148049,9.637253197620222,0.3212417732540073,0,,1.2745898820901764,0.0038357618014067604,0.2935423960178263,0.009784746533927541,1,,1.2860532706776682
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.4,0,0.000896011765115114,0.018189163753266825,0.2516696520021913,0.018189163753266825,2.209786548570208,0.07365955161900693,1,,1.344992672101339,0.000896011765115114,1.469673974411423,0.048989132480380754,1,,1.2742322964875796
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.4,0,0.0006668475807670056,0.08818745393352727,0.4261400627676878,0.08818745393352727,6.705191921965826,0.2235063973988608,1,,1.3611137303106227,0.0006668475807670056,1.5595254711940676,0.05198418237313558,1,,1.2778837752859848
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.4,0,0.0009863702217135749,0.03229114248392069,0.1169050981581141,0.03229114248392069,2.80295560884255,0.09343185362808498,1,,1.3484091170861954,0.0009863702217135749,1.5198945440535017,0.050663151468450046,1,,1.2894001177686536
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.4,1,0.00018769245100018917,0.010906226358150105,0.1169050981581141,0.010906226358150105,0.2870851013566156,0.009569503378553851,1,,1.308474718010277,0.00018769245100018917,0.9058682184223954,0.03019560728074651,1,,1.273379721798386
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.4,1,0.0024104695841943745,0.08741543969540896,0.1678157027674238,0.08741543969540896,9.93547797908464,0.33118259930282123,0,,1.1998328021071967,0.0024104695841943745,2.044660073171989,0.06815533577239961,1,,1.2692719749944938
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.4,1,0.001463699806845339,0.024258932923799874,0.2516696520021913,0.024258932923799874,2.889086549656239,0.09630288498854128,1,,1.3474177384409285,0.001463699806845339,0.6821755485800274,0.022739184952667576,1,,1.2632542286342603
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.4,1,0.0006584158185656145,0.14447766900175632,0.4261400627676878,0.14447766900175632,14.218551191182483,0.47395170637274936,0,,1.356024258180446,0.0006584158185656145,0.8217806111090631,0.027392687036968764,1,,1.2747440995479804
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.4,1,0.0014259503272986002,0.027985812757734638,0.1169050981581141,0.027985812757734638,3.4760239611297203,0.11586746537099067,1,,1.348030223455824,0.0014259503272986002,1.0195460440506454,0.03398486813502151,1,,1.2927714166088005
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.4,2,0.0003693606123001351,0.009925986911552408,0.1169050981581141,0.009925986911552408,1.4533476485034946,0.04844492161678315,1,,1.3297325454137687,0.0003693606123001351,1.3601818893463402,0.04533939631154467,1,,1.288993236036209
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.4,2,0.0030251949857515257,0.053710323923657884,0.1678157027674238,0.053710323923657884,9.780564326142565,0.3260188108714188,0,,1.2558730951738875,0.0030251949857515257,0.32686066815821313,0.01089535560527377,1,,1.2855524670825216
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.4,2,0.0004351706774753895,0.018391924553206228,0.2516696520021913,0.018391924553206228,3.3548510179413125,0.1118283672647104,1,,1.3446784395301479,0.0004351706774753895,0.8706036519630866,0.029020121732102885,1,,1.2761216110941198
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.4,2,7.113403939883623e-05,0.06485133636234028,0.4261400627676878,0.06485133636234028,6.372455424440698,0.2124151808146899,0,,1.359693370322378,7.113403939883623e-05,0.9740353642398281,0.03246784547466093,1,,1.2755893753912835
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.4,2,0.0004445253375714546,0.02581969419540591,0.1169050981581141,0.02581969419540591,4.472066614763054,0.14906888715876845,1,,1.3478118766469767,0.0004445253375714546,1.1092779008561204,0.03697593002853734,1,,1.2896784269736312
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.6,0,0.001576460989724469,0.019654590145205583,0.2678991778381227,0.019654590145205583,0.2611469444130543,0.008704898147101809,1,0.415,1.3213523402783989,0.001576460989724469,2.2076171383082768,0.0735872379436092,1,0.665,1.2815040566294562
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.6,0,0.0009030377843782331,0.10104335665197554,0.37377608596644457,0.10104335665197554,9.979232721903475,0.3326410907301158,0,0.205,1.231359910871238,0.0009030377843782331,1.4923563434205311,0.04974521144735103,1,0.415,1.289403357157954
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.6,0,0.0018542140256753107,0.03672501769985516,0.5389542592987089,0.03672501769985516,3.555806711611992,0.11852689038706637,1,1.0,1.3625679855079893,0.0018542140256753107,1.8673468327094933,0.06224489442364977,1,0.415,1.2739833883097886
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.6,0,0.001855437916199024,0.16671356387145747,0.8581660503517049,0.16671356387145747,18.610905428931453,0.620363514297715,0,0.75,1.3550190439910896,0.001855437916199024,2.095881644129838,0.06986272147099458,1,0.415,1.2806683933180607
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.6,0,0.0037241035265872975,0.0653828293860736,0.2678991778381227,0.0653828293860736,4.893382753975073,0.16311275846583573,1,1.0,1.36456785408805,0.0037241035265872975,2.013997614465918,0.06713325381553058,1,0.665,1.302360667451797
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.6,1,7.410136034534365e-05,0.022653463644060227,0.2678991778381227,0.022653463644060227,0.24528540822764122,0.008176180274254706,1,0.68,1.3241805556633568,7.410136034534365e-05,1.167370564916087,0.03891235216386956,1,0.68,1.2798289534550675
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.6,1,0.032348607874997715,0.19755809378974384,0.37377608596644457,0.19755809378974384,9.999076451907973,0.3333025483969324,0,0.205,1.097597309812459,0.032348607874997715,8.78957624158972,0.29298587471965726,0,0.395,1.2389921394202086
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.6,1,0.0006462122034762605,0.05965192804656255,0.5389542592987089,0.05965192804656255,10.027875227716198,0.3342625075905399,1,1.0,1.3654916296287996,0.0006462122034762605,0.8823838314782562,0.029412794382608534,1,0.395,1.2693977566195198
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.6,1,0.0011677645908073665,0.286908318767085,0.8581660503517049,0.286908318767085,28.626442842125726,0.9542147614041907,0,0.715,1.324195203920349,0.0011677645908073665,1.243984555233324,0.04146615184111079,1,0.395,1.2905890718723774
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.6,1,0.00764064674115008,0.07131728736958493,0.2678991778381227,0.07131728736958493,7.092679601711166,0.23642265339037216,0,1.0,1.3705856716888647,0.00764064674115008,1.7715415603214046,0.05905138534404681,1,0.68,1.3206379128845593
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.6,2,0.0016240507968257115,0.020923432714358356,0.2678991778381227,0.020923432714358356,2.1298003818066014,0.07099334606022004,1,0.715,1.3478952857172326,0.0016240507968257115,2.2794796025290607,0.07598265341763535,1,0.715,1.2935211644679763
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.6,2,0.0025230498698256085,0.13680847879597083,0.37377608596644457,0.13680847879597083,9.995617129943934,0.33318723766479774,0,0.265,1.1827465492678457,0.0025230498698256085,2.803047681382548,0.09343492271275158,1,0.715,1.2849330242207877
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.6,2,0.00035258626644458103,0.04161956281810375,0.5389542592987089,0.04161956281810375,7.335798975338798,0.24452663251129322,1,1.0,1.3633970997423503,0.00035258626644458103,1.3922697912820914,0.04640899304273637,1,0.445,1.2805335493847165
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.6,2,0.0005318531862751382,0.13578891207587165,0.8581660503517049,0.13578891207587165,12.859893083963458,0.4286631027987819,0,1.0,1.3606347281440816,0.0005318531862751382,1.6493862748863386,0.05497954249621128,1,0.715,1.2819253241769397
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.6,2,0.002569619479934084,0.05718721614733016,0.2678991778381227,0.05718721614733016,8.05757158804844,0.26858571960161465,0,1.0,1.3635187175997507,0.002569619479934084,2.203662044829291,0.0734554014943097,1,0.715,1.3031836249734081
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.8,0,0.0010761518519881788,0.03631483935693332,0.5007099276256659,0.03631483935693332,0.17711452951962303,0.0059038176506541005,1,0.415,1.3261102788529853,0.0010761518519881788,1.832189777340315,0.06107299257801049,1,0.665,1.293909143178348
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.8,0,0.03335514547659937,0.18476343050053615,0.6803876188043223,0.18476343050053615,9.999558467454339,0.33331861558181125,0,0.205,1.158659397106502,0.03335514547659937,9.153317339542289,0.3051105779847429,0,0.415,1.258748472609331
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.8,0,0.0006056281807611686,0.06473370017316639,0.9479609352487752,0.06473370017316639,6.6514025088167505,0.22171341696055832,1,1.0,1.373086401113674,0.0006056281807611686,1.5940481607298496,0.053134938690994976,1,0.665,1.286925669229185
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.8,0,0.0029986664117466547,0.26758917153454914,1.435691182254632,0.26758917153454914,27.72280723959859,0.9240935746532862,0,0.75,1.3320119607421084,0.0029986664117466547,2.2500366432514185,0.07500122144171394,1,0.665,1.302959587811566
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.8,0,0.013881056820690275,0.10326465726190606,0.5007099276256659,0.10326465726190606,9.257866158320649,0.3085955386106883,1,1.0,1.3725339996161645,0.013881056820690275,2.0750352710117825,0.0691678423670594,1,0.665,1.334103402486871
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.8,1,0.0020985574809566487,0.037642630503974955,0.5007099276256659,0.037642630503974955,0.24659388002953864,0.00821979600098462,1,0.68,1.3326919543153255,0.0020985574809566487,1.3686453293866863,0.045621510979556204,1,0.68,1.2900821369554685
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.8,1,0.15632832251580103,0.34604476176812665,0.6803876188043223,0.34604476176812665,10.000000753025539,0.3333333584341846,0,0.205,0.9551586303713384,0.15632832251580103,9.993809138727428,0.3331269712909142,0,0.205,1.111183656902147
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.8,1,0.00024598598304506744,0.10251625924160629,0.9479609352487752,0.10251625924160629,17.10796312313161,0.5702654374377203,0,1.0,1.3677856194751503,0.00024598598304506744,1.0334505816387285,0.034448352721290945,1,0.68,1.2806672706196098
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.8,1,0.008676047577269183,0.45669854447427044,1.435691182254632,0.45669854447427044,29.838129526534473,0.994604317551149,0,0.525,1.2561806522880996,0.008676047577269183,2.2539121137742537,0.07513040379247511,1,0.68,1.3233936939598265
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.8,1,0.031923580648597655,0.12341977667267062,0.5007099276256659,0.12341977667267062,13.707565893679408,0.45691886312264685,0,1.0,1.3782912229536262,0.031923580648597655,3.795709222000271,0.12652364073334235,1,1.0,1.357565552925521
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.0,0.8,2,0.007620302153673576,0.038167998620745366,0.5007099276256659,0.038167998620745366,2.7335774942039146,0.09111924980679714,1,1.0,1.363685990564976,0.007620302153673576,4.085270332585134,0.13617567775283776,1,0.715,1.3152688635032646
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.0,0.8,2,0.05656895093651756,0.26001373111128,0.6803876188043223,0.26001373111128,10.000023076195557,0.33333410253985185,0,0.265,1.0712686125320194,0.05656895093651756,9.814246764490486,0.3271415588163495,0,0.445,1.243103783632003
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.0,0.8,2,0.0034555665322871364,0.0796036018695423,0.9479609352487752,0.0796036018695423,13.256463309402761,0.4418821103134253,0,1.0,1.3743467447807496,0.0034555665322871364,2.8174469045181114,0.09391489681727037,1,0.715,1.3047734658160561
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.0,0.8,2,0.005991044096421804,0.23838089021907427,1.435691182254632,0.23838089021907427,21.110001723212793,0.703666724107093,0,0.73,1.3379555710878184,0.005991044096421804,3.7639758671150325,0.12546586223716774,1,0.715,1.3113897737374098
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.0,0.8,2,0.018473763962597693,0.10296178107886686,0.5007099276256659,0.10296178107886686,10.615920405501239,0.35386401351670793,0,1.0,1.3697465127785518,0.018473763962597693,5.576471181944726,0.18588237273149083,0,0.715,1.338773694000095
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.5,0.0,0,0.0010121159310991727,0.000931609915145841,-3.9999226153601766e-12,0.000931609915145841,1.3003137490457506,0.043343791634858346,1,,1.265659009091489,0.0010121159310991727,1.560633581169396,0.0520211193723132,1,,1.2689178526797311
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.5,0.0,0,0.013236405645762658,0.000983684691962325,-3.9999226153601766e-12,0.000983684691962325,0.4721792733527519,0.015739309111758394,1,,1.2782814468946246,0.013236405645762658,0.09234469637551812,0.0030781565458506037,1,,1.2622584410652389
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.5,0.0,0,0.0018575375232383687,0.0012333357451135736,-3.9999226153601766e-12,0.0012333357451135736,1.216572168970842,0.04055240563236139,1,,1.2624042430227953,0.0018575375232383687,1.2060580941765375,0.04020193647255124,1,,1.2589518790962264
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.5,0.0,0,0.0014032859273960252,0.0010458554202900858,-3.9999226153601766e-12,0.0010458554202900858,1.207517054547802,0.040250568484926724,1,,1.2631504744510234,0.0014032859273960252,1.2064758310692647,0.04021586103564215,1,,1.2596756466622867
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.5,0.0,0,0.001029861115474446,0.0010275114916539832,-3.9999226153601766e-12,0.0010275114916539832,1.2077554817875535,0.04025851605958511,1,,1.2634158048901254,0.001029861115474446,1.1960961338632892,0.039869871128776296,1,,1.263289695045824
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.5,0.0,1,0.0014399969826177535,0.0010184377367631657,-3.9999226153601766e-12,0.0010184377367631657,1.7695683109717475,0.05898561036572491,1,,1.2743300787015457,0.0014399969826177535,2.073489277504109,0.06911630925013697,1,,1.2764951708114323
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.5,0.0,1,0.001231061176884826,0.00019477982195149814,-3.9999226153601766e-12,0.00019477982195149814,1.1828766071769137,0.03942922023923045,1,,1.2765876832552487,0.001231061176884826,0.5102005965820833,0.017006686552736107,1,,1.2756964607234467
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.5,0.0,1,0.0011376163811984454,0.0009860652762381916,-3.9999226153601766e-12,0.0009860652762381916,1.6101907366044443,0.05367302455348147,1,,1.2704050966844003,0.0011376163811984454,1.5930203284289235,0.053100677614297445,1,,1.2680384566826814
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.5,0.0,1,0.001262968539130705,0.0010264678777764345,-3.9999226153601766e-12,0.0010264678777764345,1.590362336276241,0.05301207787587469,1,,1.2704371769337166,0.001262968539130705,1.5892867888523399,0.05297622629507799,1,,1.2679948811948123
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.5,0.0,1,0.0009777738905208128,0.000983277983287574,-3.9999226153601766e-12,0.000983277983287574,1.5895775271049406,0.05298591757016468,1,,1.270802297619568,0.0009777738905208128,1.5884150979353417,0.052947169931178054,1,,1.2708591812129828
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.5,0.0,2,0.001166777396897356,0.0009136924191564377,-3.9999226153601766e-12,0.0009136924191564377,1.0661091739407602,0.035536972464692,1,,1.2927138674335845,0.001166777396897356,1.3138823086146778,0.04379607695382259,1,,1.296116348765095
biased,187,1,0.9571211475764383,1,0.6327694676359189,0.1,0.5,0.0,2,0.013380236819900509,0.003331105556895156,-3.9999226153601766e-12,0.003331105556895156,0.4335311703162592,0.01445103901054197,1,,1.2958089899201024,0.013380236819900509,0.11695950270430022,0.0038986500901433403,1,,1.285624266266699
biased,109,2,0.9634827409194409,2,0.1902849391926143,0.1,0.5,0.0,2,0.0014568022168500328,0.0009580320867534752,-3.9999226153601766e-12,0.0009580320867534752,0.92475495301369,0.03082516510045633,1,,1.2868048819165232,0.0014568022168500328,0.8992988617724851,0.029976628725749497,1,,1.2831116115134733
biased,45,3,0.9586446444924583,3,0.20325096875146026,0.1,0.5,0.0,2,0.00022093076724727725,0.0004702176951341744,-3.9999226153601766e-12,0.0004702176951341744,0.8911719326125278,0.029705731087084256,1,,1.28546212474794,0.00022093076724727725,0.892010118883646,0.029733670629454863,1,,1.2817054971670363
symmetric,0,-1,0.25,0,1.5145789899825082,0.1,0.5,0.0,2,0.000677098520634821,0.0006893867434134438,-3.9999226153601766e-12,0.0006893867434134438,0.8998173799213416,0.029993912664044716,1,,1.2875641280868182,0.000677098520634821,0.9234182431083204,0.030780608103610677,1,,1.2878389298547337
biased,17,0,0.9516310506386029,0,0.22551510231363753,0.1,0.5,0.2,0,0.002358295412776797,0.0009785946491654637,0.029320512888574714,0.0009785946491654637,1.2176481322689003,0.040588271075630004,1,,1.294411466169603,0.002358295412776797,2.1554574211044564,0.07184858070348187,1,,1.2654425141208505
