cell,t,meanfield_epistemic_total,exact_epistemic_total,epistemic_total_abs_error,meanfield_epistemic_goal,exact_epistemic_goal,epistemic_goal_abs_error,meanfield_pragmatic,exact_pragmatic,pragmatic_abs_error,joint_vs_product_kl
machine work passed off as human,33,9.001319374313255e-06,4.607914050325235e-11,9.001273295172751e-06,4.6086612313335216e-11,4.6086612313335165e-11,5.169878828456423e-26,-8.974036646991053,-8.974036646991053,0.0,1.0230406457668962e-31
machine work passed off as human,34,9.001592515822665e-06,1.0064793443120834e-09,9.000586036478353e-06,1.0064860757083312e-09,1.0064865197975402e-09,4.44089209022882e-16,-8.974036646991054,-8.974036646991053,1.7763568394002505e-15,-2.2204460492503136e-16
machine work passed off as human,35,9.001312490042324e-06,2.1872725852745134e-11,9.00129061731647e-06,2.1880819383043503e-11,2.188037529383368e-11,4.440892098242132e-16,-8.974036646991049,-8.974036646991053,3.552713678800501e-15,2.2204460492503126e-16
machine work passed off as human,36,9.001312489154145e-06,2.1872281763535284e-11,9.001290616872382e-06,2.1880260667199515e-11,2.1880260667199515e-11,0.0,-8.974036646991053,-8.974036646991053,0.0,2.9839370400762355e-34
machine work passed off as human,37,9.001312491374591e-06,2.1879387190892885e-11,9.0012906119874e-06,2.18871818066873e-11,2.18871818066873e-11,0.0,-8.974036646991053,-8.974036646991053,0.0,1.4642559021819962e-34
machine work passed off as human,38,9.001312580636522e-06,2.219335826225688e-11,9.00129038727826e-06,2.2200799205884208e-11,2.2200799205884208e-11,0.0,-8.974036646991053,-8.974036646991053,0.0,7.160966157650829e-35
machine work passed off as human,39,9.001306404243792e-06,4.756195437494171e-13,9.001305928624248e-06,4.826826546445574e-13,4.826826546445574e-13,0.0,-8.974036646991053,-8.974036646991053,0.0,8.749279057597782e-37
machine work passed off as human,40,9.001306492617545e-06,7.891465259035613e-13,9.001305703471019e-06,7.962868217983048e-13,7.962868217983056e-13,8.077935669463161e-28,-8.974036646991053,-8.974036646991053,0.0,4.279944534650459e-37
machine work labelled honestly,1,3.462277635277431,3.4622686336683435,9.00160908745562e-06,1.261049634666698,1.2610496346666975,4.440892098500626e-16,-8.974036646991053,-8.974036646991053,0.0,-2.239641363612691e-16
machine work labelled honestly,2,0.37216713045347616,0.3529966813641172,0.019170449089358943,0.06773319695401181,0.08020173279716758,0.01246853584315577,-8.974036646991053,-8.974036646991053,0.0,0.025684773913260215
machine work labelled honestly,3,0.029780260767391376,0.029769447066527732,1.0813700863643305e-05,0.02708639146826819,0.027087797549563586,1.406081295396433e-06,-8.974036646991053,-8.974036646991053,0.0,7.518118104535239e-05
machine work labelled honestly,4,0.026812567852387392,0.026805096571597797,7.471280789594914e-06,0.02677765373170926,0.026777610432493937,4.329921532431058e-08,-8.974036646991053,-8.974036646991053,0.0,2.2051858938827104e-07
machine work labelled honestly,5,0.026855878300469982,0.026847222157519113,8.656142950869139e-06,0.02684679709372073,0.026846797348345497,2.546247657164713e-10,-8.974036646991053,-8.974036646991053,0.0,1.551354920937343e-08
