arm,observer,salience,social,depth,peak,tail,collapse,captured,sustained,recovered,single_stage_engagement
shock_art,30,1.0,0.2,1,0.6,5.837294127313584e-22,0.6,1,0,0.0007658914677219908,0.0
shock_art,31,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,32,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.4166666666666667
shock_art,33,1.0,0.2,1,0.6,1.4350488518725658e-23,0.6,1,0,0.0004820154036384583,0.0
shock_art,34,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,35,1.0,0.2,1,0.6,0.00042053193266102147,0.599579468067339,1,0,0.12049869854469031,0.3333333333333333
shock_art,36,1.0,0.2,1,0.6,6.13588862994159e-13,0.5999999999993864,1,0,0.010227616339160805,0.0
shock_art,37,1.0,0.2,1,0.6,1.727545021209584e-09,0.599999998272455,1,0,0.027349319570278974,0.0
shock_art,38,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,39,1.0,0.2,1,0.6,2.8136320362697788e-08,0.5999999718636796,1,0,0.03851528817576089,0.0
shock_art,40,1.0,0.2,1,0.6,3.5794516477970285e-08,0.5999999642054835,1,0,0.039664858893731836,0.0
shock_art,41,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,42,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,43,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,44,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,45,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,46,1.0,0.2,1,0.6,6.843632030856988e-17,0.5999999999999999,1,0,0.003290401819813882,0.0
shock_art,47,1.0,0.2,1,0.6,0.00010481382108528033,0.5998951861789147,1,0,0.10288868730574263,0.0
shock_art,48,1.0,0.2,1,0.6,2.5226154828110367e-08,0.5999999747738451,1,0,0.03800467583534384,0.08333333333333333
shock_art,49,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,50,1.0,0.2,1,0.6,3.950659376730594e-05,0.5999604934062327,1,0,0.09189361131785279,0.4166666666666667
shock_art,51,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,52,1.0,0.2,1,0.6,2.224554744288495e-07,0.5999997775445256,1,0,0.04954197290573226,0.0
shock_art,53,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,54,1.0,0.2,1,0.6,2.880934912775076e-10,0.5999999997119065,1,0,0.02192882345047642,0.0
shock_art,55,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,56,1.0,0.2,1,0.6,4.628304867686246e-21,0.6,1,0,0.000992017316487681,0.0
shock_art,57,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,58,1.0,0.2,1,0.6,3.603782418692988e-13,0.5999999999996396,1,0,0.009572660381509612,0.08333333333333333
shock_art,59,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,60,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,61,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.3333333333333333
shock_art,62,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.16666666666666666
shock_art,63,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,64,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,65,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,66,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,67,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,68,1.0,0.2,1,0.6,8.981592892069052e-11,0.599999999910184,1,0,0.01898623070464356,0.0
shock_art,69,1.0,0.2,1,0.6,2.6392592211798925e-14,0.5999999999999736,1,0,0.006913852847327373,0.0
shock_art,70,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.3333333333333333
shock_art,71,1.0,0.2,1,0.6,4.439295555537109e-07,0.5999995560704444,1,0,0.05386405060991639,0.0
shock_art,72,1.0,0.2,1,0.6,2.2867647713698074e-09,0.5999999977132352,1,0,0.028309738947003504,0.3333333333333333
shock_art,73,1.0,0.2,1,0.6,9.802113655847107e-11,0.5999999999019788,1,0,0.01919269711834759,0.0
shock_art,74,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,75,1.0,0.2,1,0.6,6.593065520612443e-09,0.5999999934069344,1,0,0.03224386380191846,0.0
shock_art,76,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
shock_art,77,1.0,0.2,1,0.6,2.8468996031423965e-13,0.5999999999997153,1,0,0.009296014209050574,0.0
shock_art,78,1.0,0.2,1,0.6,4.47652196838035e-14,0.5999999999999552,1,0,0.007384096232060378,0.0
shock_art,79,1.0,0.2,1,0.6,0.0,0.6,1,0,0.0,0.0
slop,0,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.25
slop,1,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,2,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,3,0.15,0.0,1,0.075,1.9019879187334047e-06,0.07499809801208127,0,0,0.08217086913891514,0.0
slop,4,0.15,0.0,1,0.075,6.136063830959968e-16,0.07499999999999939,0,0,0.005606586394943713,0.0
slop,5,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,6,0.15,0.0,1,0.075,3.872914519414582e-15,0.07499999999999613,0,0,0.007053338130338149,0.0
slop,7,0.15,0.0,1,0.075,0.00018377012597495818,0.07481622987402504,0,0,0.1384106889412815,0.25
slop,8,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,9,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.3333333333333333
slop,10,0.15,0.0,1,0.075,7.349923094070547e-09,0.0749999926500769,0,0,0.04214126023175857,0.0
slop,11,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,12,0.15,0.0,1,0.075,2.7982356426446295e-11,0.07499999997201764,0,0,0.021255942242320858,0.0
slop,13,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
slop,14,0.15,0.0,1,0.075,0.0,0.075,0,0,0.0,0.0
