regime,arm,observer,n_train,evasion,trained_at,evaded,fired,score
co_evolution,human_careful,1,32,0.25,0.25,0,0,-1.09861228866811
co_evolution,human_careful,2,32,0.25,0.25,0,0,-1.7593715530768392
co_evolution,human_careful,3,32,0.25,0.25,0,0,-1.6634775289262456
co_evolution,human_careful,4,32,0.25,0.25,0,0,-0.3054302439580517
co_evolution,human_careful,5,32,0.25,0.25,0,0,-0.9162907318741551
co_evolution,human_careful,6,32,0.25,0.25,0,0,-1.0729586082894003
co_evolution,human_careful,7,32,0.25,0.25,0,0,-0.3054302439580517
co_evolution,human_careful,8,32,0.25,0.25,0,0,-0.9162907318741551
co_evolution,human_careful,9,32,0.25,0.25,0,0,-0.9162907318741551
co_evolution,human_careful,10,32,0.25,0.25,0,0,0.0
co_evolution,human_careful,11,32,0.25,0.25,0,0,-1.381044908797178
co_evolution,human_careful,12,32,0.25,0.25,0,0,-1.09861228866811
co_evolution,human_careful,13,32,0.25,0.25,0,0,-0.8283022165960002
co_evolution,human_careful,14,32,0.25,0.25,0,0,-1.381044908797178
co_evolution,human_careful,15,32,0.25,0.25,0,0,-1.2296264847046456
co_evolution,human_fast,0,32,0.25,0.25,0,0,-0.7675283643313486
co_evolution,human_fast,1,32,0.25,0.25,0,0,-0.8283022165960002
co_evolution,human_fast,2,32,0.25,0.25,0,0,-1.0148408125744746
co_evolution,human_fast,3,32,0.25,0.25,0,0,-1.4769389329477713
co_evolution,human_fast,4,32,0.25,0.25,0,0,-1.0148408125744746
co_evolution,human_fast,5,32,0.25,0.25,0,0,-0.9770645841388067
co_evolution,human_fast,6,32,0.25,0.25,0,0,-1.2594972042678745
co_evolution,human_fast,7,32,0.25,0.25,0,0,-0.3054302439580517
co_evolution,human_fast,8,32,0.25,0.25,0,0,-0.9162907318741551
co_evolution,human_fast,9,32,0.25,0.25,0,0,-0.9162907318741551
co_evolution,human_fast,10,32,0.25,0.25,0,0,-1.3202710565325262
co_evolution,human_fast,11,32,0.25,0.25,0,0,-0.9770645841388067
co_evolution,human_fast,12,32,0.25,0.25,0,0,-0.36620409622270333
co_evolution,human_fast,13,32,0.25,0.25,0,0,-0.6108604879161034
co_evolution,human_fast,14,32,0.25,0.25,0,0,-1.3202710565325262
co_evolution,human_fast,15,32,0.25,0.25,0,0,-1.663477528926246
co_evolution,machine,0,128,0.5,0.5,0,1,3.1780538303479458
co_evolution,machine,1,128,0.5,0.5,1,0,-0.18232155679395445
co_evolution,machine,2,128,0.5,0.5,1,0,-0.9162907318741554
co_evolution,machine,3,128,0.5,0.5,1,0,-0.6716343401807551
co_evolution,machine,4,128,0.5,0.5,0,1,1.529864991400873
co_evolution,machine,5,128,0.5,0.5,0,1,0.8248117833069016
co_evolution,machine,6,128,0.5,0.5,0,1,2.057928701300646
co_evolution,machine,7,128,0.5,0.5,0,1,2.9444389791664403
co_evolution,machine,8,128,0.5,0.5,0,1,3.1001822132874444
co_evolution,machine,9,128,0.5,0.5,1,0,-0.42790259078159654
co_evolution,machine,10,128,0.5,0.5,0,1,1.8841630600895503
co_evolution,machine,11,128,0.5,0.5,0,1,3.1780538303479458
co_evolution,machine,12,128,0.5,0.5,1,0,-0.42697794848735476
co_evolution,machine,13,128,0.5,0.5,1,0,0.0
co_evolution,machine,14,128,0.5,0.5,1,0,-0.42697794848735476
co_evolution,machine,15,128,0.5,0.5,0,1,1.6575290754862417
co_evolution,human_careful,0,128,0.5,0.5,0,0,-0.47000362924573524
co_evolution,human_careful,1,128,0.5,0.5,0,0,-0.18232155679395445
co_evolution,human_careful,2,128,0.5,0.5,0,0,-0.6108604879161036
co_evolution,human_careful,3,128,0.5,0.5,0,0,-0.6716343401807551
co_evolution,human_careful,4,128,0.5,0.5,0,0,-0.03177005993477492
co_evolution,human_careful,5,128,0.5,0.5,0,0,-0.6418538861723948
co_evolution,human_careful,6,128,0.5,0.5,0,0,-0.42790259078159654
co_evolution,human_careful,7,128,0.5,0.5,0,0,-0.03177005993477492
co_evolution,human_careful,8,128,0.5,0.5,0,0,-0.14310084364067333
co_evolution,human_careful,9,128,0.5,0.5,0,0,-0.6418538861723948
co_evolution,human_careful,10,128,0.5,0.5,0,0,-0.3184537311185349
co_evolution,human_careful,11,128,0.5,0.5,0,0,-0.42697794848735476
co_evolution,human_careful,12,128,0.5,0.5,0,0,-0.18232155679395445
co_evolution,human_careful,13,128,0.5,0.5,0,0,-0.738524572001472
co_evolution,human_careful,14,128,0.5,0.5,0,0,-0.42697794848735476
co_evolution,human_careful,15,128,0.5,0.5,0,0,-0.21395129539079827
