mu,beta,i,settled_at,n_steps,real_gain,sham_at,sham_gain
3,1.0,61,2,24,0.0653959716987349,16,0.44796444042620864
3,1.0,63,3,24,-0.046179611702676704,12,0.0066639996170017035
3,1.0,64,4,24,0.2851740886437243,11,0.15684677569326722
3,1.0,66,2,24,0.0537420760008851,13,0.19909846287484578
3,1.0,67,2,24,-0.04126947872457665,6,-0.19954808605357433
3,1.0,68,2,24,0.2076245580719649,3,0.2658775021694624
3,1.0,73,2,24,0.18891283587423047,13,0.2007933371639845
3,1.0,75,4,24,-0.21749832938633373,5,0.029160080920630493
3,1.0,77,2,24,-0.15167015920103255,3,-0.14328738152983989
3,1.0,80,2,24,0.39219802201243303,16,0.3322150197855237
3,1.0,84,2,24,-0.2491455910619882,4,-0.25671205837682565
3,1.0,85,3,24,0.009030647865902353,4,0.03335073548156742
3,1.0,87,2,24,0.3058022086346688,7,-0.019202258252994264
3,1.0,88,2,24,0.5579154712423597,21,0.46153475034137315
3,1.0,94,2,24,0.12711713775434852,8,-0.18502074018325643
3,1.0,95,2,24,0.012621148413480388,4,0.005382508818555953
3,1.0,98,2,24,-0.11521986142860574,17,-0.48396589261655465
3,1.0,99,2,24,-0.008476986681244192,15,-0.4001961351522463
3,1.0,100,2,24,0.3332841781113791,3,0.321104133280699
3,1.0,101,2,24,0.0660860033695958,14,0.35479424575355245
3,1.0,106,4,24,0.3648132953925973,2,0.3420816614408613
3,1.0,107,2,24,-0.049237442540698506,11,-0.012444573418749716
3,1.0,108,4,24,0.32048807709251914,21,-0.3431946816266964
3,1.0,110,2,24,-0.05615375328676797,10,0.22470519956536927
3,1.0,112,2,24,0.3581860107841678,3,0.5092513219971486
3,1.0,117,3,24,0.13578012563688602,13,0.3457724912739585
3,1.0,119,2,24,-0.1622878868169566,13,0.0685123566305943
3,0.25,1,16,24,0.3659822076431871,2,0.08860845526818473
3,0.25,2,11,24,-0.0030076271882182315,2,-0.08765756019639981
3,0.25,3,3,24,0.12316050839974357,2,0.2289220925867299
3,0.25,4,14,24,0.1003652783544744,3,-0.10326690223389012
3,0.25,7,9,24,0.17354518260068819,2,0.25600398908157285
3,0.25,9,12,24,0.22699302197728333,2,0.08802935082352437
3,0.25,11,19,24,0.323504250148399,4,-0.048404664532265995
3,0.25,13,7,24,0.09581359715691162,5,0.07746776969036273
3,0.25,19,11,24,0.067871750501874,7,0.14873397985967074
3,0.25,21,5,24,0.0809113087847122,14,-0.1136813494356621
3,0.25,22,11,24,-0.04572630692503021,2,-0.14296413530215046
3,0.25,24,11,24,-0.0038692496981331814,9,0.0425010632152778
3,0.25,26,13,24,0.18920993219168492,3,0.14187324325855566
3,0.25,28,2,24,-0.175285530069347,17,0.0328869581749589
3,0.25,30,7,24,-0.01758703727961386,14,-0.48089719836439637
3,0.25,35,21,24,0.38376800335791683,11,0.13166154079002523
3,0.25,36,12,24,-0.12666915465141915,15,-0.040021644462851835
3,0.25,37,8,24,-0.06782643694887258,5,-0.07772812772218485
3,0.25,41,4,24,0.1208835033992961,8,0.0016041292091732995
3,0.25,44,3,24,-0.06992159012288357,2,-0.02301541326817369
3,0.25,47,2,24,0.039544343046673314,9,0.3038320243426056
3,0.25,49,2,24,0.15342900887434086,14,-0.25700370557356056
3,0.25,52,13,24,-0.5972466837534516,4,-0.129618672333089
3,0.25,54,6,24,0.6552161587343318,2,0.4641853099437814
3,0.25,55,2,24,0.07709686169006003,16,-0.07786520976208644
3,0.25,56,6,24,-0.03355185229472801,7,-0.04326136769760103
3,0.25,57,19,24,0.12018254460558575,2,0.06844023074468741
3,0.25,58,7,24,0.12056090589319224,15,0.21873234593919344
3,0.25,59,4,24,0.12546629522947295,2,0.1120152786059474
3,0.25,60,7,24,-0.014085369144781978,2,-0.043811555647909506
3,0.25,61,10,24,0.036284249856172845,3,0.24262026552057003
3,0.25,63,8,24,0.04094334864561855,2,0.14678485957693455
3,0.25,66,15,24,0.08679787382242288,2,0.01947555871477591
3,0.25,67,3,24,0.04313080445978379,2,0.12962084293514087
3,0.25,69,2,24,-0.08895653113291302,3,-0.11320118293085768
3,0.25,71,11,24,-0.04558807442450785,2,0.10841481487069715
3,0.25,73,6,24,0.21887291567263656,4,0.29505915728154997
3,0.25,74,3,24,0.11609108783993083,12,0.00655321058835745
3,0.25,75,19,24,-0.2983360721620152,12,-0.1392750136236216
3,0.25,77,14,24,0.12408294057243441,4,0.13534162787288695
3,0.25,79,11,24,0.3379389690666428,2,0.15392458904772477
3,0.25,80,8,24,-0.09251038966038694,6,-0.008906286235917715
3,0.25,83,2,24,-0.058551339720245954,12,0.2704004534410971
3,0.25,84,4,24,0.33470141250497054,9,0.4327162595781653
3,0.25,88,12,24,0.12331519029812754,2,0.4562269549318376
3,0.25,90,7,24,0.08866160741244022,3,-0.008725617004249786
3,0.25,91,6,24,0.026369503028414343,16,0.014386451410924206
3,0.25,93,3,24,0.09421270092258238,2,-0.024595486062443106
3,0.25,94,7,24,0.04171863387576957,15,-0.17629474901935338
3,0.25,95,3,24,-0.3152074517911223,18,-0.3966203452262673
3,0.25,96,13,24,0.061119179538063007,3,0.054294328155211735
3,0.25,97,17,24,-0.2874441148565354,2,-0.14198574034485567
3,0.25,101,2,24,-0.021188154398750214,7,0.13275528912094448
3,0.25,102,2,24,-0.00043503800442379337,10,0.2067175761907747
3,0.25,104,13,24,-0.06955276381489894,11,-0.020937020388705596
3,0.25,108,2,24,0.05156671854781769,7,0.3531041002282542
3,0.25,109,17,24,-0.24173841431767062,2,-0.273784176780413
3,0.25,113,12,24,-0.06863360687938669,5,-0.041381971400888506
3,0.25,114,19,24,-0.15506544831884694,2,-0.18239102087625625
3,0.25,115,7,24,-0.015453556157167592,2,0.001649793592477744
3,0.25,118,3,24,-0.05056513083410441,11,0.01877955707963408
3,0.25,119,7,24,-0.017919067251688237,2,-0.05534367513268901
3,0.1,3,12,24,-0.031064728523662044,2,-0.12395143182823287
3,0.1,10,2,24,-0.03270660312626883,11,-0.1789482774958806
3,0.1,13,3,24,0.14018616013343999,2,0.17094998688991891
3,0.1,14,12,24,0.11748882473925626,2,0.22712793162583678
3,0.1,19,7,24,0.15416330963580038,4,0.18338153925690936
3,0.1,24,3,24,0.24123501297514172,10,0.18353334324673032
3,0.1,35,9,24,0.012269993011982061,11,-0.06009534235634306
3,0.1,40,7,24,0.25848007799344463,21,-0.12855557927466377
3,0.1,42,9,24,-0.07259325706131503,2,-0.2676790425623705
3,0.1,45,15,24,-0.004637998550812483,13,-0.047671185753659584
3,0.1,47,8,24,0.05563904008517073,14,0.006136640795654236
3,0.1,50,10,24,0.12655256745627042,5,0.11501026608888942
3,0.1,51,14,24,-0.2923541156083609,2,-0.20178756699878364
3,0.1,52,10,24,0.08468111769499553,9,0.10497132245497687
3,0.1,56,4,24,-0.21168373210862956,13,-0.2419460891579983
3,0.1,65,16,24,-0.1990693893734985,2,-0.24207511275058846
3,0.1,78,3,24,-0.07377274944248713,5,-0.20138875546054003
