arm,content,declared_signal,n,within_observer,within_observer_sd,between_observer,between_observer_sd,engaged_fraction,engaged_fraction_sd,accuracy
A_active_inference,goal_foreign,UNSIGNED,4000,1.255144727855275,0.31677512321272633,1.3801318855910938,0.004181362665808054,0.6129464285714286,0.48046379519660565,
B_bayesian_always_deep,goal_foreign,UNSIGNED,4000,1.2550058092216805,0.31780739953323384,1.3806309931568324,0.004023335437686961,1.0,0.0,
C_label_truster,goal_foreign,UNSIGNED,4000,1.3667591345156116,0.013105578538943676,1.3794242166811803,0.004569096378017371,1.0,0.0,
D_effort_heuristic@0.01,goal_foreign,UNSIGNED,4000,1.3667591345156116,0.013105578538943676,1.3794242166811803,0.004569096378017371,0.9926428571428572,0.07136213106881387,
D_effort_heuristic@0.02,goal_foreign,UNSIGNED,4000,1.3667591345156116,0.013105578538943676,1.3794242166811803,0.004569096378017371,0.9345714285714286,0.18280805033489467,
D_effort_heuristic@0.05,goal_foreign,UNSIGNED,4000,1.3667591345156116,0.013105578538943676,1.3794242166811803,0.004569096378017371,0.36430357142857145,0.17301596495260518,
D_effort_heuristic@0.1,goal_foreign,UNSIGNED,4000,1.3667591345156116,0.013105578538943676,1.3794242166811803,0.004569096378017371,0.07851785714285713,0.02135962634249498,
D_effort_heuristic@0.2,goal_foreign,UNSIGNED,4000,1.3667591345156116,0.013105578538943676,1.3794242166811803,0.004569096378017371,0.0714285714285714,2.775904571323773e-17,
D_effort_heuristic@0.4,goal_foreign,UNSIGNED,4000,1.3667591345156116,0.013105578538943676,1.3794242166811803,0.004569096378017371,0.0714285714285714,2.775904571323773e-17,
E_no_tom_classifier@0.6,goal_foreign,UNSIGNED,4000,0.4928109453267203,0.3233535391214155,1.3809198731369094,0.004537845978581575,0.130875,0.30382874154329387,
E_no_tom_classifier@0.8,goal_foreign,UNSIGNED,4000,0.41564313066520525,0.2733541559481836,1.3812662496296189,0.003932568705922331,0.26475,0.38955294611058383,
E_no_tom_classifier@0.95,goal_foreign,UNSIGNED,4000,0.31337735403809835,0.2970780047610518,1.3805394396286859,0.004636154218856271,0.4787857142857143,0.4262657886453214,
E_no_tom_classifier@0.99,goal_foreign,UNSIGNED,4000,0.2724798541848098,0.33004711758464833,1.380517776057072,0.004414435764647029,0.6715714285714287,0.3858544143463088,
A_active_inference,human_directed,SIG_CREATOR,4000,2.258427237221274e-05,0.001281373797125019,0.0,0.0,0.0,0.0,1.0
B_bayesian_always_deep,human_directed,SIG_CREATOR,4000,2.875337428783388e-19,1.6609353545377967e-17,0.0,0.0,1.0,0.0,1.0
C_label_truster,human_directed,SIG_CREATOR,4000,1.3670535651378555,0.012770639374581784,1.3807225822437763,0.0040519022966054585,1.0,0.0,0.24775
D_effort_heuristic@0.01,human_directed,SIG_CREATOR,4000,1.3670535651378555,0.012770639374581784,1.3807225822437763,0.0040519022966054585,0.999642857142857,0.016673427190081636,0.24775
D_effort_heuristic@0.02,human_directed,SIG_CREATOR,4000,1.3670535651378555,0.012770639374581784,1.3807225822437763,0.0040519022966054585,0.9855535714285715,0.08767756379707514,0.24775
D_effort_heuristic@0.05,human_directed,SIG_CREATOR,4000,1.3670535651378555,0.012770639374581784,1.3807225822437763,0.0040519022966054585,0.40355357142857146,0.16690367383370217,0.24775
D_effort_heuristic@0.1,human_directed,SIG_CREATOR,4000,1.3670535651378555,0.012770639374581784,1.3807225822437763,0.0040519022966054585,0.0810535714285714,0.024392788422641594,0.24775
